idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Skewness_S,Kurtosis_S,Variance_S,RMS_S,Skewness_T,Kurtosis_T,Variance_T,RMS_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.0052430223230005,1.52775773558005,8.44697454660494,2.90634311714012,-0.00466087733388721,1.52633084765825,8.52857296990752,2.92035579456855,-0.00599948609501636,1.55747195929791,8.91903470863766,2.98644545654504,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,-0.00275212407396152,1.52876838645389,8.32419285739917,2.88514983728402,-0.00480502804550456,1.52577379250289,8.3889906408945,2.89635844917431,-0.00826622006295512,1.55598883079691,8.77812352110909,2.96276295226107,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,-0.00355372612041145,1.53129585429295,8.13049234504624,2.85138378364552,-0.0066510216455035,1.52543207101276,8.20194463589232,2.86389002144165,-0.00846258799638771,1.55624503765106,8.61682612785705,2.93541443571072,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,-0.0035313015340374,1.53134736339219,7.94736593729838,2.81908394578983,-0.00676546010071172,1.52509592864725,7.99488432947216,2.82750988676006,-0.00766903523857204,1.55641722183059,8.41084293698563,2.90011632888009,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,-0.00288874986956326,1.53299334761443,7.62553875986694,2.76141989575279,-0.00831445482288375,1.52509981458319,7.69669688065561,2.77428999848987,-0.00702008339185381,1.55557160171711,8.09323828797691,2.84483444977977,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,-0.00241298264913904,1.5345222104421,7.44453227463698,2.728450216915,-0.0055334256124408,1.52479069727069,7.50114013420351,2.73880272302145,-0.0120532038814139,1.55480341254047,7.90134003411329,2.81090571784714,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,-0.00366843143783232,1.5352583377701,7.24421261468908,2.69149363366994,-0.00938193075120688,1.525874225647,7.305630886902,2.70288845529409,-0.00987863897480657,1.55512863409089,7.69814205865436,2.77452495981113,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,-0.00505620567748658,1.53795118990342,6.8582172302514,2.61880088162905,-0.0109094530171802,1.52466667921614,6.90597752472758,2.62791262605529,-0.0137563974894852,1.55445607325589,7.3003367301966,2.70188706431967,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,-0.00614173911357492,1.53856143495332,6.68912405285841,2.58631305824787,-0.00991460969939133,1.5236653835954,6.74822920475647,2.59772130427505,-0.0130999677970898,1.55251241095667,7.12237551305003,2.66875183167504,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,-0.00633425418378498,1.54098776640699,6.48178529639987,2.5459245390427,-0.0122952922503427,1.52347424272994,6.51844220941555,2.55312873841772,-0.0117801114850115,1.55119887071781,6.91710168472039,2.63001237447249,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,-0.0101244432228977,1.5429275335851,6.21515688144993,2.4930110419858,-0.0118090787553954,1.52690242821716,6.24217990861098,2.49843271295175,-0.0104721502583833,1.55079877113264,6.64869848893589,2.5784818642342,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,-0.00981163407297073,1.5442115718286,6.0235232435026,2.45427627377362,-0.0126561449834738,1.521955820308,6.05372332617447,2.46042308250999,-0.0123496936639157,1.55008510744758,6.45384502636005,2.54041711450652,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
13,-0.0098547066302317,1.54519007844425,5.83467905268941,2.41549848127314,-0.0130485505937204,1.52306447655503,5.84228113081397,2.41707457107655,-0.0117233601019454,1.55022887722603,6.2477656330041,2.49952833721724,45,44.11,345,0.42,2.41549848127315,2.41707457107655,2.49952833721724,0,1
14,-0.0124776730872229,1.54580320045002,5.64640925337986,2.37619946523089,-0.0118574268320899,1.52434539285366,5.63454513010289,2.3737125778693,-0.0089870451584362,1.54582837957697,6.02711063701695,2.4549933847436,45,44.13,342,0.41,2.37619946523089,2.3737125778693,2.4549933847436,0,1
15,-0.0131324701764619,1.54652268854485,5.41331239672659,2.32663469702883,-0.011180396468634,1.52728287869872,5.41986040483031,2.32805996251553,-0.00726151016101906,1.54554029137866,5.78362539523988,2.40489355001255,45,44.15,337,0.4,2.32663469702883,2.32805996251553,2.40489355001255,0,1
16,-0.0127857410252638,1.54977068153911,5.23452289862943,2.28789310245274,-0.0109067206168382,1.52526778202803,5.23803405474213,2.28867441477505,-0.0079874252704995,1.5468826754443,5.57083342159586,2.36023809199575,45,44.17,337,0.39,2.28789310245274,2.28867441477505,2.36023809199574,0,1
17,-0.0102268390299424,1.54832506240449,5.0290484511765,2.24254355477452,-0.00912019479618915,1.52678410389064,5.03610567997577,2.24411754715203,-0.00869527831002788,1.54362571212427,5.34728305663194,2.31239647750905,45,44.19,334,0.38,2.24254355477452,2.24411754715203,2.31239647750905,0,1
18,-0.00928432868965218,1.54887461347805,4.74616129707343,2.17856241431202,-0.00879425421351789,1.52719095301794,4.73942783991058,2.17702642636995,-0.00607229761836062,1.54033432810214,5.01615206128504,2.23965460790647,45,44.21,329,0.36,2.17856241431202,2.17702642636995,2.23965460790647,0,1
19,-0.00664758161990529,1.54712021950665,4.45562751894343,2.11083612943326,-0.00681936410812539,1.52599106681662,4.46069360291036,2.11203833521229,-0.0049706655848702,1.54138750761315,4.67280449989055,2.16164576214241,45,44.23,324,0.34,2.11083612943326,2.11203833521229,2.16164576214241,0,1
20,-0.00683284408922558,1.55086467188408,4.24875107683846,2.06123932813246,-0.00513149057473441,1.52599832609068,4.25977676155346,2.06391630193295,-0.00213634169186343,1.54149368435462,4.45468670795883,2.1105928561721,45,44.25,320,0.33,2.06123932813246,2.06391630193295,2.1105928561721,0,1
21,-0.00544244346904021,1.55204702422629,4.04339438424578,2.01081085586375,-0.00272936125972138,1.52593655546461,4.06267923548746,2.01560681612094,-0.00368776214002961,1.53889373029345,4.24018328787883,2.05914995650377,45,44.27,316,0.32,2.01081085586375,2.01560681612094,2.05914995650377,0,1
22,-0.0025365700432198,1.55044789425674,3.84738224441383,1.96147056154453,-0.00460927125300299,1.52302956130596,3.8640569931986,1.96572683990364,-0.0036345857016981,1.53530206206205,4.011359416639,2.00281782269486,45,44.29,312,0.31,1.96147056154453,1.96572683990364,2.00281782269486,0,1
23,-0.00302246672916165,1.55216843235643,3.64965027142556,1.91040520501138,-0.00142705417276608,1.52661810474356,3.67062733875673,1.9158881769826,-0.00154485134964472,1.55063559505891,3.81508474190026,1.95320465985268,45,44.31,307,0.29,1.91040520501138,1.9158881769826,1.95320465985268,0,1
24,0.00113050942997419,1.55028784460903,3.44558710548507,1.85623660427104,-0.00260662136646151,1.5269023639644,3.46795347418901,1.86225931463635,-0.00411578492788156,1.53771257074354,3.59020433845857,1.8947654792817,45,44.33,301,0.28,1.85623660427104,1.86225931463635,1.8947654792817,0,1
25,0.000121332865097173,1.54913580966909,3.16739178828456,1.77972825033668,-0.00397016922868538,1.52548362433937,3.18718395591079,1.78528580114164,-0.000800563295700766,1.53236169344818,3.28744478625854,1.81311335194798,45,44.35,294,0.26,1.77972825033668,1.78528580114164,1.81311335194798,0,1
26,0.000257742288571741,1.55065849599724,2.97271339732685,1.72414665785548,-0.00246309785743637,1.52580132153701,3.00128954032205,1.73244484054361,0.00116735451603111,1.53432957610887,3.08042481597641,1.75509638760941,45,44.37,287,0.25,1.72414665785548,1.73244484054361,1.75509638760941,0,1
27,-2.33765532901279e-06,1.54630455894163,2.7673445912088,1.66354140657931,-0.000550639952366679,1.52590869446417,2.79991169226566,1.67329933519543,-0.000255252484433027,1.53174063029577,2.86055364848992,1.6913009189294,45,44.39,278,0.23,1.66354140657931,1.67329933519543,1.6913009189294,0,1
28,0.000249333902878132,1.54335419533316,2.53148892874273,1.59107313022266,-0.00159310742529438,1.52479275521597,2.57171823483694,1.60367667356043,0.00065267919880724,1.53154039176489,2.61836150121653,1.61811928396378,45,44.41,270,0.21,1.59107313022266,1.60367667356043,1.61811928396378,0,1
29,0.00297946979695367,1.54360941733553,2.30961261619419,1.51974737579899,-0.000548621439668741,1.52771660773534,2.3525243415611,1.53381747650768,0.00123325093256099,1.53354027544454,2.38394068809305,1.54398668101489,45,44.43,259,0.19,1.51974737579899,1.53381747650768,1.54398668101489,0,1
30,0.000111398796388226,1.53832203728915,2.08628795298466,1.44441124526874,0.000221144837716949,1.52292439153437,2.12994035894931,1.45944874662495,0.00381821189763544,1.53332961786511,2.15485108921719,1.46792643961098,45,44.45,249,0.17,1.44441124526874,1.45944874662495,1.46792643961098,0,1
31,0.00332634299432021,1.53475607064184,1.82422080593121,1.35065484966597,0.00318799199902117,1.52563857457251,1.86968816898868,1.36738695873234,0.000489599205596736,1.53531537471432,1.88447344647749,1.37274875592562,45,44.47,235,0.13,1.35065484966597,1.36738695873234,1.37274875592562,0,1
32,0.00454446774450106,1.53196706792052,1.4431686483182,1.20135414559844,0.0024132617690221,1.5238587384381,1.48139585012937,1.21717108952675,0.00342501646832611,1.53496191769985,1.48922292486286,1.22032662320949,45,44.49,212,0.12,1.20135414559844,1.21717108952675,1.22032662320949,0,1
33,-0.000989410370492015,1.53086386934663,8.92402227208379,2.98729907354967,-0.00775663235862629,1.53231314981651,8.9916886905375,2.99860438744414,-0.00530508876624028,1.56117287715083,9.36653834091686,3.06045102364073,47.5,46.33,373,0.58,2.98729907354967,2.99860438744414,3.06045102364073,0,1
34,-0.00203143054623632,1.53123029825279,8.70708242577264,2.95075775888202,-0.00537605997206471,1.53251046887576,8.76681676717364,2.96085948347133,-0.00769582382906598,1.56201238622482,9.15501054722841,3.0257014511,47.5,46.35,372,0.57,2.95075775888202,2.96085948347133,3.0257014511,0,1
35,-0.00423723298428587,1.53343684919029,8.49874375396677,2.91523326290469,-0.0064445117907902,1.53179566222414,8.57406486574882,2.92813738363723,-0.00702215183883358,1.56068637583632,8.94587669995703,2.99093637665335,47.5,46.37,371,0.56,2.91523326290469,2.92813738363723,2.99093637665335,0,1
36,-0.00230711481606592,1.53359781173302,8.3305759566805,2.88625203571036,-0.00621719259547413,1.531665030588,8.38904756767521,2.89636706112283,-0.00881570160239798,1.56078734522635,8.76554218572471,2.96063622876526,47.5,46.39,369,0.55,2.88625203571036,2.89636706112283,2.96063622876526,0,1
37,-0.00334920957681928,1.5343642724836,8.05979278704279,2.83895360225709,-0.00635592939049699,1.53194672838476,8.1176480073157,2.84913553076617,-0.00896040017421025,1.56057747394279,8.48423183670886,2.91274135112286,47.5,46.41,367,0.53,2.83895360225709,2.84913553076617,2.91274135112286,0,1
38,-0.0014102338977014,1.53584149409205,7.86037191703838,2.80361845982614,-0.00954162553517573,1.53111994331721,7.92615494527846,2.81534605448329,-0.00810228071747267,1.56037001447054,8.3122478185123,2.88306825840673,47.5,46.43,365,0.52,2.80361845982614,2.81534605448329,2.88306825840673,0,1
39,-0.00323311418074849,1.53650075285736,7.6517670615748,2.76616067517851,-0.00627151617443363,1.53036825090107,7.70923413533322,2.77653395556972,-0.00955833488518735,1.56066594830686,8.08932328063595,2.84414524969707,47.5,46.45,364,0.52,2.76616067517851,2.77653395556972,2.84414524969707,0,1
40,-0.00156632506392152,1.53724932499215,7.44869161712444,2.72921064695173,-0.0100623340569195,1.52978302843917,7.50781662294265,2.74004123307032,-0.00987411082669527,1.55858890144928,7.88756232749556,2.80845238792777,47.5,46.47,362,0.51,2.72921064695173,2.74004123307032,2.80845238792777,0,1
41,-0.00215264734768132,1.53888931881924,7.28746174710383,2.69951064285488,-0.0107916063670481,1.53202796886022,7.33326573832683,2.70798618957842,-0.0119728990323917,1.55577355190747,7.69393142251601,2.77376603325247,47.5,46.49,360,0.5,2.69951064285488,2.70798618957842,2.77376603325247,0,1
42,-0.00172921674008748,1.53943110972399,7.07997509435826,2.66080687564733,-0.0104893382576546,1.52930065144323,7.13785944591321,2.67166978365419,-0.012137969477694,1.55943862922363,7.50021432885451,2.73862564113486,47.5,46.51,359,0.49,2.66080687564733,2.67166978365419,2.73862564113486,0,1
43,-0.00511423722121731,1.54018006666293,6.81436670428657,2.61041089486897,-0.0112708287768641,1.52867682236312,6.86147615436712,2.61942873898421,-0.0151443686978163,1.55730215896398,7.22288787156344,2.68751657273172,47.5,46.53,356,0.47,2.61041089486897,2.61942873898421,2.68751657273172,0,1
44,-0.00402258149969457,1.54246900186466,6.63816903797461,2.57644552786149,-0.0132747301195797,1.52919406228352,6.68669648985527,2.5858546380657,-0.0140216264418299,1.55718272861737,7.04217869231618,2.65368468102491,47.5,46.55,354,0.46,2.57644552786149,2.5858546380657,2.65368468102491,0,1
45,-0.00442713835791318,1.54452154720793,6.42293039851042,2.53434268080105,-0.0144954408694508,1.5287381710278,6.46364148719615,2.54236257699634,-0.0156268871314683,1.55500947163439,6.8259692718317,2.61262948386405,47.5,46.57,352,0.45,2.53434268080105,2.54236257699634,2.61262948386405,0,1
46,-0.00453627707552464,1.54498248794167,6.23641108960108,2.49726302572737,-0.0126138671738677,1.52937998635207,6.26526402474559,2.50304691132894,-0.0169493622045317,1.55419185963337,6.62238967834743,2.57337475973026,47.5,46.59,350,0.45,2.49726302572737,2.50304691132893,2.57337475973026,0,1
47,-0.00671592430038662,1.54670948111496,6.01923704383423,2.45340038559853,-0.0126861450461419,1.52883556599254,6.06077236454978,2.46186057820874,-0.0149273894242167,1.55340811371761,6.4097801202441,2.53172925384786,47.5,46.61,348,0.43,2.45340038559853,2.46186057820874,2.53172925384786,0,1
48,-0.00534976617356639,1.54796275705972,5.80385818816283,2.40911802520674,-0.0128139103007794,1.53052055257403,5.84849803091367,2.4183634161363,-0.0150286413489978,1.55239223742238,6.18192314420624,2.48632327744582,47.5,46.63,345,0.42,2.40911802520674,2.4183634161363,2.48632327744582,0,1
49,-0.00880934873742042,1.55031276518194,5.60412232301964,2.3672859596711,-0.0120882882466343,1.52967050281773,5.64785300859035,2.37651424845071,-0.0127165471243611,1.55035227600502,5.96837175753631,2.44300093479042,47.5,46.65,343,0.41,2.3672859596711,2.37651424845071,2.44300093479042,0,1
50,-0.0149928998212276,1.55096485614214,5.30969303284729,2.30426520468085,-0.0102618778759946,1.53280618440189,5.32585843007545,2.30778349482997,-0.00849616730130278,1.54894871540592,5.654058503151,2.37780266537046,47.5,46.67,338,0.39,2.30426520468086,2.30778349482997,2.37780266537046,0,1
51,-0.0134319458950522,1.55241986050448,5.10845559941812,2.26018006441819,-0.0100481431118876,1.53254808647465,5.09032930359104,2.25617954931095,-0.00819632755418037,1.54859828997554,5.39673257802675,2.3230646550828,47.5,46.69,335,0.38,2.26018006441819,2.25617954931095,2.3230646550828,0,1
52,-0.0113036336175285,1.55356601400059,4.89083963543457,2.21151223389825,-0.00910167458601853,1.52964790147571,4.88244144550713,2.20962679142829,-0.00782136626590773,1.5468160404461,5.15612218999054,2.27068758295177,47.5,46.71,332,0.37,2.21151223389825,2.20962679142829,2.27068758295176,0,1
53,-0.00871089305647196,1.55244747773249,4.69621143349404,2.16707550197683,-0.00786411410715005,1.52989363146618,4.68710523520109,2.16497996546063,-0.00793303185765861,1.54558007850435,4.93991924100133,2.22257090603593,47.5,46.73,329,0.36,2.16707550197683,2.16497996546063,2.22257090603593,0,1
54,-0.00718983991760559,1.55489171012041,4.49112548962726,2.11921931558645,-0.00439343264494867,1.5318831676564,4.48569597253256,2.11793735472006,-0.00564098024185419,1.54271397890977,4.70588933749509,2.16928551643988,47.5,46.75,325,0.34,2.11921931558645,2.11793735472006,2.16928551643988,0,1
55,-0.00574632104839876,1.55458336527138,4.29091381827264,2.07144758869064,-0.0051562739549768,1.53063014315145,4.29540651098453,2.07254687093046,-0.00493704432108471,1.54205710849358,4.49198354726473,2.11941024965506,47.5,46.77,322,0.33,2.07144758869064,2.07254687093046,2.11941024965506,0,1
56,-0.00476105382820613,1.55488346695,4.06390815594365,2.01590910548213,-0.00305443068037706,1.5311847898025,4.06770228293365,2.01685763811309,-0.00163485774911472,1.53929308901104,4.24069643235255,2.0592749601286,47.5,46.79,317,0.34,2.01590910548213,2.01685763811309,2.0592749601286,0,1
57,-0.000355639109674149,1.55546856982503,3.80769778339309,1.95133259579842,-0.00378828417795479,1.53013194062769,3.8116279990996,1.95234420287552,-0.00312748470599365,1.5359968037239,3.96353968881037,1.99084417501645,47.5,46.81,311,0.3,1.95133259579842,1.95234420287552,1.99084417501645,0,1
58,-0.00151917143889535,1.55611224079992,3.58787244566884,1.89416665751069,-0.000505159833345752,1.53346393906039,3.59642210772196,1.89641695519824,-0.00246839099835913,1.53852441768641,3.72661378778053,1.93042485644483,47.5,46.83,306,0.28,1.89416665751069,1.89641695519824,1.93042485644483,0,1
59,1.6061021273269e-05,1.55535035732976,3.35577659539564,1.83188163377248,-0.00216263462562848,1.53028603164742,3.37241065001266,1.83642750152721,-0.00241990711026686,1.53474668303295,3.4806993799142,1.86564469032524,47.5,46.85,300,0.27,1.83188163377248,1.83642750152721,1.86564469032524,0,1
60,-0.000942929741307984,1.55442793521488,3.12779537278949,1.7685498362588,-0.00139813180048166,1.53060039422867,3.15602987712752,1.77653028166095,-0.00101312370322668,1.53436728284152,3.24614522644739,1.80168899591741,47.5,46.87,292,0.25,1.7685498362588,1.77653028166095,1.80168899591741,0,1
61,0.000439963497267282,1.55274831399197,2.9022963211757,1.70361194518717,-0.00170856725895593,1.530995055113,2.926765002414,1.71078772610392,0.00193683454574057,1.53620636484334,3.00505333327452,1.73349204024222,47.5,46.89,286,0.23,1.70361194518717,1.71078772610392,1.73349204024222,0,1
62,0.000611258045292295,1.54962009203472,2.67191731216067,1.63460264057931,4.00443441876222e-05,1.52894622698549,2.70289536499996,1.64406205160078,0.00116653730812784,1.5358369179331,2.76232091346976,1.66200724596495,47.5,46.91,276,0.22,1.63460264057931,1.64406205160078,1.66200724596495,0,1
63,-0.000529348335496576,1.54642848363047,2.44081881267825,1.56231232184662,0.00210719344696126,1.52914176209411,2.47429858213958,1.57301100722688,0.00334385531918424,1.53686538558379,2.52164861498054,1.58795421613735,47.5,46.93,266,0.2,1.56231232184662,1.57301100722688,1.58795421613735,0,1
64,0.00384895027296671,1.54349527771837,2.11479919998626,1.45425314498627,0.00132663615629661,1.52863763080235,2.15876117633974,1.46928811817512,0.000503521921161527,1.53767455681322,2.18239375286172,1.47728002815987,47.5,46.95,252,0.18,1.45425314498627,1.46928811817512,1.47728002815987,0,1
65,0.00166735161885521,1.53888630069943,1.85483827937424,1.36193968014516,0.00171880683047708,1.53073058242025,1.89705486212166,1.37736704198241,0.00419602899427615,1.53741240798979,1.91484787165513,1.38376647710521,47.5,46.97,232,0.15,1.36193968014516,1.37736704198241,1.38376647710521,0,1
66,0.00385517094272551,1.53494964634055,1.52576072478757,1.23524601059154,0.00146176975467809,1.5255434965883,1.56608617756939,1.25146999697679,0.000777822743111986,1.53569023740275,1.57600075479076,1.25537897329992,47.5,46.99,218,0.13,1.23524601059154,1.25146999697679,1.25537897329993,0,1
67,-0.00454899697379315,1.53661135797164,9.11784419296411,3.01955014207837,-0.00676067313134629,1.53762105412529,9.19366893412293,3.03208870032038,-0.00725078579719881,1.56677093276821,9.58619252326193,3.09612681906418,50,48.85,375,0.58,3.01955014207837,3.03208870032038,3.09612681906418,0,1
68,-0.00244065608218008,1.53755421160308,8.84120728656553,2.9734005113086,-0.00970151133844318,1.5380124540625,8.91120170216468,2.98515352712083,-0.00904095745490789,1.56284084922747,9.30759583291826,3.05080553219601,50,48.87,373,0.57,2.97340051130861,2.98515352712083,3.05080553219601,0,1
69,-0.00265724313853956,1.53869598703126,8.63200131352815,2.93800528075235,-0.00808968725346639,1.53826563185998,8.68535954258608,2.94707980638462,-0.00990989722372176,1.56499457869176,9.11101752182185,3.01841610765236,50,48.89,371,0.55,2.93800528075235,2.94707980638462,3.01841610765236,0,1
70,-0.00335880165316931,1.53876356786362,8.43845189201637,2.90487925862949,-0.00687336554388876,1.53764995548833,8.49727241797466,2.91499664271738,-0.0102712753937612,1.56385357700593,8.89667130338036,2.98269902819721,50,48.91,370,0.55,2.90487925862949,2.91499664271737,2.98269902819721,0,1
71,-0.00179225813217925,1.54030933475381,8.21454177792627,2.866085608744,-0.00781849878047645,1.53699406891626,8.27080891690151,2.87588446858659,-0.0118561480833328,1.56431706735675,8.67028651980007,2.94450622827146,50,48.93,368,0.53,2.866085608744,2.87588446858659,2.94450622827146,0,1
72,-0.00151770982674515,1.54150082912121,7.96937779233381,2.82299294552443,-0.0107157919091321,1.53689580225063,8.02586691729604,2.83299420458256,-0.010521033648464,1.56226028560882,8.42585065860338,2.90270308163383,50,48.95,367,0.52,2.82299294552443,2.83299420458256,2.90270308163383,0,1
73,-0.00210437269790603,1.54199003237667,7.82631138180222,2.79753147092436,-0.0102064692483012,1.53778471215936,7.87679960867522,2.80654937863724,-0.0125115786090429,1.56223845742545,8.28589810286749,2.87849568143567,50,48.97,366,0.51,2.79753147092436,2.80654937863724,2.87849568143567,0,1
74,-0.00157398896079127,1.54376566334433,7.58616211202713,2.75428073117617,-0.0102995087206668,1.53653992005017,7.63594300848393,2.76331445913588,-0.0123826123972208,1.56167351726336,8.0322343739758,2.83409153237208,50,48.99,363,0.5,2.75428073117617,2.76331445913588,2.83409153237208,0,1
