idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.306364407850531,8.097674942831251,16.6154837587297,4.08303037506968,45.0,43.69,375,0.61,3.06010229129951,3.06875596976925,3.1196249961388904,0,2
2,0.311005252852502,7.975617927855249,16.5064829288571,4.06279492286379,45.0,43.72,373,0.6,3.01260276218669,3.0198015026580203,3.0734346124124996,0,2
3,0.519367231921999,8.10971058146503,16.487575438724,4.0618712501252405,45.0,43.75,371,0.59,2.9749116538489697,2.9811711612541605,3.03764478185331,0,2
4,0.527000791821102,8.21710294587389,16.314565057090302,4.04159731314461,45.0,43.78,369,0.58,2.92797939947505,2.9365463331708597,2.99223375721583,0,2
5,0.389632220135479,8.029060580596651,16.2204439299806,4.02751060228517,45.0,43.81,369,0.56,2.8808717043584706,2.89043148056985,2.9467914147733,0,2
6,0.494680824582889,8.170217834678349,16.1345298671828,4.0176489785293,45.0,43.84,365,0.55,2.84021628927595,2.84738616894099,2.9076874118427205,0,2
7,0.30860671485358504,8.26881587156818,15.7242714342079,3.9658421965523196,45.0,43.87,363,0.53,2.7858301866089397,2.79250852267955,2.85373925200272,0,2
8,0.350075796102596,8.16401508073285,15.865784950039,3.99070079681338,45.0,43.9,361,0.52,2.72704248514748,2.73417908790362,2.7948894695970203,0,2
9,0.548330811312176,8.35588993262523,15.5941052624962,3.9491593653528603,45.0,43.93,360,0.51,2.66955527269132,2.6776270562982996,2.73766081788863,0,2
10,0.4130688435523471,8.02464565083909,15.841010063090199,3.98065384163635,45.0,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
11,0.512392253445174,8.26588988143872,15.525909481798198,3.94205473837691,45.0,43.99,353,0.47,2.5645342628194103,2.5728778895059197,2.63688393150842,0,2
12,0.34900956063952504,8.34469180104028,14.8250827930643,3.85070060366844,45.0,44.02,349,0.46,2.5009892918031698,2.50287900171915,2.57511428804181,0,2
13,0.329121167059369,8.150366672647621,14.963334296751599,3.8682102807235097,45.0,44.05,346,0.45,2.4550837361005295,2.4555947226911297,2.52840054525723,0,2
14,0.43497138260213897,8.34008118730999,14.5554779045574,3.81747952944572,45.0,44.08,342,0.43,2.3876097621758796,2.38457450324621,2.4584940202157597,0,2
15,0.282313280377262,8.14827088061956,14.5921615978626,3.82034683181799,45.0,44.11,338,0.4,2.32020364102225,2.31571059974247,2.3853899753780294,0,2
16,0.31098793628960403,8.26994824645601,14.3047138208988,3.78216908220001,45.0,44.14,333,0.39,2.2480368700074,2.24611214303983,2.30868856452657,0,2
17,0.203934073667545,8.32597484767839,13.9412570543625,3.73423299209997,45.0,44.17,329,0.37,2.19189877951206,2.18983617790275,2.24641244062917,0,2
18,0.41312475529969606,8.52371791702356,13.789282280478801,3.7133585646654397,45.0,44.2,323,0.35,2.10631179328734,2.10051510743231,2.15270369021927,0,2
19,0.330376915888649,8.38874410408684,13.259321794420499,3.6414515071276097,45.0,44.23,316,0.33,2.02683292760475,2.02418950013487,2.0658546276287697,0,2
20,0.361696198116589,8.478343844652231,13.100412985477,3.62240084579862,45.0,44.26,311,0.31,1.9644857073983797,1.96272529784183,1.9999950826211599,0,2
21,0.19436871615845497,8.62839476037005,12.055397269133598,3.4741341363856804,45.0,44.29,303,0.29,1.8803201343814,1.87901851200483,1.91291368253185,0,2
22,0.216432709152947,8.62725416430371,11.7910650786904,3.43396184908115,45.0,44.32,294,0.27,1.79036173095473,1.78826777241565,1.8168424391498101,0,2
23,0.21250997615592998,8.572352719922959,11.028942547739,3.3246879127226605,45.0,44.35,283,0.24,1.6875086136900201,1.6891297272573103,1.70970761759703,0,2
24,0.235724594412341,8.73177876962955,10.5214809883869,3.2498718472238903,45.0,44.38,270,0.22,1.58915701581682,1.5957579596245801,1.6103379795361101,0,2
25,0.279226568048274,8.84589737697832,9.497490364949991,3.0840745314857996,45.0,44.41,254,0.19,1.4733253362047198,1.4827260508043998,1.4917178700781297,0,2
26,0.0313934775024982,9.146515004498552,8.226848730686429,2.87235015618319,45.0,44.44,233,0.17,1.33742630000395,1.3463363509830002,1.35335142342819,0,2
27,0.22821714112618105,9.62423762320654,6.82979032796452,2.61440025834963,45.0,44.47,210,0.12,1.18398103499212,1.1958681833032,1.1991837907412501,0,2
28,0.422293736295491,8.091148588127249,16.8080657902828,4.10679555520876,47.5,46.22,374,0.59,3.04392522054663,3.04604649969361,3.104251663764,0,2
29,0.383134173889055,8.209759045862171,16.4332920816423,4.05778709631169,47.5,46.25,373,0.58,3.00656088421987,3.00995527033553,3.0659797787374403,0,2
30,0.352141803875769,8.16090090449223,16.4030521502193,4.05620895542084,47.5,46.28,372,0.57,2.95603779015915,2.95466795765418,3.01565570687535,0,2
31,0.304553827874592,8.00920332540833,16.2294935952733,4.0329746715058,47.5,46.31,368,0.56,2.9062034222813304,2.9056654283882004,2.96756823476066,0,2
