idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.475307375972144,0.7373000073729999,2.43627934748516,0.25509869291144105,0.8329633886242621,0,1,1,45.0,43.69,375,0.61,3.06010229129951,3.06875596976925,3.1196249961388904,0,2
2,0.47911653120841796,0.7345703498024009,2.4865273208132996,0.257518515151029,0.79285615949903,0,1,1,45.0,43.72,373,0.6,3.01260276218669,3.0198015026580203,3.0734346124124996,0,2
3,0.48712920807928994,0.754261577915221,2.3601404993690296,0.23719707945921997,0.8541186651103809,0,1,1,45.0,43.75,371,0.59,2.9749116538489697,2.9811711612541605,3.03764478185331,0,2
4,0.48691413199370703,0.7541819388509291,2.35483679770251,0.240851195529452,0.8553876178842521,0,1,1,45.0,43.78,369,0.58,2.92797939947505,2.9365463331708597,2.99223375721583,0,2
5,0.480062709751286,0.7509198768491401,2.37997788271866,0.24051650163609803,0.8519670546488219,0,1,1,45.0,43.81,369,0.56,2.8808717043584706,2.89043148056985,2.9467914147733,0,2
6,0.4876250873432829,0.763370433136383,2.3031448365888902,0.230966776487409,0.8470407383850871,0,1,1,45.0,43.84,365,0.55,2.84021628927595,2.84738616894099,2.9076874118427205,0,2
7,0.477013222676849,0.755675120152345,2.3290535447286,0.23663965738829298,0.8681872238389731,0,1,1,45.0,43.87,363,0.53,2.7858301866089397,2.79250852267955,2.85373925200272,0,2
8,0.47650429111103204,0.75037894136539,2.3725588376453195,0.240617655165616,0.852363637282244,0,1,1,45.0,43.9,361,0.52,2.72704248514748,2.73417908790362,2.7948894695970203,0,2
9,0.48692198282915705,0.764596140318683,2.29070858049309,0.22973747595775101,0.8452748897707859,0,1,1,45.0,43.93,360,0.51,2.66955527269132,2.6776270562982996,2.73766081788863,0,2
10,0.486840829524495,0.7585756982689309,2.3180454536840798,0.234653004624675,0.8751054683052841,0,1,1,45.0,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
