idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.40005908356778,18.5132089707035,2.9517802315125494,2.17265422149214,-0.507034905019067,18.435011242620998,2.96172408864247,2.2107696634452902,-0.445053221816582,18.7519771513996,2.92781687745399,2.18169610552564,45.0,43.69,375,0.61,3.06010229129951,3.06875596976925,3.1196249961388904,0,2
2,-0.48409482167389506,18.845410689806602,2.93394775372349,2.2065594765267798,-0.50854198082489,18.786415927599602,2.8846882504243396,2.22211401072946,-0.36170453610732006,18.5523531397717,2.84318133000655,2.19553018203079,45.0,43.72,373,0.6,3.01260276218669,3.0198015026580203,3.0734346124124996,0,2
3,-0.34539104093571404,18.5327478327241,2.9191681298675602,2.2372919050223703,-0.256305756831596,18.6568572260069,2.9323355553407997,2.2134768555241497,-0.43077628083243297,18.8480392137346,2.91447539376187,2.22624961291667,45.0,43.75,371,0.59,2.9749116538489697,2.9811711612541605,3.03764478185331,0,2
4,-0.27495859706808196,18.538207135531,2.8306000130415203,2.22488357080254,-0.35737968678153403,18.8575510845851,2.8051182907705097,2.18018349918742,-0.227755171301913,19.29860939065,2.74837548360542,2.18943557411702,45.0,43.78,369,0.58,2.92797939947505,2.9365463331708597,2.99223375721583,0,2
5,-0.39976002560304,17.9008234962068,2.9462350320996404,2.1792936219064,-0.396218564798298,18.6680058648288,2.85072695377358,2.1878185950382503,-0.421600905670473,18.7042085511688,2.8101935341706605,2.16902602934615,45.0,43.81,369,0.56,2.8808717043584706,2.89043148056985,2.9467914147733,0,2
6,-0.261191981612374,18.451227841786,2.80452390492159,2.18287721799157,-0.256433836406098,18.7409245576629,2.8107510156053706,2.16083800933294,-0.21405718880445998,18.6153722282236,2.79487958280348,2.1711205251016,45.0,43.84,365,0.55,2.84021628927595,2.84738616894099,2.9076874118427205,0,2
7,-0.351887910251495,18.521295194763,2.80921277311983,2.1965760815186597,-0.425615360977266,19.322603783438,2.80288836924519,2.2012762094988303,-0.32322694892946197,18.1946150976477,2.8870783013719796,2.23843664227492,45.0,43.87,363,0.53,2.7858301866089397,2.79250852267955,2.85373925200272,0,2
8,-0.295783358007771,18.6531603427908,2.7860491922306205,2.2049474482272697,-0.324371615105276,18.4526157675524,2.79138588696529,2.18075486829047,-0.250684443600646,18.4365318843984,2.76818773753346,2.20571623893294,45.0,43.9,361,0.52,2.72704248514748,2.73417908790362,2.7948894695970203,0,2
9,-0.344261157364409,18.8047742144313,2.6632887741952698,2.15000626828034,-0.210512771629896,18.5294996344103,2.6285369522846898,2.12679750120333,-0.211217461059051,17.9757151160561,2.69640743229373,2.14823073960839,45.0,43.93,360,0.51,2.66955527269132,2.6776270562982996,2.73766081788863,0,2
10,-0.238902129230281,18.2434638040118,2.6913300139116205,2.15667210719534,-0.457583171019258,19.359049713978,2.7389997136617006,2.13698229595936,-0.378389628453659,18.6057553784588,2.72490505215173,2.15113632813065,45.0,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
11,-0.19220218123478602,18.8861209037296,2.6706035368762597,2.149125375088,-0.237446154714858,19.082971897204,2.6467749507179303,2.11198538979386,-0.322298237572859,18.8014930722553,2.67213167585624,2.13804971888647,45.0,43.99,353,0.47,2.5645342628194103,2.5728778895059197,2.63688393150842,0,2
12,-0.191763140323577,19.091153130337602,2.5999121279683997,2.13449243980462,-0.266187010535045,18.8171150681675,2.59656713700636,2.1660853734947403,-0.160013207759586,19.0859968152076,2.6358012141389597,2.1507015873314597,45.0,44.02,349,0.46,2.5009892918031698,2.50287900171915,2.57511428804181,0,2
13,-0.5002379242108429,19.1273249252203,2.6019750420802596,2.12879320037692,-0.29020747129393,18.979269411872497,2.6116636725169,2.09534910511603,-0.45055104939101004,19.390342893341103,2.61968944508219,2.11898114137096,45.0,44.05,346,0.45,2.4550837361005295,2.4555947226911297,2.52840054525723,0,2
14,-0.241810416732512,19.074209272936102,2.51348089666787,2.1006015914905,-0.27859844173540904,19.3569594997527,2.49953050114806,2.07580570252632,-0.26794898126439703,19.352265224256698,2.4691560926495897,2.06994770749453,45.0,44.08,342,0.43,2.3876097621758796,2.38457450324621,2.4584940202157597,0,2
15,-0.23312947789164998,19.2260052048933,2.50955745017961,2.14036672907101,-0.289411818188326,19.099399490857397,2.50229632022707,2.11867828405104,-0.31516119440970597,18.471060119093302,2.5766591898473,2.16186541388421,45.0,44.11,338,0.4,2.32020364102225,2.31571059974247,2.3853899753780294,0,2
