idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.453334964315144,0.7850032970138471,1.91960936165342,0.20782265805095698,0.7075447888918249,0,1,1,-0.100800976505168,0.616880312881695,2.13896729878222,0.518435775229924,0.933612606091275,0,1,1,-0.10341480254886,0.6288912647003331,2.15907433614881,0.484465774954349,0.927434753890148,0,1,1,45.0,43.69,375,0.61,3.06010229129951,3.06875596976925,3.1196249961388904,0,2
2,0.44991449008532397,0.7813232490545992,1.9494846860082298,0.206722482488657,0.7338917888876441,0,1,1,-0.0958293411239403,0.6159000763716089,2.15663548722172,0.51700964202,0.8337718487977941,0,1,1,-0.12070071669841301,0.623449170189155,2.1717135418237903,0.496512528851377,0.913846224166021,0,1,1,45.0,43.72,373,0.6,3.01260276218669,3.0198015026580203,3.0734346124124996,0,2
3,0.4453163795459071,0.770202409193136,2.03014695159706,0.212972595634511,0.78917579288753,0,1,1,-0.0786588537486148,0.619563331763773,2.15853817756201,0.50869912378105,0.8225196623499119,0,1,1,-0.0901759981531596,0.6305567816381861,2.1858910997904197,0.479054638680345,0.9258654011535621,0,1,1,45.0,43.75,371,0.59,2.9749116538489697,2.9811711612541605,3.03764478185331,0,2
4,0.443091213363489,0.7725229053041421,1.99472918032122,0.212442762467529,0.77896827712191,0,1,1,-0.092270250532311,0.615718050390366,2.09405746483167,0.526386509325807,0.8949390667024351,0,1,1,-0.112166431377862,0.628472309510043,2.1236972757325,0.48891072996643603,0.92769599017598,0,1,1,45.0,43.78,369,0.58,2.92797939947505,2.9365463331708597,2.99223375721583,0,2
5,0.47014998048570594,0.79012657827784,1.9485956237427,0.195521452020631,0.753825516913383,0,1,1,-0.083162147868534,0.626511458894583,2.13249290553123,0.493023986471129,0.921417428306473,0,1,1,-0.0978111218935365,0.636019029689368,2.15980762725517,0.46992266864470505,0.9487554626506691,0,1,1,45.0,43.81,369,0.56,2.8808717043584706,2.89043148056985,2.9467914147733,0,2
6,0.45572840505930295,0.7838956478113629,1.9669991005065701,0.19896613274267896,0.776216323680052,0,1,1,-0.0772853259068733,0.6347433098055151,2.10594367679421,0.4800664537721379,0.8886808986063871,0,1,1,-0.095787857030078,0.6431778129381651,2.11653126626058,0.458930081759656,0.796606613467553,0,1,1,45.0,43.84,365,0.55,2.84021628927595,2.84738616894099,2.9076874118427205,0,2
7,0.45026941691423106,0.7771094636390481,1.97621918703002,0.20747659863296603,0.7671180363590979,0,1,1,-0.10280107783298699,0.610187693734593,2.14077872793246,0.532983577909647,0.9301098867698979,0,1,1,-0.108670209672948,0.624828172252631,2.17785013557841,0.488160951176332,0.868556161946082,0,1,1,45.0,43.87,363,0.53,2.7858301866089397,2.79250852267955,2.85373925200272,0,2
8,0.4437703895025089,0.774017771448033,1.9809310867863201,0.21194024960481897,0.78877539869866,0,1,1,-0.0753735955777582,0.623262655348217,2.16405601887098,0.49969973207154295,0.929640620324836,0,1,1,-0.11136028072967802,0.630143546699938,2.17926563614826,0.479941256549609,0.9475133934988409,0,1,1,45.0,43.9,361,0.52,2.72704248514748,2.73417908790362,2.7948894695970203,0,2
9,0.454683095774813,0.786608772261028,1.95179480045126,0.192442511287268,0.80909612268446,0,1,1,-0.080054033888146,0.6368209896198179,2.11195785391148,0.47401051671725297,0.936004213382352,0,1,1,-0.0896502495052638,0.6464959917248511,2.1408081020046397,0.449206187844253,0.911982945571288,0,1,1,45.0,43.93,360,0.51,2.66955527269132,2.6776270562982996,2.73766081788863,0,2
10,0.44681591458882003,0.7800920508620021,1.9564721598633301,0.202263308379709,0.8111133223065791,0,1,1,-0.085514981589834,0.627533667181244,2.07945457891591,0.49981304843167895,0.9417435556320201,0,1,1,-0.0885550139642227,0.641329861601016,2.11698481273635,0.46155260214882105,0.8932675739401579,0,1,1,45.0,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
