idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1.39362475445399,0.0139475189366471,0.0468039200747016,0.0100370758149072,0.183795383640312,0.519438416616505,0.336131998221283,45,43.79,361,0.51,2.84492573118618,2.72398937220626,2.84575246369428,0,3
2,1.40240926516499,0.012861712786102,0.0399458410653723,0.0156950045483137,0.168873024793395,0.501034781765545,0.39205156300964,45,43.81,360,0.51,2.81577401745139,2.69249146738658,2.81782288116469,0,3
3,1.23829756133965,0.0142215729606193,0.0381425303490617,0.0143754566499545,0.214475889387602,0.466935533695403,0.334080505142874,45,43.83,358,0.5,2.78449759761626,2.65845993417911,2.78492511723715,0,3
4,1.02295051570214,0.0169382968997875,0.0360203875567976,0.0137866829920993,0.15446825158551,0.43550688785184,0.285740680584778,45,43.85,357,0.48,2.7507607300395,2.62831461394681,2.75498614240083,0,3
5,1.33739187820378,0.0131418070436696,0.055639088300275,0.0123979528478528,0.216516185949916,0.433749437495497,0.387939486087492,45,43.87,355,0.48,2.71528666788981,2.59621524810626,2.72327601570583,0,3
6,1.38438184225858,0.0162695562163541,0.0303981256765883,0.0141631983186093,0.174816033983958,0.393488415637125,0.352151974057267,45,43.89,353,0.48,2.68187710377233,2.56223502533858,2.69079297785367,0,3
7,1.35787587745862,0.0147182530646318,0.0372742822882982,0.00966300796759108,0.205370824649244,0.400833336008642,0.317656616264388,45,43.91,351,0.46,2.64800770091931,2.5287449278422,2.6542426138428,0,3
8,1.26816465548527,0.0173816001213079,0.0507106457629852,0.0230186495194834,0.228135400519115,0.493052563020895,0.317000549370943,45,43.93,349,0.45,2.60064625514862,2.48100752676471,2.608257717608,0,3
9,0.89738328441164,0.0218026719063703,0.0430039000623841,0.0167507544656826,0.155194432398424,0.471859774307153,0.356974533027411,45,43.95,347,0.44,2.55722356708292,2.44261076324736,2.56981043942614,0,3
10,1.16794297743935,0.013935566108234,0.0346567618575424,0.0170541318548626,0.203959275164349,0.48775020446244,0.373538325739076,45,43.97,343,0.42,2.50338095804278,2.37180725432493,2.50180123112587,0,3
