idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.364373133102982,8.01298389901919,16.7634503314183,4.09970552107075,45,43.79,361,0.51,2.84492573118618,2.72398937220626,2.84575246369428,0,3
2,0.49479386154216,8.22267250231976,16.3605014136261,4.04501860346578,45,43.81,360,0.51,2.81577401745139,2.69249146738658,2.81782288116469,0,3
3,0.480453753861568,8.14498282538653,16.5726976825582,4.07091770571519,45,43.83,358,0.5,2.78449759761626,2.65845993417911,2.78492511723715,0,3
4,0.3600682053284,8.16411797190749,15.8712003705102,3.98571579787879,45,43.85,357,0.48,2.7507607300395,2.62831461394681,2.75498614240083,0,3
5,0.537220406094287,8.22495584445566,16.2592312272974,4.03417952963728,45,43.87,355,0.48,2.71528666788981,2.59621524810626,2.72327601570583,0,3
6,0.402893480421325,8.07364617702805,15.9716715185492,3.99894356713765,45,43.89,353,0.48,2.68187710377233,2.56223502533858,2.69079297785367,0,3
7,0.253432636846215,8.20315082551542,15.7868266695621,3.976237931249,45,43.91,351,0.46,2.64800770091931,2.5287449278422,2.6542426138428,0,3
8,0.406134002546469,8.20296613044023,15.6660611736404,3.96033072904473,45,43.93,349,0.45,2.60064625514862,2.48100752676471,2.608257717608,0,3
9,0.50082431322443,8.34061575207083,15.4078043886021,3.92574471910347,45,43.95,347,0.44,2.55722356708292,2.44261076324736,2.56981043942614,0,3
10,0.482825298916783,8.29791952388329,15.4970837073174,3.93672163982143,45,43.97,343,0.42,2.50338095804278,2.37180725432493,2.50180123112587,0,3
11,0.37435050933509,8.40876994139852,14.9621245317711,3.86839301435418,45,43.99,341,0.41,2.46691223645804,2.34038967196584,2.46560111069431,0,3
12,0.300541040948436,8.16085318177321,14.8926870618502,3.85910246602653,45,44.01,339,0.4,2.43137708048843,2.305960674274,2.42970343161469,0,3
13,0.507626924459689,8.37457817426569,15.1294424390374,3.89017840927233,45,44.03,337,0.39,2.38888911952163,2.26534284937654,2.38575273614839,0,3
14,0.267389222747896,8.22130800838767,14.8798726429186,3.85913632792236,45,44.05,334,0.38,2.36195997745935,2.24103827477304,2.3605671582774,0,3
15,0.201457179924004,8.08535269504066,14.9488996194301,3.86658582906588,45,44.07,331,0.37,2.29639584821858,2.18580147194901,2.29254092921678,0,3
16,0.334891238179898,8.3257720105575,14.4170019441559,3.79866627144116,45,44.09,329,0.37,2.25125272698058,2.14161159911574,2.24754127804156,0,3
17,0.224814953247518,8.18744468345925,14.4457754674585,3.80083093868958,45,44.11,326,0.35,2.21382821982242,2.10721131459713,2.21260752642799,0,3
18,0.22127735946631,8.38138869581203,13.9759457897081,3.74435971017263,45,44.13,323,0.34,2.16889979440645,2.0608308223603,2.1775981740647,0,3
19,0.396383786852754,8.33896983730358,14.3006062564561,3.78862617414482,45,44.15,319,0.33,2.13963754041013,2.03394005734277,2.14686785142515,0,3
20,0.438216258496272,8.36487611596948,13.8506488370739,3.72183666080586,45,44.17,316,0.32,2.08285204359176,1.97664081890175,2.08501676682685,0,3
21,0.256829115009472,8.20475573122249,13.5767810593101,3.68479020914879,45,44.19,309,0.3,2.0334612728209,1.92656199139175,2.02727806440573,0,3
22,0.348162711599174,8.24505981789847,13.5720573263037,3.6865714949343,45,44.21,305,0.29,1.96658945174818,1.86042681950652,1.95587691886361,0,3
23,0.0927540709877388,8.21510932487683,12.6565583729424,3.55813447926528,45,44.23,301,0.28,1.91869052830687,1.81232369478189,1.90279725465541,0,3
24,0.413392016268647,9.0223296323607,12.0446144795187,3.47562682447722,45,44.25,295,0.26,1.87147146661595,1.7645801878874,1.85109716473564,0,3
25,0.290816814319293,8.66559674478627,11.7164716691079,3.42322837925215,45,44.27,291,0.26,1.82310975312624,1.72212229143076,1.80308091312747,0,3
26,0.209268299980494,8.83338249165129,11.2915599757642,3.36354321952014,45,44.29,283,0.25,1.77250961721088,1.67305428015254,1.75042870580367,0,3
27,0.22879660212081,8.74967898008191,11.3645248783413,3.3768389085465,45,44.31,278,0.23,1.7156234238368,1.61892934107203,1.68915915568708,0,3
28,0.148189272523321,8.88872624966609,10.6338663502989,3.26094760370955,45,44.33,269,0.21,1.65530553656799,1.56401179822622,1.63081266503385,0,3
29,0.307451922163683,8.67435604210892,10.3071661332654,3.21472929861363,45,44.35,259,0.2,1.56894193122431,1.48349074724105,1.54154168570936,0,3
30,-0.000635188842820779,8.48259506762129,9.55511618333871,3.09110884595417,45,44.37,251,0.18,1.51366248188271,1.43396158291418,1.48924923179398,0,3
31,0.161245548368539,8.75165219891936,8.76206316429496,2.96119677779748,45,44.39,240,0.18,1.44789771927156,1.37469450326303,1.4239541106048,0,3
32,0.235850774079788,8.87481746790225,8.25130021701256,2.87291869608504,45,44.41,228,0.15,1.37086060583367,1.30244377382509,1.34754011272352,0,3
33,0.00277230588302255,9.5910784015786,6.84441745435454,2.61849881547478,45,44.43,215,0.14,1.27845166018596,1.21431481065107,1.25632986542637,0,3
34,0.373998812120773,8.00750326990445,16.6072184127981,4.07688563637411,47.5,46.3,360,0.5,2.81534906273288,2.69457672625557,2.81826127266993,0,3
35,0.470346986543276,8.10919658438679,16.4252727444747,4.05437496936727,47.5,46.32,358,0.5,2.755926813853,2.63420096436156,2.75916613598605,0,3
36,0.312747669704845,7.78446281342417,17.2397587729776,4.15224681282002,47.5,46.35,354,0.46,2.6960176087991,2.56532667625669,2.6940235662649,0,3
37,0.274390773873272,8.18710834360854,16.0577578136399,4.00816145682044,47.5,46.37,352,0.46,2.65894177151607,2.52429914565839,2.65426254927601,0,3
38,0.528520323077298,8.17704954985865,16.0866850532646,4.01086810591721,47.5,46.39,350,0.44,2.62266327507959,2.49162937422483,2.6201719769681,0,3
39,0.271961795656955,8.18880712975067,15.8458442702128,3.98711480768467,47.5,46.41,348,0.43,2.57401999636457,2.44288923290069,2.5746427889834,0,3
40,0.253402133518034,8.31031299797458,15.4586006129888,3.93510531019664,47.5,46.43,346,0.42,2.53311612312318,2.40523345917434,2.53706827606718,0,3
41,0.37042052969674,8.21551848693199,15.519914606282,3.94005142629746,47.5,46.45,344,0.41,2.4934603192711,2.36906306839698,2.49679393245287,0,3
42,0.375099154229841,8.20551574044869,15.3872826889634,3.92299945092837,47.5,46.47,344,0.41,2.45795012791149,2.33185278658899,2.45967062370812,0,3
43,0.427512725357958,8.34089586896947,15.0040588154087,3.87630393898485,47.5,46.49,339,0.39,2.41376930493196,2.29117501972126,2.41746828961326,0,3
44,0.288343027334553,8.4036320513305,15.0741408403036,3.88381896250741,47.5,46.51,337,0.39,2.37629558508167,2.25580994939236,2.37823237960256,0,3
45,0.452322877069332,8.33563609493636,14.8573683539512,3.85727152884101,47.5,46.53,333,0.38,2.31723818792455,2.19959586749963,2.31585610644888,0,3
46,0.441258072074013,8.26507145322381,14.7786547308826,3.84430479993488,47.5,46.55,330,0.36,2.27517548763121,2.15814243740091,2.27089836093748,0,3
47,0.451764737773746,8.25295545587352,14.7461876878739,3.84013644138644,47.5,46.57,328,0.35,2.23306231008235,2.11832324861497,2.22822316170958,0,3
48,0.24750892816369,8.4260495270391,14.0362997897544,3.74784754284015,47.5,46.59,324,0.33,2.19243995149983,2.07753743452231,2.18397456627026,0,3
49,0.40253819859584,8.2864020502795,14.0128338945882,3.74333496330538,47.5,46.62,318,0.32,2.12154873290373,2.0097251160816,2.11020979356157,0,3
50,0.230823869077243,8.28015705591362,13.6130954081669,3.68965518949695,47.5,46.65,313,0.3,2.05752638910453,1.9508195887666,2.04250157157088,0,3
51,0.337947963118728,8.48039638768698,12.9437956512146,3.59775914092415,47.5,46.68,302,0.27,1.94898608544236,1.83137394186102,1.91100867380072,0,3
52,0.31476927516128,8.56112942642512,12.3250636722173,3.5110498104272,47.5,46.71,293,0.25,1.86572108124428,1.7509292785457,1.82140266235506,0,3
53,0.205589440201633,8.9306692325584,11.450117654909,3.3865263982729,47.5,46.74,284,0.23,1.77997611173253,1.67240359892784,1.73544060808038,0,3
54,0.237630380463985,8.54933742195653,11.3264778340544,3.36610707984249,47.5,46.76,278,0.21,1.71631294549705,1.61393840296727,1.67118669825697,0,3
55,0.145165850580171,8.62463261024454,10.7057566618596,3.27355965662757,47.5,46.79,256,0.2,1.64433759948596,1.54601963697783,1.59861266467508,0,3
56,0.112186713637342,9.072865161699,9.76140719825029,3.12778218172623,47.5,46.82,253,0.18,1.53524309069037,1.44782761826643,1.49029656042839,0,3
57,0.0671996225382504,8.8307557289523,8.707569159906,2.95422251014783,47.5,46.85,235,0.16,1.41367780471263,1.33454179796798,1.3728181678084,0,3
58,0.18021852948113,8.99053242600157,7.40246944039122,2.72754758982039,47.5,46.88,211,0.13,1.25931946459275,1.19400037960623,1.22305345175378,0,3
59,0.541750591589442,8.38969345963149,16.4069432827914,4.05052989113222,50,48.81,362,0.52,2.85550890549537,2.71873777452002,2.84954826011955,0,3
60,0.395946537177857,7.89847548199408,16.9939489766831,4.12260577207292,50,48.83,361,0.49,2.81670656398863,2.67852355661397,2.81302589950074,0,3
61,0.528408586243323,8.2220474280818,16.6446751572037,4.08144992154222,50,48.85,359,0.48,2.78155578485085,2.64242275340525,2.77677741961327,0,3
62,0.360962044205274,8.3044952586032,16.0456856401012,4.00606821729869,50,48.87,358,0.48,2.75126446303673,2.61531924555176,2.74617890582401,0,3
63,0.585630255882531,8.11777688072098,16.9458587892546,4.11673681332264,50,48.89,356,0.47,2.71775773205469,2.57903438487906,2.71397759827231,0,3
64,0.27436196743792,8.14669634239411,16.0162714883086,4.00280857125312,50,48.91,354,0.46,2.67501449305018,2.53886833468497,2.67287673231142,0,3
65,0.402942984460204,8.18567067748016,15.9846641288253,3.99836635516194,50,48.93,352,0.45,2.63161435368699,2.4957932156588,2.62733987607183,0,3
66,0.550531656293992,8.13342260964636,16.5496639830739,4.06889810672381,50,48.95,350,0.44,2.5908214615773,2.45819217164186,2.58844303366333,0,3
67,0.473580155225351,8.39078817919519,15.8630959374906,3.983271343962,50,48.97,347,0.42,2.54603869063526,2.41681393215947,2.54459967597896,0,3
68,0.431455173281728,8.42873721342379,15.4821873467469,3.93483978425628,50,48.99,345,0.41,2.50561266121574,2.37497885303897,2.50369159269188,0,3
69,0.540356369348749,8.31205731919201,16.0437809886851,4.00630456353935,50,49.01,342,0.4,2.4491011062703,2.32115476017961,2.44574743597823,0,3
70,0.503936663160026,8.53353089274436,15.1440366659058,3.89702333899027,50,49.03,338,0.38,2.39012185121547,2.26529526775766,2.38561816163358,0,3
71,0.331223061740303,8.47108027541698,14.9242409555945,3.86944131713996,50,49.07,336,0.37,2.33141039288713,2.20805457147418,2.32519564029567,0,3
72,0.379965295753971,8.39603400512724,14.7681561982284,3.84559473150018,50,49.09,332,0.36,2.29954547747265,2.17762914915635,2.29667451278546,0,3
73,0.352924629824864,8.42542372379413,14.6992477703224,3.83488610774748,50,49.11,339,0.35,2.26419765951396,2.14732838459674,2.25916546939318,0,3
74,0.350387167997797,8.32681822928086,14.0516179960446,3.74871311654651,50,49.15,319,0.31,2.13331928566003,2.00380409202985,2.11058338100473,0,3
75,0.289500014600023,8.66560331347563,13.1457045860479,3.62743009586646,50,49.17,312,0.29,2.04568362288681,1.92403033812876,2.01663759329455,0,3
76,0.34275730950776,8.56157411604679,13.2046930087634,3.63499449231195,50,49.19,308,0.28,1.99131764052168,1.87047138197717,1.95820153279298,0,3
77,0.424220422792035,8.58523554583851,12.838362061661,3.58304147276853,50,49.21,302,0.27,1.94177980257494,1.82181095069149,1.90600680144638,0,3
78,0.405668872052608,8.6683167843184,12.6718658175,3.5624859810751,50,49.24,293,0.25,1.8482335383227,1.7326255570411,1.80605267407555,0,3
79,0.189356328776169,8.55376945275879,11.4578602486646,3.38492955905029,50,49.27,280,0.22,1.73891263665782,1.6321244878946,1.69428706328261,0,3
80,0.213214532588119,8.59597911385009,11.4065893523151,3.38021289464478,50,49.3,271,0.21,1.66670941086913,1.56623691746863,1.62130131117301,0,3
81,0.291915266303766,8.98989551344008,10.1024169610248,3.18024760850028,50,49.33,259,0.18,1.55805674696786,1.46835718648075,1.51605758816626,0,3
82,0.407965490396264,9.3020279603098,8.67030939883674,2.94632877485814,50,49.36,241,0.16,1.44404391384908,1.36354490007228,1.40374521723353,0,3
83,0.262356678861128,9.15472987422381,8.21154353542267,2.86557436080725,50,49.39,224,0.14,1.33221007994295,1.26025129249867,1.29498942932783,0,3
84,0.427408073158967,7.83855658567542,17.5105550558614,4.18703895486233,52.5,51.3,365,0.5,2.89284747569835,2.74391288308382,2.88405737647885,0,3
85,0.187693466089384,8.08880412354317,16.402869587614,4.05388629488006,52.5,51.32,364,0.49,2.87036751383703,2.72677982783157,2.86367703024007,0,3
