idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.462995174211075,0.724112961622014,2.49521735978713,0.275145871650697,0.813220628116863,0,1,1,45,43.79,361,0.51,2.84492573118618,2.72398937220626,2.84575246369428,0,3
2,0.455655668531177,0.743549706297866,2.39391044898565,0.255876629369073,0.869228612662706,0,1,1,45,43.81,360,0.51,2.81577401745139,2.69249146738658,2.81782288116469,0,3
3,0.470375019054839,0.741179958493923,2.41693760537095,0.25383243402633,0.8485625839067,0,1,1,45,43.83,358,0.5,2.78449759761626,2.65845993417911,2.78492511723715,0,3
4,0.458357742685334,0.741619697419164,2.37502585790065,0.25940853566298,0.869411446412055,0,1,1,45,43.85,357,0.48,2.7507607300395,2.62831461394681,2.75498614240083,0,3
5,0.462941533890175,0.746513780644391,2.37351884479748,0.253540126504048,0.86267579581496,0,1,1,45,43.87,355,0.48,2.71528666788981,2.59621524810626,2.72327601570583,0,3
6,0.460568012639922,0.735229244478428,2.421846209977,0.262666896414798,0.880979290105961,0,1,1,45,43.89,353,0.48,2.68187710377233,2.56223502533858,2.69079297785367,0,3
7,0.44308476649004,0.726142585358061,2.42523495860876,0.27243647065923,0.854937443265122,0,1,1,45,43.91,351,0.46,2.64800770091931,2.5287449278422,2.6542426138428,0,3
8,0.464119441649121,0.74130083470474,2.39294562235346,0.255902499360509,0.874957134085691,0,1,1,45,43.93,349,0.45,2.60064625514862,2.48100752676471,2.608257717608,0,3
9,0.461918238703074,0.745723277006369,2.36826582871035,0.255571574416918,0.86658075721065,0,1,1,45,43.95,347,0.44,2.55722356708292,2.44261076324736,2.56981043942614,0,3
10,0.475263456684366,0.761185622725958,2.30524996512028,0.236903183383937,0.866041813537439,0,1,1,45,43.97,343,0.42,2.50338095804278,2.37180725432493,2.50180123112587,0,3
11,0.451094594951919,0.738149017523658,2.39574250117699,0.262725435240014,0.864121507754617,0,1,1,45,43.99,341,0.41,2.46691223645804,2.34038967196584,2.46560111069431,0,3
12,0.451055271986841,0.732772518099481,2.42270528698037,0.265575388830745,0.858214331066738,0,1,1,45,44.01,339,0.4,2.43137708048843,2.305960674274,2.42970343161469,0,3
13,0.463513231032477,0.753409176523771,2.33312531671406,0.242705391322083,0.872637838462527,0,1,1,45,44.03,337,0.39,2.38888911952163,2.26534284937654,2.38575273614839,0,3
14,0.463008294741487,0.754102316602317,2.31780686816573,0.243406006920672,0.879656746864562,0,1,1,45,44.05,334,0.38,2.36195997745935,2.24103827477304,2.3605671582774,0,3
15,0.476816571570355,0.744657085412168,2.35720273508356,0.249146016531343,0.879767750531267,0,1,1,45,44.07,331,0.37,2.29639584821858,2.18580147194901,2.29254092921678,0,3
16,0.452382758494909,0.737223909645838,2.38738055197821,0.256277370355983,0.8642742905091,0,1,1,45,44.09,329,0.37,2.25125272698058,2.14161159911574,2.24754127804156,0,3
17,0.470236220705558,0.746547219111609,2.37869543632066,0.242661336398315,0.877052496312431,0,1,1,45,44.11,326,0.35,2.21382821982242,2.10721131459713,2.21260752642799,0,3
18,0.460322766993391,0.746971032463361,2.32817825037016,0.248339994015283,0.867742230681431,0,1,1,45,44.13,323,0.34,2.16889979440645,2.0608308223603,2.1775981740647,0,3
19,0.472432912571461,0.756715853197124,2.29940542419571,0.237813937429763,0.891640161333751,0,1,1,45,44.15,319,0.33,2.13963754041013,2.03394005734277,2.14686785142515,0,3
20,0.477040127566289,0.771533499984569,2.23308400569336,0.218447509255612,0.88545400849179,0,1,1,45,44.17,316,0.32,2.08285204359176,1.97664081890175,2.08501676682685,0,3
21,0.477581913774347,0.764292265362274,2.26228755055302,0.225009391440522,0.898926231366282,0,1,1,45,44.19,309,0.3,2.0334612728209,1.92656199139175,2.02727806440573,0,3
22,0.488980552831187,0.778816199376946,2.18160312119037,0.211956572176773,0.904597656723619,0,1,1,45,44.21,305,0.29,1.96658945174818,1.86042681950652,1.95587691886361,0,3
23,0.466809683956253,0.748144601388557,2.3536061156292,0.240416299732129,0.863690683715709,0,1,1,45,44.23,301,0.28,1.91869052830687,1.81232369478189,1.90279725465541,0,3
24,0.462354092296959,0.765990042129452,2.18556534574647,0.229080074808495,0.92838601301682,0,1,1,45,44.25,295,0.26,1.87147146661595,1.7645801878874,1.85109716473564,0,3
25,0.458386879290345,0.772642282076244,2.16635859321995,0.21824611451816,0.924170073678245,0,1,1,45,44.27,291,0.26,1.82310975312624,1.72212229143076,1.80308091312747,0,3
26,0.445307136208541,0.745112064854555,2.27174733811368,0.245548259446015,0.908317733892866,0,1,1,45,44.29,283,0.25,1.77250961721088,1.67305428015254,1.75042870580367,0,3
27,0.477864138877286,0.758771397353405,2.24960621436219,0.226679606255069,0.918546630937094,0,1,1,45,44.31,278,0.23,1.7156234238368,1.61892934107203,1.68915915568708,0,3
28,0.477439201991138,0.75719715899626,2.24232803876779,0.230043223292346,0.903961904448168,0,1,1,45,44.33,269,0.21,1.65530553656799,1.56401179822622,1.63081266503385,0,3
29,0.471676336049749,0.775518434073178,2.13158816338761,0.212103650420585,0.948675275386959,0,1,1,45,44.35,259,0.2,1.56894193122431,1.48349074724105,1.54154168570936,0,3
30,0.469928825152282,0.765661608195642,2.18064320184939,0.215608255395989,0.946564660208431,0,1,1,45,44.37,251,0.18,1.51366248188271,1.43396158291418,1.48924923179398,0,3
31,0.471745414820767,0.775470322750748,2.14726975230173,0.20376270613946,0.954292027099689,0,1,1,45,44.39,240,0.18,1.44789771927156,1.37469450326303,1.4239541106048,0,3
32,0.4714531434604,0.782742102132189,2.08711869366111,0.197928056113037,0.947579874873799,0,1,1,45,44.41,228,0.15,1.37086060583367,1.30244377382509,1.34754011272352,0,3
33,0.439068291160404,0.777181938291754,2.02266339026569,0.200483280040664,0.966081373628428,0,1,1,45,44.43,215,0.14,1.27845166018596,1.21431481065107,1.25632986542637,0,3
34,0.478031372261579,0.739951459184278,2.42065681168528,0.256882619804214,0.845584270113024,0,1,1,47.5,46.3,360,0.5,2.81534906273288,2.69457672625557,2.81826127266993,0,3
35,0.472402765656976,0.74956899782625,2.37820975979734,0.249702469166155,0.857434453574027,0,1,1,47.5,46.32,358,0.5,2.755926813853,2.63420096436156,2.75916613598605,0,3
36,0.453731139521882,0.729022380987096,2.41623694299152,0.278171085486541,0.845951768132449,0,1,1,47.5,46.35,354,0.46,2.6960176087991,2.56532667625669,2.6940235662649,0,3
37,0.474048839665636,0.737104359235181,2.41110631449053,0.263197708526589,0.82822243617589,0,1,1,47.5,46.37,352,0.46,2.65894177151607,2.52429914565839,2.65426254927601,0,3
38,0.477548488088904,0.752298271218573,2.35981024537083,0.245180610084938,0.854883474878707,0,1,1,47.5,46.39,350,0.44,2.62266327507959,2.49162937422483,2.6201719769681,0,3
39,0.466447289559695,0.735716072453319,2.41201975980977,0.259743773628816,0.856831584904812,0,1,1,47.5,46.41,348,0.43,2.57401999636457,2.44288923290069,2.5746427889834,0,3
40,0.462723629963491,0.730257488790547,2.42203847446437,0.267915973496055,0.843010333193836,0,1,1,47.5,46.43,346,0.42,2.53311612312318,2.40523345917434,2.53706827606718,0,3
41,0.471279347681592,0.735694421964893,2.4364468072099,0.258026405135178,0.824649118597687,0,1,1,47.5,46.45,344,0.41,2.4934603192711,2.36906306839698,2.49679393245287,0,3
42,0.471622538421857,0.750807117651476,2.35761970982122,0.244669459181613,0.859778697564835,0,1,1,47.5,46.47,344,0.41,2.45795012791149,2.33185278658899,2.45967062370812,0,3
43,0.469447967165869,0.749333093546743,2.33650430949631,0.252429116896889,0.867338258431546,0,1,1,47.5,46.49,339,0.39,2.41376930493196,2.29117501972126,2.41746828961326,0,3
44,0.470974167478974,0.74809982644084,2.34238493104404,0.248787646928598,0.866433265446452,0,1,1,47.5,46.51,337,0.39,2.37629558508167,2.25580994939236,2.37823237960256,0,3
45,0.469136044647011,0.747540591454116,2.34958857633256,0.24848313940405,0.876448311316606,0,1,1,47.5,46.53,333,0.38,2.31723818792455,2.19959586749963,2.31585610644888,0,3
46,0.479383319942091,0.763417054737003,2.29103197149231,0.229330301826591,0.873501287810472,0,1,1,47.5,46.55,330,0.36,2.27517548763121,2.15814243740091,2.27089836093748,0,3
47,0.471990757269009,0.751077796638176,2.33649530888534,0.241510199391681,0.876172303673097,0,1,1,47.5,46.57,328,0.35,2.23306231008235,2.11832324861497,2.22822316170958,0,3
48,0.469212154800281,0.755903607172014,2.2739373336749,0.238874658988907,0.89836286379861,0,1,1,47.5,46.59,324,0.33,2.19243995149983,2.07753743452231,2.18397456627026,0,3
