idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.373410501727883,8.14427114942195,16.3956306073754,4.05175914495424,45,43.75,374,0.6,3.07604412624126,3.06185372143614,3.11025790917569,0,5
2,0.364027387297324,8.1016358961097,16.4658025295055,4.05833550238249,45,43.78,372,0.6,3.03299704640253,3.01591966843663,3.06734367378317,0,5
3,0.56849563824657,8.3864756092386,16.3444343333111,4.04560398099787,45,43.81,370,0.58,2.97905556290464,2.95997271232726,3.01766751779053,0,5
4,0.350158672517222,8.05724036095051,16.0667963702973,4.0138892974173,45,43.84,368,0.57,2.94596374956647,2.91748275601117,2.97911899115269,0,5
5,0.449511504960273,8.04168152571766,16.2724594304586,4.03780249719458,45,43.87,363,0.53,2.79672769101047,2.78212361619009,2.84375886764388,0,5
6,0.456726009372894,8.06134907367649,15.9958121243224,3.99984898316181,45,43.9,360,0.52,2.74543667369112,2.73304738711458,2.79739672444549,0,5
7,0.269763475275171,8.03692410427225,15.743344722839,3.97565951816399,45,43.93,358,0.5,2.69294982567367,2.67787157270718,2.74482460999449,0,5
8,0.393565792921964,8.18724307354904,15.4527142087566,3.93411483710083,45,43.96,356,0.49,2.64527527846187,2.62911470317611,2.69656697958182,0,5
9,0.554266364224211,8.35028674676101,15.5122437974518,3.93880247941196,45,43.99,353,0.48,2.58545750015364,2.5766146734093,2.63842442979131,0,5
10,0.393617434429121,8.3347312526973,15.1231687453268,3.88947804552355,45,44.02,350,0.46,2.52478846088151,2.51087169328871,2.58195072290202,0,5
11,0.580019364113446,8.48449934227494,15.1253908948861,3.88980043022334,45,44.05,346,0.44,2.47375835125352,2.45838440330855,2.5330810249206,0,5
12,0.385522882451991,8.30783476456832,14.820730510877,3.85018543191747,45,44.08,343,0.42,2.40710668441506,2.38959334131915,2.46306892788521,0,5
13,0.115051285853228,8.11854327238661,14.4932632795904,3.80815769561644,45,44.11,339,0.41,2.34417887770279,2.32798619058321,2.39666331002344,0,5
14,0.309988055211901,8.13949482156879,14.1663698261488,3.76644678425669,45,44.14,334,0.39,2.271001197383,2.25839646578834,2.31838107310806,0,5
15,0.199482177817912,8.14668916803679,14.0718333423756,3.75769450351125,45,44.17,330,0.38,2.20922068441005,2.19908896685756,2.25295432626937,0,5
16,0.236940412930415,8.28299402311035,13.7579512778563,3.70917416874236,45,44.2,325,0.35,2.13638169358848,2.12503005701465,2.17169157824518,0,5
17,0.348426234535004,8.34503587287709,13.4134785851071,3.66272032039779,45,44.23,319,0.34,2.06062707537778,2.04553471947939,2.09006328307475,0,5
18,0.304590741446034,8.50482552110027,13.052425684733,3.6128715920823,45,44.26,313,0.32,1.99989901792555,1.98547216036988,2.0228886452666,0,5
19,0.144723123230885,8.34387857107611,12.584835875868,3.55365824743086,45,44.29,305,0.29,1.91347656835935,1.90010268952602,1.93173183663838,0,5
20,0.134578649849933,8.5029447541468,11.9022060247303,3.45100348392265,45,44.32,297,0.28,1.82151580998833,1.80959454840476,1.83428170678015,0,5
21,0.258481625859848,8.56606415394743,11.3003408288508,3.36243656828896,45,44.35,285,0.25,1.72359368641018,1.71443720527097,1.73477206624816,0,5
22,0.100361737024967,8.48772674280752,10.6710405486867,3.26938887435469,45,44.38,275,0.23,1.63524076439747,1.62695447955125,1.64411306747121,0,5
23,0.356579367403812,8.71194831181417,9.82824989734117,3.13519282001466,45,44.41,260,0.19,1.52120266465012,1.51797180304288,1.52813451643326,0,5
24,0.0913728132264343,8.80481889354757,8.56636738667943,2.93020863888813,45,44.44,242,0.17,1.38495268473188,1.38487683917057,1.3914877693711,0,5
25,-0.0257962494720153,8.82661395699656,7.42588819170679,2.72560426072295,45,44.47,218,0.14,1.2443835129856,1.24681757561249,1.25099030116897,0,5
26,0.448618057145039,7.90083585665246,16.8251543679428,4.10193733744224,47.5,46.21,377,0.61,3.12921674129553,3.10944442365464,3.16965143111895,0,5
27,0.398700016050429,8.16372438884927,16.5891110184253,4.07680415235358,47.5,46.24,375,0.6,3.07873099974865,3.06153415123757,3.12001882730088,0,5
28,0.43285105776604,7.9916468136167,16.6561682532926,4.08161759153904,47.5,46.27,373,0.59,3.0253534411252,3.00834863404567,3.06632335377864,0,5
29,0.360890577918315,7.97943405620175,16.3409771879871,4.0428403009147,47.5,46.3,371,0.57,2.98197230072664,2.96432947474565,3.02441415710358,0,5
30,0.340112668200537,7.98685615335319,16.48965160196,4.06228227753647,47.5,46.33,369,0.56,2.93461888327633,2.91800692357201,2.9788538530786,0,5
31,0.486877605611671,8.14067526770693,16.4013135508807,4.05723647922667,47.5,46.36,367,0.55,2.88174717480548,2.86388243460844,2.92808605618241,0,5
32,0.454294470659511,8.10189591852479,16.0890441863192,4.01160543324766,47.5,46.39,365,0.54,2.83353051603515,2.81327761325844,2.88031278580385,0,5
33,0.305176314514066,8.06640370843744,15.8112177596842,3.97630575584387,47.5,46.42,362,0.52,2.77619190176387,2.75681786155018,2.82280137034368,0,5
34,0.322336522498179,8.12179908971906,15.6131645764001,3.95136181653757,47.5,46.45,359,0.5,2.7154298983321,2.69472455200127,2.76520354656277,0,5
35,0.390419798033355,8.07987041809814,15.7413340846944,3.96770010725381,47.5,46.48,356,0.49,2.65513162264284,2.63650015390149,2.70316773786068,0,5
36,0.240422159817436,8.04112949548872,15.4814775953858,3.93527583223252,47.5,46.51,354,0.48,2.60176275545605,2.58249634400221,2.65208224248934,0,5
37,0.280538827242102,8.13424499273171,15.0824946100972,3.88484604696984,47.5,46.54,350,0.46,2.53854015545828,2.52149483536767,2.59022977222373,0,5
38,0.327414692000774,8.17027444274754,14.7826036849437,3.84486446723698,47.5,46.57,347,0.43,2.47002082248639,2.45072733358932,2.52169260685854,0,5
39,0.401843991878064,8.06749047817586,14.9239606993285,3.86317867428861,47.5,46.6,343,0.42,2.40045679332021,2.38413968901452,2.45213912301153,0,5
40,0.458082938129427,8.37162248585945,14.6464294922856,3.82723638515754,47.5,46.63,340,0.4,2.34442023047477,2.33016899531314,2.3962776060099,0,5
41,0.294247778279656,8.21577235208829,14.2125722446229,3.77170045015001,47.5,46.66,338,0.38,2.27375947568753,2.25237630613212,2.32261213917877,0,5
42,0.351014673275391,8.30490198582762,13.8092759723889,3.71828651038915,47.5,46.69,329,0.37,2.20518307440904,2.18371103034496,2.24376057696498,0,5
43,0.4289393408968,8.38691003120287,13.7975756678446,3.71457249091396,47.5,46.72,325,0.37,2.14442174780169,2.12536637089804,2.17872223252048,0,5
44,0.275074241926203,8.27320307656887,13.288548150298,3.64561150957709,47.5,46.75,319,0.33,2.06578429767206,2.04699523935204,2.09253122460513,0,5
45,0.163252026908443,8.41716205217677,12.3199164448208,3.51229619531152,47.5,46.81,304,0.3,1.89221730343062,1.87608840186033,1.90736458841401,0,5
46,0.374040601178277,8.48255616218711,12.0387512219412,3.47026254283366,47.5,46.84,296,0.27,1.8147694653826,1.80219653965897,1.82808496321342,0,5
47,0.283655035679941,8.63821064058006,11.1788033199545,3.3435962921983,47.5,46.87,285,0.24,1.71246174584154,1.70288423231979,1.72254453990361,0,5
48,-0.00836313894109356,8.26876820980807,10.526368123053,3.24472089532189,47.5,46.9,271,0.22,1.6008908148531,1.59517066095844,1.61059396135136,0,5
49,0.206667398830008,8.7202226185308,9.54666464892857,3.09117744013577,47.5,46.93,257,0.2,1.50081172662279,1.4999701876563,1.508256452202,0,5
50,0.262087390413426,8.92964169412211,8.39252717575293,2.90099827145294,47.5,46.96,238,0.16,1.36347218584256,1.36436662991407,1.36891886373706,0,5
51,0.277918107581943,9.27559516194252,6.71180158770624,2.59236873802669,47.5,46.99,209,0.13,1.17012519118363,1.17269203923287,1.17533110028249,0,5
52,0.454410247081224,8.09708441765476,16.7700176128805,4.09679375364935,50,48.76,375,0.59,3.09517625989108,3.07453207164161,3.13294316769558,0,5
53,0.380363103208352,8.0942571340855,16.3427158065529,4.04337170077959,50,48.81,373,0.57,3.02446050449608,3.00074052085013,3.06898007647995,0,5
54,0.452324550699155,8.24410023993633,16.3349210181131,4.04768278816101,50,48.84,371,0.56,2.97414226804816,2.94611593385658,3.01393177518991,0,5
55,0.483440598617716,8.32543530918496,15.8967992514541,3.98930285183734,50,48.87,369,0.55,2.91525488013305,2.89318063976306,2.96089043356241,0,5
56,0.522745436780991,8.23597207748285,16.2864578286979,4.03563049091427,50,48.9,366,0.54,2.87266596498759,2.84485764104442,2.91603334601726,0,5
57,0.257747864430278,7.62621935902965,16.8465494262208,4.10571053514269,50,48.93,363,0.51,2.79598618769263,2.76771603476244,2.84043152984561,0,5
58,0.380266788402691,8.34813594594274,15.3342866014131,3.91677652195465,50,48.96,360,0.5,2.73306676590814,2.71057420163598,2.78027903215434,0,5
59,0.464772869569827,8.36451032680974,15.5767623215332,3.94948687663484,50,48.99,358,0.49,2.67876098605176,2.65518505279606,2.7278591082618,0,5
60,0.313658891062634,7.67187529213719,16.4373341087662,4.05541139547302,50,49.02,356,0.48,2.62935522692066,2.61050914876617,2.66788182491932,0,5
61,0.414114655266288,8.37512575662323,15.1828141248307,3.89661558606678,50,49.05,352,0.45,2.56556195408105,2.53895762933981,2.61230975718558,0,5
62,0.425394577247945,8.36819956527706,14.9197513859835,3.8633691465261,50,49.08,348,0.43,2.50168389299014,2.46893062292769,2.55037589040291,0,5
63,0.425552540709876,8.31955931279683,14.760930984296,3.84301977764513,50,49.11,345,0.42,2.44451736933955,2.4080119656814,2.49103371887799,0,5
64,0.227186969342519,7.56143159777314,16.0221676528514,4.00340182636893,50,49.14,340,0.4,2.37513193103523,2.33919732314253,2.41761515737036,0,5
65,0.343263267662205,8.42730348717803,14.346609872739,3.78783407300363,50,49.17,335,0.39,2.31096144937324,2.30579885855362,2.38901028637954,0,5
66,0.419919437815902,8.5421458473457,13.7240691004311,3.70499173744612,50,49.2,331,0.36,2.2182927063214,2.19462825217107,2.25371047308412,0,5
67,0.275637010484639,8.15100405190816,13.9280376931954,3.73459326987699,50,49.23,326,0.35,2.15710414045886,2.13321260718342,2.18680400977811,0,5
68,0.468855076268302,8.58037263321089,13.343644280029,3.65316978294775,50,49.26,320,0.33,2.08544796091419,2.05883177845501,2.10958863635482,0,5
69,0.416730341019477,8.84748546225508,12.4940572907033,3.53491170694081,50,49.29,314,0.31,1.99463659402438,1.97350261775972,2.01261293709785,0,5
70,0.247347068069985,7.73740506102441,13.84053432226,3.72034781016788,50,49.32,307,0.3,1.92872710811332,1.90713988462178,1.94060853836552,0,5
71,0.164272335435437,8.69481511082188,11.7422604037336,3.42683845258371,50,49.35,298,0.27,1.83612079974976,1.81603189839044,1.84166006155171,0,5
72,0.0736684723946056,8.72838254460288,11.0693821911068,3.32983018363162,50,49.38,288,0.24,1.73678153542547,1.72233481206532,1.742274619595,0,5
73,0.303826942946967,9.1516936826521,10.2629098479821,3.20527285768661,50,49.41,274,0.22,1.63792564755824,1.6286108457475,1.64221341738076,0,5
74,0.331076239528276,9.04115722209349,9.68522943680861,3.11272063944529,50,49.44,262,0.2,1.54230795624184,1.53481129815156,1.54456577047771,0,5
75,-0.00400213458116132,8.92484488050704,8.50127784891803,2.91569590018151,50,49.47,242,0.16,1.40839348859543,1.40637969425606,1.40822914192282,0,5
76,0.130480306006896,9.08429932084207,7.00873319450152,2.65098196973082,50,49.5,218,0.13,1.23248030972899,1.23556504227457,1.23134756494923,0,5
77,0.388115284448945,8.06483695803749,16.7393166639552,4.0922374891289,52.5,51.15,380,0.62,3.20175604641622,3.17778130493317,3.24192076384683,0,5
78,0.323195068428555,7.86273133347938,17.0678367578395,4.13528547832842,52.5,51.18,378,0.6,3.15342711818843,3.12854333388805,3.19308086503929,0,5
