idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.459885604436617,0.744313445278075,2.39633318364897,0.245533638855803,0.87054300978627,0,1,1,45,43.79,352,0.49,2.96863155907553,2.61847466168056,2.69854826958521,0,6
2,0.462357435742453,0.746413483213161,2.36016658570976,0.247057194427817,0.865882034989677,0,1,1,45,43.81,351,0.49,2.90782576187422,2.56164683824169,2.64193126464622,0,6
3,0.459062163694853,0.736713374294597,2.41922996468485,0.255366707724614,0.847187570531396,0,1,1,45,43.83,350,0.48,2.86977197576818,2.52682064282636,2.60640168339377,0,6
4,0.473464014261845,0.748693529790516,2.36971377606936,0.24277940404397,0.876347114888068,0,1,1,45,43.85,348,0.47,2.83420446670565,2.49584208862678,2.57267194958642,0,6
5,0.46476720696486,0.744535112275895,2.3623205533124,0.249843744281471,0.876748970023868,0,1,1,45,43.87,346,0.46,2.80113553716602,2.46936092116142,2.54043857995226,0,6
6,0.468048552180458,0.760433142718092,2.27367827437407,0.23826233979131,0.891236608258439,0,1,1,45,43.89,344,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0,6
7,0.481809261581662,0.765591266134836,2.27158249015995,0.227759031317618,0.880850835935497,0,1,1,45,43.91,342,0.44,2.72286371520499,2.40325309117405,2.46544710580319,0,6
8,0.461540775164472,0.741234897338967,2.40853211163531,0.252777178993784,0.778589916329037,0,1,1,45,43.93,340,0.43,2.67335204708896,2.36160635315579,2.41838224757096,0,6
9,0.457292886400407,0.750446515676828,2.32723808730671,0.243862013943995,0.869573811529825,0,1,1,45,43.95,338,0.42,2.63805690643483,2.33073181346202,2.38525797083952,0,6
10,0.474756736801867,0.76064137280555,2.27477268573418,0.233827927229842,0.890260560168429,0,1,1,45,43.97,336,0.42,2.60350845262273,2.3069290308225,2.35143233765023,0,6
11,0.46720325367952,0.753772632023277,2.2938961226702,0.242124955836709,0.888807405380367,0,1,1,45,43.99,335,0.41,2.57353500382117,2.27781200844168,2.3226505914522,0,6
12,0.463051108940231,0.756807483312395,2.28981551016752,0.234602153749884,0.888196696563599,0,1,1,45,44.01,332,0.4,2.52563254797918,2.24030511145715,2.27522714939429,0,6
13,0.46137716161672,0.750176291428486,2.33711789898691,0.243223084391193,0.879761203518443,0,1,1,45,44.03,329,0.38,2.4798244831403,2.20507386211875,2.23240336765154,0,6
14,0.451577598863599,0.743671356754024,2.37169623991597,0.244784038217978,0.875193927454841,0,1,1,45,44.05,326,0.38,2.44080890363258,2.17174616204167,2.19568466688585,0,6
15,0.473051495982637,0.758276588968593,2.3145950091581,0.22856744649861,0.902082141114044,0,1,1,45,44.07,323,0.36,2.38170795109805,2.12308538031924,2.13871819723208,0,6
16,0.465237240716343,0.74794315632012,2.35581405683398,0.241322195193198,0.875973504594679,0,1,1,45,44.09,320,0.36,2.34441648738544,2.09228657351594,2.101708499103,0,6
17,0.463539201268871,0.773586657177337,2.18150652331165,0.221264982153655,0.907702718001307,0,1,1,45,44.11,317,0.35,2.29813826710845,2.05278943167668,2.06097418129193,0,6
18,0.466000805925617,0.765626435549567,2.23643727354563,0.223507226730916,0.912789212840452,0,1,1,45,44.13,313,0.34,2.24889310905223,2.0100240213187,2.01526035808969,0,6
19,0.465274323756115,0.772701984298696,2.1656988336362,0.222712317709833,0.923838101548071,0,1,1,45,44.15,309,0.31,2.19836469585848,1.96756623361078,1.97243920031332,0,6
20,0.479683833621231,0.762206740956416,2.27886843608906,0.226068695030827,0.885094552710332,0,1,1,45,44.17,306,0.31,2.15465053846435,1.92696077927454,1.92998840189461,0,6
21,0.462492652977804,0.771033802121885,2.17641927298236,0.221644512140978,0.914258662031454,0,1,1,45,44.19,302,0.29,2.10584477645241,1.88644192951528,1.88554142781664,0,6
22,0.479363343227803,0.783858780002195,2.10719931410652,0.208379069401062,0.917932633733824,0,1,1,45,44.21,296,0.28,2.05255265570221,1.83899633433732,1.83466076151057,0,6
23,0.458865951729728,0.762299705752313,2.20441156324984,0.229579502599745,0.916648381962694,0,1,1,45,44.23,291,0.27,1.99689928125917,1.78778755986983,1.78046436052998,0,6
24,0.459521666945507,0.757621674040851,2.24108313494402,0.229185062120893,0.92602101168504,0,1,1,45,44.25,286,0.26,1.94566235096184,1.74361903573837,1.73182850482409,0,6
25,0.477612219885526,0.769953340827546,2.17121211975275,0.217616979482665,0.909095271534036,0,1,1,45,44.27,280,0.25,1.89294024481,1.69584588384094,1.67921152244711,0,6
26,0.472227912010984,0.793789391798568,2.00879148170875,0.1982204593087,0.937193884023294,0,1,1,45,44.29,275,0.24,1.83548515212653,1.64697706738967,1.62603687008326,0,6
