idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1.06752395035041,0.0238594641822874,0.0290479277519536,0.0198029270467975,0.220809180035556,0.459471712966153,0.37027493501631,47.5,46.36,318,0.39,2.74536767924653,2.11694255560945,2.07176538875591,0,7
2,1.19331143798918,0.0254793280006355,0.0345540005950253,0.0150130253935214,0.164944692633721,0.46824967952162,0.400071085534509,47.5,46.38,316,0.38,2.6903566319049,2.07538017514773,2.02835822694505,0,7
3,1.23980553074916,0.032555511148486,0.0401882468309456,0.0172737399551143,0.224339327950953,0.499452868354346,0.440780452631213,47.5,46.4,313,0.36,2.65219820574761,2.04776902919605,1.99543310709588,0,7
4,1.20557166023478,0.0357318311136347,0.0279922864585313,0.0134672887536582,0.167942476099186,0.486313260203566,0.324101186546858,47.5,46.42,310,0.36,2.60987170243395,2.01797208161006,1.95620134758078,0,7
5,1.03718683480631,0.035653520365935,0.0367610973931673,0.0122784249605743,0.217001335371687,0.489800361047345,0.39536794084501,47.5,46.44,306,0.35,2.54863291744959,1.97464209727062,1.90419070167438,0,7
6,1.22197460809672,0.0516798009490906,0.0495405081034236,0.0290071177640967,0.21869818229827,0.444788003019985,0.325907985967111,47.5,46.46,304,0.33,2.51281305779335,1.95045572894529,1.87994964687365,0,7
7,1.14208727701011,0.0359607038199933,0.0396953151281383,0.0183259757441419,0.172040459751088,0.448313208651132,0.403054430199469,47.5,46.48,299,0.32,2.44230540945606,1.90265384951948,1.81887100949148,0,7
8,1.18347003669993,0.0346771585181376,0.0267344980064479,0.0159426216763827,0.20216378083873,0.424056254631695,0.422412897109021,47.5,46.5,290,0.29,2.34236072033216,1.83141234879263,1.74200336202557,0,7
9,1.11978725331992,0.0301178034476614,0.0342713655300447,0.0186563689200233,0.163768758808873,0.46657648923795,0.301368124262669,47.5,46.52,284,0.28,2.24954795790358,1.76361915408979,1.66839284697705,0,7
10,0.94828626223235,0.0309392051733311,0.0284612272432487,0.0175155464827757,0.171393257604237,0.435509829838566,0.386672125233334,47.5,46.54,279,0.27,2.19665906570542,1.72871104495981,1.62569799733795,0,7
11,0.945449133721015,0.0352089910197878,0.0548560243401243,0.0299727743678641,0.172268743044547,0.428634306015719,0.372971891949609,47.5,46.56,267,0.25,2.07508454788533,1.64231349688007,1.53495316089594,0,7
12,1.0585042474465,0.0317365598127252,0.0361798889941924,0.01358115439178,0.163514589502661,0.401305096952502,0.265279364097496,47.5,46.58,262,0.23,2.01837713071555,1.60010087658211,1.49403479261089,0,7
13,1.0606050894925,0.0223033718233635,0.0284098041053893,0.0166231612403699,0.185635543000615,0.339060364527868,0.340935065618389,47.5,46.6,255,0.22,1.94410466144737,1.55006236944891,1.43606449810995,0,7
