idx,fx1_X,fx0d5_X,fx1d5_X,fx2d5_X,fx3_X,fx5_X,fx7_X,fx1_Y,fx0d5_Y,fx1d5_Y,fx2d5_Y,fx3_Y,fx5_Y,fx7_Y,fx1_Z,fx0d5_Z,fx1d5_Z,fx2d5_Z,fx3_Z,fx5_Z,fx7_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.300299433791641,0.00748863219790665,0.013520696901046,0.00853510933302341,0.0207170658737256,0.117554691386095,0.097395605094674,0.329283225987637,0.00903636572789832,0.00709159909036358,0.00741585379623185,0.0238202280738997,0.127505379887546,0.110275406765952,0.311923358243943,0.00855046243725186,0.0162674233620822,0.00689922792566485,0.0190179479801128,0.128568083228645,0.105778974877036,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,0.35259530338195,0.00487529416598727,0.00996371621229176,0.00674692649870328,0.0316794770831725,0.129140819152884,0.117644374863821,0.367672455828227,0.00874960076869243,0.0101894903736292,0.00612418171333907,0.0262820835809981,0.129557840542507,0.118696899172206,0.354444673723541,0.00931862299778326,0.0114674638879206,0.00660877405264888,0.028973775740856,0.12535042927519,0.115860956653395,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,0.384476101739355,0.00507879886906749,0.0191522967434331,0.00942642966340372,0.0250450407732284,0.10915059356662,0.104958896701082,0.406376760487065,0.00971606659344903,0.00962073913064511,0.0065611955452331,0.0276059487987056,0.118245152303661,0.109786725660867,0.407174436131775,0.00487822742438461,0.0157831688963581,0.0112520198630715,0.0250189065758224,0.118350405366712,0.110346397740116,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,0.39052380234731,0.00735911362451536,0.0118277901973876,0.00885160168682385,0.0319006021546207,0.123149788445042,0.112823093172378,0.402236710318532,0.011147550676453,0.0130167397912257,0.0074120589056404,0.0287814219011674,0.108525167316467,0.110186412573434,0.376620497141289,0.00755338327933412,0.0107971765279664,0.00632620870315651,0.0293046198663417,0.111581416607455,0.0991194514387459,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,0.360430502965964,0.00783604438606099,0.0111061346234204,0.0127988746332245,0.0404402814882355,0.126847128568453,0.0940593536951145,0.36601849529102,0.00682475353189215,0.0186410852990191,0.0140336698446576,0.0281158776208143,0.145958008838565,0.105150117888827,0.316333354092397,0.00949964716137667,0.0117861022859315,0.0154054321038156,0.0368799045806672,0.14737665188854,0.103141219740376,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,0.290910329187104,0.00657638430220305,0.0122250328517557,0.00801667464496605,0.022292239056744,0.143050473320948,0.105173329751351,0.308103778374904,0.00685492878035533,0.0158143000430834,0.00607851537499131,0.0269283605296783,0.145243188448688,0.107383180970981,0.297796976376344,0.00615138048589247,0.0148073166823535,0.00865584264128174,0.023744217857967,0.134703641945487,0.101005107614244,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,0.34727115771654,0.00748059621413499,0.00768489520002704,0.00633567003618316,0.0324810251885728,0.132900490171564,0.113148788539162,0.359350126733766,0.00818776320792835,0.00933704809445204,0.00620757660695715,0.0312729127333457,0.114718185641223,0.113300694999321,0.357054503660336,0.00623668258984968,0.0119405009043937,0.0145244547631651,0.0368756564268877,0.13712045559689,0.114794109488305,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,0.375996304594457,0.0177389324322176,0.0235804368762146,0.00961047829795596,0.024004183545446,0.124494763116959,0.0996164256281398,0.379791301671608,0.0213975875534865,0.0260404746106325,0.0108437269731723,0.0181297884181726,0.125110295012877,0.106523735249322,0.383590346923494,0.0164581462551057,0.017590408239777,0.00812679202230056,0.0228539207917396,0.127893882424602,0.102126084786746,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,0.358598826169181,0.00834654890197238,0.00954050102747202,0.0113244905019403,0.0298634508456397,0.116720937176846,0.111235836099208,0.355913148119625,0.00588620855361182,0.0108959798946953,0.00932979973371251,0.0340418868254305,0.116956540004806,0.111868002051039,0.352331051320177,0.00538468632275872,0.0106482787678015,0.00854106232857115,0.0260018304497703,0.129754373080963,0.115813790842947,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,0.291088131944531,0.00762379926908759,0.0103556602121376,0.0100200050597738,0.0264588646764076,0.13015410839216,0.0852753156450258,0.297228122931975,0.00524620102991611,0.012947769498801,0.0101207153790279,0.0233546914069308,0.12685170446934,0.0898841322422672,0.294690130805388,0.00648085977112346,0.0119381988356925,0.00939093626809591,0.0213320952923386,0.125754799367072,0.0904689892492879,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,0.334243745221411,0.00725707681356034,0.00917080927806042,0.00749100190628786,0.0287115126822885,0.139273389650744,0.106262194318266,0.348266659171653,0.00557073113554444,0.0102984238162304,0.00689088205752912,0.0295310644285447,0.135944389325639,0.104946493470953,0.336706933543753,0.00667918045189324,0.0135152682948473,0.00683241002940315,0.0393371126959922,0.118385548618806,0.104433356876443,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,0.379013705077572,0.00640847344911008,0.0125100777164339,0.00598675032449489,0.036266360853121,0.132473052753402,0.0914617354153498,0.347647390354144,0.00721554013057851,0.00921124958040081,0.00918492578129303,0.0373465767760523,0.126273356020441,0.0804988561850121,0.34574808493038,0.0061338492437848,0.00996924446480449,0.00778060325723445,0.0288416030693203,0.10832173954357,0.0808414503387375,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
13,0.371587777894427,0.0211259595512012,0.0185158999389219,0.0104188221223999,0.0270327763842234,0.110881992672753,0.106344659781032,0.368563944234432,0.0196884414061513,0.0213670108328513,0.00680566109342619,0.0303528265326061,0.132029629502359,0.105716491961786,0.369689257802818,0.0249060541059773,0.0145515453193475,0.0081171858785691,0.0271899666535837,0.135741522211463,0.115981756836143,45,44.11,345,0.42,2.41549848127315,2.41707457107655,2.49952833721724,0,1
14,0.345078006921681,0.00698469393603179,0.0127524216631064,0.00797637776838282,0.030238445843721,0.120395753246131,0.100034627047954,0.355557752397267,0.00603765934818854,0.0132443880580899,0.00802759261921346,0.0303161442816643,0.118810952326581,0.10176420111554,0.354496455422855,0.00852213163040698,0.0133789720559932,0.0077656341504644,0.0286470223409108,0.133176354763138,0.105503697593543,45,44.13,342,0.41,2.37619946523089,2.3737125778693,2.4549933847436,0,1
15,0.266424802232519,0.00966759668891836,0.015392313637279,0.0103807548399439,0.0234214979214417,0.10386237817267,0.0900719847836765,0.280225199162677,0.0118481876682012,0.0110390695691942,0.00850296298636057,0.0217646131185381,0.119677380483041,0.0864859159884577,0.281960159889556,0.00643021980089787,0.00869650888923102,0.0069471920970941,0.0313501271034536,0.0968134827008355,0.0821947035346068,45,44.15,337,0.4,2.32663469702883,2.32805996251553,2.40489355001255,0,1
16,0.330711250140757,0.0120926390137462,0.0125948207528518,0.0119929133906368,0.0275933594136,0.114642232401123,0.108304559151343,0.32272273857601,0.00809576774924957,0.0178455825071577,0.011683752703224,0.0373388709678552,0.115440955492213,0.101369477379282,0.308496086026724,0.0063959770906087,0.00810107860028302,0.010085432655225,0.041254833914982,0.127844317326329,0.111230362082608,45,44.17,337,0.39,2.28789310245274,2.28867441477505,2.36023809199574,0,1
17,0.33714615151492,0.0133187898699924,0.0366078622689926,0.03861581724029,0.0294343258477823,0.12389058322677,0.103190213817456,0.344045669998982,0.0124493732256141,0.0355165583537867,0.0378856368522862,0.0229180821271253,0.121823076952509,0.0945695255211799,0.33561782178707,0.0149804457362032,0.0329721223717866,0.0393572042607158,0.0245196529537247,0.121602903404082,0.0923774356596254,45,44.19,334,0.38,2.24254355477452,2.24411754715203,2.31239647750905,0,1
18,0.358794001571053,0.0104716384585994,0.0383965167357844,0.0145618129506728,0.0181945100334674,0.130174935311837,0.108440340807519,0.36041370316095,0.0109606003940535,0.0430452300797154,0.0175230061520277,0.0179155018858646,0.135959897810848,0.108970667401877,0.350667191193306,0.0109659210189216,0.0439576983024041,0.0144405300570128,0.0283270832685683,0.12673033574917,0.102111728214851,45,44.21,329,0.36,2.17856241431202,2.17702642636995,2.23965460790647,0,1
19,0.287918773809677,0.0065130224252996,0.0119536875991488,0.00605617677397132,0.0322979138050602,0.11119838767774,0.0877517505247157,0.307596766211391,0.00849645077644277,0.010447529789873,0.00640642465364403,0.0347362488209224,0.117344259832227,0.0865490377558765,0.303539057987131,0.00731778371581388,0.00917666151997245,0.00609361807660027,0.0342811099314921,0.102289340550412,0.0852026287768536,45,44.23,324,0.34,2.11083612943326,2.11203833521229,2.16164576214241,0,1
20,0.245744789172124,0.0081283268552476,0.00951763812722429,0.00588530843314151,0.0223229278483719,0.112173877051498,0.0907917511849643,0.250696259479185,0.0067629497352418,0.00819108709526761,0.00656675438230222,0.0196274060904394,0.123209562587277,0.0890117841163355,0.252646084796188,0.0049919021486796,0.0137187461572048,0.00671460698676992,0.0293526292571183,0.110318937080952,0.0820390099275099,45,44.25,320,0.33,2.06123932813246,2.06391630193295,2.1105928561721,0,1
21,0.301649230031129,0.00560356468641294,0.00861648071927524,0.00586062035319339,0.0339275157953626,0.0954453857309679,0.0972763260807731,0.29916109336845,0.00653225310541028,0.00954224270272221,0.00410477332990969,0.0314077229749279,0.112534110933684,0.100516200658226,0.30138689126704,0.00590470575182608,0.010163810392333,0.00700317909048693,0.0231251207016081,0.117817992485561,0.101567821953164,45,44.27,316,0.32,2.01081085586375,2.01560681612094,2.05914995650377,0,1
22,0.32178732375356,0.0121883721935551,0.0261254765756965,0.0418337779018623,0.0223515453507323,0.108244479134155,0.0855846327496097,0.317024352505252,0.0112696383353082,0.0273112084308981,0.0375556796614193,0.0215488228287855,0.11038025981066,0.0860969104861215,0.317537227998169,0.0130097135723267,0.024485820440884,0.0372610199645622,0.0291702954892356,0.102980821942857,0.0828754991052646,45,44.29,312,0.31,1.96147056154453,1.96572683990364,2.00281782269486,0,1
23,0.327960226179767,0.0137837433025756,0.038468680159336,0.0305993295095862,0.0249498756726826,0.106366984829413,0.0853846263305391,0.334936891590989,0.010537844732252,0.0399197163744654,0.0311252007064295,0.0316936712980614,0.103205603960909,0.0812744700262215,0.336572371658475,0.0131134951847908,0.0369682719539676,0.0266186863430078,0.020211440396036,0.113045872441327,0.0784032104271565,45,44.31,307,0.29,1.91040520501138,1.9158881769826,1.95320465985268,0,1
24,0.294856316229002,0.00826974938859585,0.0112231257177891,0.0122766083931035,0.0320378662235181,0.098762110251234,0.0841012534410434,0.298680842297752,0.00775326443637878,0.00734571976417333,0.00818979345846888,0.0299669380515492,0.0939559714253976,0.0925104941316385,0.280588183563906,0.00690248462654633,0.00974242043555338,0.00850557115013427,0.0325394091647678,0.0955439399158539,0.0822070910951848,45,44.33,301,0.28,1.85623660427104,1.86225931463635,1.8947654792817,0,1
25,0.249523117151736,0.0068072301852357,0.0097776083165276,0.00530462315207145,0.0213086251996971,0.100436529279856,0.086133776372404,0.273303624805038,0.0044076378877031,0.0118138479551309,0.00643352932818517,0.025529275534967,0.115719684311109,0.0915978598985517,0.221667389578936,0.00791759789083464,0.0122189555977911,0.00832789398287367,0.0213672047894628,0.114206084410052,0.0921376495472437,45,44.35,294,0.26,1.77972825033668,1.78528580114164,1.81311335194798,0,1
26,0.30325792441197,0.0070226827978752,0.0101397839691449,0.00745836418535098,0.0255931229989284,0.115698309477291,0.0906684630271911,0.279254888444646,0.00538818318185693,0.014155239232898,0.0081140927183253,0.0267660192993718,0.110486315331716,0.0873182874321972,0.281988646135104,0.00476765965320743,0.0103861674258192,0.00686312653446975,0.0237816216410767,0.0951391839063075,0.0923612554482653,45,44.37,287,0.25,1.72414665785548,1.73244484054361,1.75509638760941,0,1
27,0.298572412311993,0.0142678882651063,0.00680515078590564,0.0153618255386778,0.0304100043205317,0.0915098511820266,0.0654983342598448,0.319513209983923,0.0156580684606412,0.0121135626171356,0.0152341448503442,0.0183168278238528,0.0957079591408142,0.0797780564266263,0.323755333773023,0.0169709068556933,0.00767665319581249,0.0145425545498728,0.0300261656095751,0.101960651133166,0.0763719832705619,45,44.39,278,0.23,1.66354140657931,1.67329933519543,1.6913009189294,0,1
28,0.290090332575635,0.00378252212565173,0.0109044702585104,0.00538219007642997,0.019080589085046,0.0903990466872311,0.0749119742332263,0.288850135697536,0.00565360667911573,0.00728234532885514,0.00870029956695587,0.0321894932322021,0.0919924109602049,0.0830258416524627,0.298552118450542,0.00793049006382589,0.00865733897715472,0.00590261048369991,0.0214486412183981,0.0814415490042121,0.081721730910403,45,44.41,270,0.21,1.59107313022266,1.60367667356043,1.61811928396378,0,1
29,0.269399872825926,0.00450908905940962,0.00888837430210421,0.00621992218653165,0.0219064935273756,0.0869749538551014,0.0811746013782423,0.280236659199466,0.00646920643481489,0.00921118124006611,0.00583023090893734,0.0196189733718943,0.0893202968022966,0.0820606155033576,0.273006044493135,0.00561008964442822,0.00894587552522779,0.00512743725594085,0.0246717321673396,0.0883248281208407,0.0798267075430801,45,44.43,259,0.19,1.51974737579899,1.53381747650768,1.54398668101489,0,1
30,0.208461650792331,0.00663683358540252,0.00849765639060518,0.00468951953763256,0.0224880877691603,0.072604096254337,0.058728752925805,0.209481378888931,0.00823527504243978,0.00719539028090935,0.00442013874233634,0.0185529340383979,0.085727823492307,0.0598498457298039,0.210779527713333,0.00787509825993139,0.0114374913109627,0.00520474888281625,0.020566138885553,0.0910540883266591,0.0588672441959555,45,44.45,249,0.17,1.44441124526874,1.45944874662495,1.46792643961098,0,1
31,0.22058860044197,0.00773529809888378,0.0127293390334306,0.00600916006403321,0.0326098933938645,0.0886640228695224,0.0724692403349467,0.210230565446859,0.00504598615960465,0.00983414907643785,0.00432165210459376,0.0309790636004353,0.0772027803326655,0.0753359322533844,0.222570421419591,0.00496861082121033,0.00691356275244313,0.00443440917375532,0.0295930062044673,0.0743418606290334,0.0671047606490874,45,44.47,235,0.13,1.35065484966597,1.36738695873234,1.37274875592562,0,1
32,0.245218688202522,0.0138954264980048,0.0128708165535587,0.00923009017989709,0.0218688027151409,0.0820162204943438,0.0576162725871597,0.231058611588211,0.0110626698251697,0.00720527761253596,0.0141131510435827,0.0190616611891882,0.0813432622648335,0.0574807344813299,0.225985196780336,0.0148927289371442,0.00894718446076536,0.0102137902833392,0.0240437391773612,0.074696483769051,0.0525514320266928,45,44.49,212,0.12,1.20135414559844,1.21717108952675,1.22032662320949,0,1
33,0.344030885822514,0.0147199571334866,0.0122736485861191,0.00740758099494693,0.0349953576482303,0.127844815936723,0.153704436162562,0.344974734566001,0.0145333290688693,0.0162604343315187,0.00568432231852963,0.0461132306339851,0.120610076845473,0.134534200109428,0.336601951983262,0.0175722569793376,0.0106120861445793,0.00521699093255738,0.0247606391463625,0.139981701185693,0.135315201821242,47.5,46.33,373,0.58,2.98729907354967,2.99860438744414,3.06045102364073,0,1
34,0.322522392630166,0.0105781237753434,0.0185144812276157,0.00948138057205368,0.0325281136909538,0.142688290358099,0.100697926485422,0.309289164859822,0.0117861111003847,0.0121387516941934,0.00617760528562818,0.0393322744002942,0.110576862552407,0.109227083785535,0.279843665629482,0.012632179539648,0.0133898799647085,0.00696543605552634,0.0230994517223864,0.127985175468844,0.112664331980095,47.5,46.35,372,0.57,2.95075775888202,2.96085948347133,3.0257014511,0,1
35,0.388076821967944,0.0132708092716853,0.00922134224869767,0.00760886493540808,0.0254320697203577,0.122147553142965,0.128337669577422,0.337284895855552,0.0111469800299485,0.0127699252777702,0.00578191714595296,0.0308533780676655,0.118205988899375,0.124033876133192,0.381996758183914,0.00990678154124251,0.011624272273807,0.00792086266402557,0.0268521500892644,0.121103129464934,0.127586912802647,47.5,46.37,371,0.56,2.91523326290469,2.92813738363723,2.99093637665335,0,1
36,0.360191649226028,0.0239900618868201,0.0141269262749583,0.00758480093661687,0.0246713883338853,0.114614725739689,0.122893891674815,0.381594036049535,0.0209439178992949,0.0184980697678594,0.00658662522196616,0.0252069937679099,0.121753831050488,0.11864774780702,0.387006203017437,0.0153647345252902,0.0244543768220177,0.00887192531986919,0.0240332398625826,0.117868038274081,0.121538393413448,47.5,46.39,369,0.55,2.88625203571036,2.89636706112283,2.96063622876526,0,1
