idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.430836208334338,17.9019426334594,2.88616755135909,2.23183121348015,-0.411122811571559,18.6827004924293,2.78627744955285,2.18101958286446,-0.365208914378001,18.8881754478004,2.77509598401367,2.2082143838584,45,43.75,374,0.6,3.07604412624126,3.06185372143614,3.11025790917569,0,5
2,-0.389555926120626,18.6291510399504,2.72720075644297,2.18582833068135,-0.477736428002433,18.5836875202009,2.83226665714338,2.17926094577761,-0.405641617419354,18.2411881205054,2.8992700623365,2.20390578619408,45,43.78,372,0.6,3.03299704640253,3.01591966843663,3.06734367378317,0,5
3,-0.173489770487805,18.3250096569201,2.774402726473,2.16224793645438,-0.212281742393897,19.0378421482879,2.69222985912907,2.11718245347863,-0.310701592269125,16.6953431143509,3.13960082267572,2.22310085261144,45,43.81,370,0.58,2.97905556290464,2.95997271232726,3.01766751779053,0,5
4,-0.321400233771066,18.8183868881822,2.73917537738944,2.14030315975646,-0.302529907571961,18.7886746272611,2.7208960836547,2.16727543106136,-0.288439964758689,16.6792035253466,3.10539841514889,2.24170383715768,45,43.84,368,0.57,2.94596374956647,2.91748275601117,2.97911899115269,0,5
5,-0.370004163747679,18.0499436787677,2.77307011408359,2.13018113800297,-0.235391133590992,18.5152622665914,2.72763084635565,2.16249925090513,-0.299015382351786,18.6053744200313,2.70337653075662,2.14079569260339,45,43.87,363,0.53,2.79672769101047,2.78212361619009,2.84375886764388,0,5
6,-0.250351778279774,18.4275548426569,2.68179810083152,2.14037462433262,-0.29513864005951,17.6509944744237,2.86951057064484,2.16557540796522,-0.447870230496948,18.5971679657481,2.67109120341793,2.11357418082422,45,43.9,360,0.52,2.74543667369112,2.73304738711458,2.79739672444549,0,5
7,-0.43544143590818,18.5841047568249,2.62266534914788,2.16957289677868,-0.507850803077149,18.4593525302855,2.71370397058444,2.16193219539596,-0.379301860878154,18.7071662138248,2.62070669607327,2.16252364661793,45,43.93,358,0.5,2.69294982567367,2.67787157270718,2.74482460999449,0,5
8,-0.344169674456749,18.5751756651289,2.59605634388919,2.12148688354145,-0.29697755556365,18.5534966539477,2.60302393100298,2.1416864491876,-0.419991905482761,18.4937611951864,2.65669000708763,2.14166616711713,45,43.96,356,0.49,2.64527527846187,2.62911470317611,2.69656697958182,0,5
9,-0.19023972960165,18.3181556713054,2.58230873742772,2.13540631650732,-0.287523222698927,18.5295009326144,2.61543645637829,2.17878244139313,-0.299452912471007,19.2596244557259,2.59186089579842,2.15487557148962,45,43.99,353,0.48,2.58545750015364,2.5766146734093,2.63842442979131,0,5
10,-0.053260555727785,18.3404630593504,2.59458824023511,2.13088761414346,-0.47563799876559,18.6091004222233,2.56369507902783,2.08626408350024,-0.448501691028818,18.8293005425268,2.57650308776729,2.11132631266402,45,44.02,350,0.46,2.52478846088151,2.51087169328871,2.58195072290202,0,5
