idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.455593217656858,0.763347124471382,2.06514621605012,0.227536133035572,0.724377664925728,0,1,1,-0.0873119843605174,0.612655001715435,2.20290591775741,0.518834891297919,0.791116504306256,0,1,1,-0.104310090565179,0.622308515669728,2.2148216084577,0.492240539246634,0.902717769376088,0,1,1,45,43.72,349,0.44,2.70485622519889,2.45018371378701,2.64445430421516,0,4
2,0.464447993159886,0.770724789592132,2.04883679562051,0.217422316647651,0.726222539839543,0,1,1,-0.0977562866540526,0.601865783930184,2.17090411951601,0.54807731966174,0.823381922305237,0,1,1,-0.110418436558,0.608242907887694,2.21543312440776,0.525133539361155,0.838907900789133,0,1,1,45,43.74,347,0.44,2.66926473920315,2.42034542416912,2.61231691051079,0,4
3,0.461821050619718,0.776518092871564,2.00433523288191,0.215209533377238,0.690112117584141,0,1,1,-0.0655463953623166,0.63410736705939,2.18655719534567,0.469065323145387,0.936853624909576,0,1,1,-0.0799001376379673,0.641083174131012,2.20107095527383,0.44566017810534,0.929957179632325,0,1,1,45,43.76,345,0.43,2.63520857148101,2.38997045300387,2.57836304248273,0,4
4,0.462570894124892,0.780152909970354,1.98505379368996,0.209789535068762,0.701815069309076,0,1,1,-0.0910310360548381,0.60851680114888,2.15467371577294,0.531525144868848,0.925106639374935,0,1,1,-0.117827671747198,0.611531029084416,2.18036350602926,0.519962065961317,0.85851372044731,0,1,1,45,43.78,344,0.42,2.59931538326482,2.35487011055382,2.54227812186532,0,4
5,0.465193949721083,0.782815631262525,1.92813928574963,0.215902354536975,0.662062910775463,0,1,1,-0.0834231526542923,0.631177651261724,2.19063286303924,0.474559941808401,0.840754196622112,0,1,1,-0.114368982738617,0.631424746798677,2.18906844725456,0.473519945827793,0.95870220157492,0,1,1,45,43.8,342,0.41,2.5672321080505,2.32517557482947,2.50958785444566,0,4
6,0.442511547872956,0.762892889838267,2.03731011910591,0.229408562343583,0.750465635615582,0,1,1,-0.0865090287685238,0.618589862549332,2.18668208852169,0.505149498226799,0.927726159731562,0,1,1,-0.106548305320225,0.623472492393636,2.19237965109497,0.491380734556013,0.845198404811805,0,1,1,45,43.82,340,0.4,2.53083067341624,2.29192862837882,2.47043167172206,0,4
7,0.463249503694293,0.786695407272213,1.94263144900066,0.205839522298869,0.69642177847897,0,1,1,-0.0832758243259969,0.640532923392262,2.15298382546245,0.459156731733078,0.769650252012509,0,1,1,-0.0989973674113955,0.648432738072079,2.17585709336841,0.435424478343994,0.948398789366193,0,1,1,45,43.84,338,0.39,2.49515947559568,2.26187762511864,2.43436873009605,0,4
8,0.462796818517422,0.772893093427317,2.00905164014824,0.216485728907532,0.730503373603817,0,1,1,-0.104068831475049,0.608627909241406,2.14412235872113,0.532539713965983,0.842576157658807,0,1,1,-0.121025109907079,0.613707776904949,2.17573005564439,0.515570886474939,0.945206419166218,0,1,1,45,43.86,335,0.38,2.45173568840457,2.2256879098949,2.38824156915627,0,4
9,0.451346564445188,0.782644084776007,1.93283365173063,0.212294959461806,0.698824780407265,0,1,1,-0.0809171960224915,0.624804748516088,2.09675258200666,0.501271111823795,0.908537874614183,0,1,1,-0.0913221880593232,0.630532926429418,2.12744848781043,0.481839785698447,0.961896908101765,0,1,1,45,43.88,332,0.37,2.40192366412619,2.18043249792474,2.33145188677405,0,4
10,0.44259458323104,0.762032493065504,2.04000711185023,0.229675016431461,0.756448887456959,0,1,1,-0.100247494651949,0.613707776904949,2.09481162268417,0.526534078145224,0.943027259246102,0,1,1,-0.112083472810605,0.622944283863252,2.09658215497221,0.502323129961821,0.883858818904932,0,1,1,45,43.9,330,0.37,2.3740547857931,2.15384591468395,2.30575784168113,0,4
11,0.458464237339486,0.771533499984569,2.02376154659989,0.211318574701535,0.78934633769438,0,1,1,-0.0966504502921466,0.618306828580615,2.16713905548568,0.509992669243547,0.936716337229863,0,1,1,-0.105025464483091,0.631448669537653,2.19618021435105,0.473896228470805,0.95511815515394,0,1,1,45,43.92,327,0.35,2.33598674470011,2.12061441977379,2.26591975962299,0,4
12,0.449640116679802,0.774305448013132,1.98048387122613,0.215377225083804,0.748559071352278,0,1,1,-0.119519796283915,0.599017611117767,2.12662257446618,0.559331702843051,0.912026575825476,0,1,1,-0.119639477939015,0.608746469270478,2.15713007943742,0.530639842608116,0.944299118358207,0,1,1,45,43.94,324,0.35,2.30285385908459,2.08910426621808,2.22976032622993,0,4
13,0.462201839935509,0.784461388810443,1.96897764472564,0.199705910251463,0.75935311091949,0,1,1,-0.0777726221122178,0.639140994503388,2.09038466852977,0.469176894827498,0.880968252039541,0,1,1,-0.0833334922004536,0.649055624066983,2.1117240116199,0.443898829337224,0.942990932802321,0,1,1,45,43.96,321,0.34,2.25582163095784,2.04227112630289,2.18296372887922,0,4
14,0.452546586859242,0.777895326404879,1.97702633844337,0.205354051185258,0.795475441948425,0,1,1,-0.0927199849595639,0.633143812285523,2.13568826048928,0.479288025305022,0.945314595184789,0,1,1,-0.0941093345445716,0.641609670340951,2.15472081038484,0.45611009753126,0.941446448250936,0,1,1,45,43.98,319,0.33,2.21781151171672,2.00649543859406,2.14243872277634,0,4
15,0.453072553007682,0.77300063386052,1.98967156485023,0.212294192471748,0.788747542304815,0,1,1,-0.110307131238211,0.616469601883931,2.09034255399647,0.522378649330282,0.905974672559771,0,1,1,-0.11288385656196,0.631424746798677,2.10416430033613,0.482743633301285,0.904781816698099,0,1,1,45,44,314,0.32,2.16984910527562,1.95597056987351,2.08862953557288,0,4
16,0.431254600331579,0.770060064685045,1.97644396914667,0.218590031048244,0.822528405313844,0,1,1,-0.105447304820527,0.630278583133745,2.09638344266163,0.492404793591386,0.821615107803908,0,1,1,-0.0979768019406766,0.642524865712303,2.13056867995725,0.455608958279726,0.936654125625876,0,1,1,45,44.02,311,0.3,2.12780278950647,1.92085580880424,2.04808505594266,0,4
17,0.456281085219945,0.792443261062508,1.8673401448442,0.200006857560813,0.731004945901776,0,1,1,-0.0977184031079702,0.629041592230078,2.0861756411619,0.493836368957707,0.933450637735084,0,1,1,-0.102809969928151,0.639778892414782,2.1125703347375,0.46403148055293,0.939372305569798,0,1,1,45,44.04,307,0.29,2.08617924324779,1.8796443418533,2.0024199893666,0,4
18,0.458701048161421,0.787277594079673,1.92574915749462,0.197490732790673,0.785822147203378,0,1,1,-0.108683251304669,0.621836407277974,2.13542587878504,0.503730024940226,0.833528011171116,0,1,1,-0.13125813656982,0.623628018359609,2.14209784880265,0.498089472161784,0.940979485279187,0,1,1,45,44.06,303,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0,4
19,0.445452165581848,0.780250304297619,1.92821795752994,0.206572245823988,0.799967982794451,0,1,1,-0.103444878581767,0.633159847535109,2.06036095250813,0.487940731483014,0.87103032967446,0,1,1,-0.106265860786887,0.643351604518902,2.07434862633323,0.461139185321637,0.932406794635902,0,1,1,45,44.08,298,0.27,1.9889499133641,1.78984103062461,1.90474514300315,0,4
