idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.457806787262276,0.783613083204037,1.95483326515871,0.200496086714228,0.773462177336182,0,1,1,-0.0715629328859301,0.637771371718666,2.04569228742456,0.478792151730487,0.909261366051485,0,1,1,-0.0943538135864728,0.645761223330062,2.06104826388786,0.454357866183139,0.895241370634235,0,1,1,47.5,46.36,318,0.39,2.74536767924653,2.11694255560945,2.07176538875591,0,7
2,0.433224774194505,0.786695407272213,1.89267839198154,0.20402488894015,0.778773532687425,0,1,1,-0.11582703406029,0.618459787744601,2.05808608970995,0.522139749894196,0.930362191196798,0,1,1,-0.112853257425365,0.633304201340072,2.10695179276838,0.474151192627979,0.930651831887404,0,1,1,47.5,46.38,316,0.38,2.6903566319049,2.07538017514773,2.02835822694505,0,7
3,0.449376609014135,0.791364629166535,1.87625848989658,0.201290240705475,0.757793990184789,0,1,1,-0.0893300430277122,0.641766140418432,2.09079017813947,0.465722857516242,0.877528821024695,0,1,1,-0.10794679907577,0.649865477846086,2.1056912729786,0.442835899862685,0.931994990575475,0,1,1,47.5,46.4,313,0.36,2.65219820574761,2.04776902919605,1.99543310709588,0,7
4,0.450417841612069,0.791414732976669,1.88179609561671,0.198454107583721,0.764267640109753,0,1,1,-0.107128925666792,0.635267511148945,2.08656922127107,0.480006890308862,0.880487777683861,0,1,1,-0.118068014375752,0.640992769601559,2.11288052244814,0.462582050429056,0.796796131843556,0,1,1,47.5,46.42,310,0.36,2.60987170243395,2.01797208161006,1.95620134758078,0,7
5,0.426108798000931,0.775819265143992,1.93287755440007,0.212090426097482,0.820200984859914,0,1,1,-0.0889479898119434,0.63984438984439,2.07709329855043,0.473052110144478,0.878762894898962,0,1,1,-0.123522955243495,0.644620640752917,2.08945217020565,0.45812187179948,0.881915140932196,0,1,1,47.5,46.44,306,0.35,2.54863291744959,1.97464209727062,1.90419070167438,0,7
6,0.442517260164981,0.78011639336589,1.94690386857918,0.207116339541839,0.828137133991804,0,1,1,-0.102188024739085,0.639484319844478,2.10661648873594,0.470329680191424,0.909713862368611,0,1,1,-0.113039134259546,0.650406504065041,2.11325114622245,0.442532336395411,0.964100019416478,0,1,1,47.5,46.46,304,0.33,2.51281305779335,1.95045572894529,1.87994964687365,0,7
7,0.433243393785051,0.791966293914531,1.82679712344495,0.203129926007806,0.796722983268041,0,1,1,-0.110466012097873,0.637429882712902,2.05504538460314,0.480509263840979,0.90425629386647,0,1,1,-0.127897701558044,0.641675543178347,2.06883446789076,0.466249796605758,0.948492103004485,0,1,1,47.5,46.48,299,0.32,2.44230540945606,1.90265384951948,1.81887100949148,0,7
8,0.431860698576321,0.769763682549458,1.96451188660327,0.219076386322704,0.820448471322324,0,1,1,-0.12729900167582,0.614718827608252,2.03875949777747,0.535021218933049,0.846841577000577,0,1,1,-0.14405395277523,0.625617797575105,2.05403691438836,0.501195312800191,0.900939785021575,0,1,1,47.5,46.5,290,0.29,2.34236072033216,1.83141234879263,1.74200336202557,0,7
9,0.436547860372508,0.78387106888659,1.89435240330184,0.201453159754813,0.825373615674336,0,1,1,-0.126207779231694,0.622293025339772,2.03127663579304,0.519813981701126,0.919531256844658,0,1,1,-0.155676629090539,0.627714866798905,2.05490024954562,0.499988763657597,0.766604582407158,0,1,1,47.5,46.52,284,0.28,2.24954795790358,1.76361915408979,1.66839284697705,0,7
10,0.425913224141709,0.783183484226685,1.89351933757327,0.203627808744373,0.850419794006878,0,1,1,-0.118013777771684,0.64382379830288,1.98759016050006,0.475933679541456,0.927495291263281,0,1,1,-0.12737538224279,0.651797004340968,2.01395436909388,0.45002334590439,0.920680737615368,0,1,1,47.5,46.54,279,0.27,2.19665906570542,1.72871104495981,1.62569799733795,0,7
