,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
HOS_mlp,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
SCM_mlp,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
FOURIER_svm,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
HOS_svm,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
SCM_svm,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
FOURIER_knn,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
HOS_knn,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
SCM_knn,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
FOURIER_naive_bayes,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
HOS_naive_bayes,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
SCM_naive_bayes,7.8753,7.8524,9.9423,7.8753,0.9718,0.3167,1.053,0.4769,0.1172,0.0
