,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
HOS_mlp,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
SCM_mlp,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
FOURIER_svm,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
HOS_svm,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
SCM_svm,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
FOURIER_knn,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
HOS_knn,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
SCM_knn,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
FOURIER_naive_bayes,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
HOS_naive_bayes,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
SCM_naive_bayes,3.6704,3.9643,6.3133,3.6704,0.3782,0.7475,0.4832,0.6181,0.0723,0.0
