,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,88.7196,88.189,89.7137,88.7196,0.0,0.0,0.0,0.0,0.2596,14.2622
HOS_mlp,93.8267,93.6453,94.5356,93.8267,0.519,2.9562,0.3114,1.7737,0.2577,14.9302
SCM_mlp,79.0939,78.1234,80.5024,79.0939,2.7955,5.3864,1.8064,3.4959,0.2635,17.4644
FOURIER_svm,78.7471,76.7334,77.4313,78.7471,0.0,0.0,0.0,0.0,1.37,14.2622
HOS_svm,70.2176,65.836,67.8636,70.2176,1.9326,25.5092,1.1621,16.0157,1.2727,14.9302
SCM_svm,64.3352,62.3627,64.7769,64.3352,5.3078,9.6613,4.3019,7.0305,1.6769,17.4644
FOURIER_knn,68.195,67.2262,68.8085,68.195,0.0,0.0,0.0,0.0,2.2814,14.2622
HOS_knn,59.1408,56.9239,57.8805,59.1408,7.2489,21.4253,4.3542,13.7038,1.6731,14.9302
SCM_knn,50.1504,48.5764,51.7297,50.1504,5.7086,15.5491,4.3801,12.963,2.343,17.4644
FOURIER_naive_bayes,64.9982,63.6263,68.065,64.9982,0.2383,0.3926,0.1642,0.4987,0.3716,14.2622
HOS_naive_bayes,44.0037,40.8138,47.4282,44.0037,11.9461,7.5977,13.14,4.9471,0.3781,14.9302
SCM_naive_bayes,33.66,30.1006,32.6692,33.66,10.3284,8.1137,9.658,6.748,0.4358,17.4644
