,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
HOS_mlp,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
SCM_mlp,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
FOURIER_svm,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
HOS_svm,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
SCM_svm,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
FOURIER_knn,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
HOS_knn,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
SCM_knn,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
FOURIER_naive_bayes,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
HOS_naive_bayes,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
SCM_naive_bayes,8.9782,8.8314,11.7558,8.9782,0.6358,1.2198,0.4474,1.1669,0.1072,0.0
