,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
HOS_mlp,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
SCM_mlp,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
FOURIER_svm,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
HOS_svm,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
SCM_svm,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
FOURIER_knn,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
HOS_knn,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
SCM_knn,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
FOURIER_naive_bayes,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
HOS_naive_bayes,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
SCM_naive_bayes,7.0258,6.7665,8.601,7.0258,0.4458,0.6403,0.5118,0.7699,0.0946,0.0
