,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
HOS_mlp,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
SCM_mlp,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
FOURIER_svm,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
HOS_svm,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
SCM_svm,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
FOURIER_knn,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
HOS_knn,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
SCM_knn,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
FOURIER_naive_bayes,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
HOS_naive_bayes,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
SCM_naive_bayes,0.1094,0.3602,0.4797,0.1094,0.4708,0.085,0.3128,0.0533,0.0176,0.0
