,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
HOS_mlp,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
SCM_mlp,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
FOURIER_svm,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
HOS_svm,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
SCM_svm,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
FOURIER_knn,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
HOS_knn,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
SCM_knn,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
FOURIER_naive_bayes,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
HOS_naive_bayes,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
SCM_naive_bayes,0.0499,0.2026,0.4502,0.0499,0.1458,0.5642,0.0912,0.518,0.7128,0.0
