,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
HOS_mlp,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
SCM_mlp,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
FOURIER_svm,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
HOS_svm,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
SCM_svm,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
FOURIER_knn,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
HOS_knn,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
SCM_knn,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
FOURIER_naive_bayes,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
HOS_naive_bayes,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
SCM_naive_bayes,1.2961,1.7454,2.4908,1.2961,0.2017,0.33,0.101,0.229,0.0607,0.0
