,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,54.59,53.8013,53.7656,54.59,2.2867,6.1725,1.7922,4.8905,11.8001,0.875
HOS_mlp,86.3144,86.2959,86.3589,86.3144,0.1575,0.0317,0.1418,0.0238,29.7778,0.5946
SCM_mlp,58.8428,58.675,58.8509,58.8428,0.5717,1.1483,0.4807,1.0008,22.7207,0.6294
FOURIER_svm,53.0805,52.1356,52.2255,53.0805,2.475,8.7142,2.093,7.3352,299.4763,0.875
HOS_svm,81.0819,80.91,81.6216,81.0819,0.2125,0.1408,0.1912,0.1078,183.6292,0.5946
SCM_svm,56.5775,56.4822,56.9846,56.5775,0.6942,1.4533,0.571,1.2068,280.9927,0.6294
FOURIER_knn,71.8977,71.4924,72.0327,71.8977,0.94,5.3908,0.7183,4.374,147.4435,0.875
HOS_knn,85.4592,85.4355,85.6875,85.4592,0.2567,0.2333,0.2278,0.1725,105.7172,0.5946
SCM_knn,67.0942,66.8567,67.5531,67.0942,0.515,1.8217,0.4332,1.4685,104.9362,0.6294
FOURIER_naive_bayes,25.6105,21.0717,25.4307,25.6105,3.5625,47.625,2.81,47.7992,4.2077,0.875
HOS_naive_bayes,42.8426,40.7141,42.0579,42.8426,4.3908,13.0542,2.7892,12.4327,2.7293,0.5946
SCM_naive_bayes,27.3451,24.468,29.2021,27.3451,8.4125,17.7358,6.2842,16.8812,2.1254,0.6294
