,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
HOS_mlp,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
SCM_mlp,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
FOURIER_svm,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
HOS_svm,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
SCM_svm,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
FOURIER_knn,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
HOS_knn,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
SCM_knn,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
FOURIER_naive_bayes,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
HOS_naive_bayes,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
SCM_naive_bayes,0.0496,0.3394,0.8037,0.0496,0.4033,0.4192,0.5245,0.389,0.0186,0.0
