idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,fx1_S,fx0d5_S,fx1d5_S,fx2d5_S,fx3_S,fx5_S,fx7_S,fx1_T,fx0d5_T,fx1d5_T,fx2d5_T,fx3_T,fx5_T,fx7_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1,0.00729869906144381,0.00662560452069636,0.000968336195096915,0.023377614159299,0.0235534712686499,0.00633875689193123,1,0.00721892455842481,0.00655318691539583,0.000957752317330637,0.0231220977260788,0.023296032723916,0.00626947452029827,1,0.00697691116263825,0.0063334922772564,0.000925643810202781,0.0223469327630558,0.0225150366153904,0.00605929129893687,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,1,0.00341600742850376,0.00618404022168046,0.00115518202220143,0.0239070410802692,0.0134088929113448,0.00597738036274552,1,0.00336770765632674,0.00609660255062963,0.00113884861846531,0.0235690135256542,0.0132193012648631,0.00589286470644834,1,0.00327033084495282,0.0059203201124913,0.00110591896470056,0.0228875186874531,0.0128370669568033,0.00572247332051738,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,1,0.00348986159108591,0.0043796574534945,0.000785899925818972,0.0181109603828092,0.0111430342700494,0.00500901842931097,1,0.00348424299376101,0.00437260630518678,0.000784634644917253,0.0180818021509132,0.0111250942397912,0.00500095402422993,1,0.00340645826752185,0.00427498912262816,0.000767117901348583,0.0176781311002035,0.0108767296993798,0.00488930915893038,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,1,0.00298408320537289,0.00230380396618198,0.00053298475130458,0.0193448250283148,0.0140266685761488,0.00402292066376543,1,0.00297900363532115,0.00229988238195449,0.000532077493297872,0.0193118958547271,0.0140027920818551,0.00401607276244439,1,0.00290221543031166,0.00224059952719417,0.000518362412472908,0.0188141033040796,0.0136418494981208,0.00391255257369431,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,1,0.00499342314715307,0.00401547133511272,0.00114977988175029,0.0253923706491352,0.0185658855197799,0.0046928530091125,1,0.00495634977880666,0.00398565871088599,0.00114124341051257,0.0252038465280018,0.0184280442248869,0.00465801120558908,1,0.00484844046363554,0.00389888321658239,0.00111639633547389,0.0246551100707517,0.0180268300812133,0.00455659729783709,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,1,0.00521283273002257,0.00588890046630159,0.00133650149749623,0.0232578509710812,0.020943655579841,0.00721373591564769,1,0.00523038347870157,0.00590872742362643,0.00134100127777051,0.0233361563221921,0.0210141694164704,0.00723802337558535,1,0.00509100131787251,0.00575126837699847,0.00130526553171455,0.0227142814812982,0.0204541721709104,0.00704514051291793,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,1,0.00410855958405087,0.00307193735622906,0.000929408144986729,0.0225786246724677,0.0130092372727762,0.00558143766929521,1,0.00409478253541804,0.00306163636643252,0.000926291602327122,0.0225029127827381,0.0129656139807401,0.00556272168462031,1,0.00402832353125123,0.00301194549707034,0.000911257734978545,0.0221376867514513,0.0127551799012454,0.005472437782992,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,1,0.00313483841911105,0.00268572224092608,0.000517863362577895,0.0175595329969809,0.0127427261164694,0.00514883910834397,1,0.00312083679431176,0.00267372657476883,0.000515550347509587,0.0174811040766335,0.0126858112627675,0.00512584203362794,1,0.00304036841716128,0.00260478659084916,0.000502257278202317,0.0170303672491232,0.0123587173733937,0.004993676138017,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,1,0.00387184207616442,0.00245214338445785,0.000949857769131405,0.0232203044566344,0.0132250601330219,0.0061321002787058,1,0.00381938129109898,0.00241891853579121,0.00093698785261908,0.0229056853742207,0.0130458697054508,0.00604901455661467,1,0.00370333664146838,0.00234542428827394,0.000908519255540618,0.0222097396093936,0.012649495721365,0.00586522673305574,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,1,0.00625291582823869,0.00466995539049427,0.00112773184322996,0.0215253958947089,0.0192136164444851,0.00564672937999512,1,0.00623032102437059,0.0046530805869595,0.00112365680359828,0.0214476142466292,0.0191441883717132,0.00562632502043841,1,0.00611316957207052,0.0045655866767261,0.00110252819306385,0.0210443253715398,0.0187842118212145,0.00552053076927891,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
