idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.306364407850531,8.09767494283125,16.6154837587297,4.08303037506968,45,43.69,375,0.61,3.06010229129951,3.06875596976925,3.11962499613889,0,2
2,0.311005252852502,7.97561792785525,16.5064829288571,4.06279492286379,45,43.72,373,0.6,3.01260276218669,3.01980150265802,3.0734346124125,0,2
3,0.519367231921999,8.10971058146503,16.487575438724,4.06187125012524,45,43.75,371,0.59,2.97491165384897,2.98117116125416,3.03764478185331,0,2
4,0.527000791821102,8.21710294587389,16.3145650570903,4.04159731314461,45,43.78,369,0.58,2.92797939947505,2.93654633317086,2.99223375721583,0,2
5,0.389632220135479,8.02906058059665,16.2204439299806,4.02751060228517,45,43.81,369,0.56,2.88087170435847,2.89043148056985,2.9467914147733,0,2
6,0.494680824582889,8.17021783467835,16.1345298671828,4.0176489785293,45,43.84,365,0.55,2.84021628927595,2.84738616894099,2.90768741184272,0,2
7,0.308606714853585,8.26881587156818,15.7242714342079,3.96584219655232,45,43.87,363,0.53,2.78583018660894,2.79250852267955,2.85373925200272,0,2
8,0.350075796102596,8.16401508073285,15.865784950039,3.99070079681338,45,43.9,361,0.52,2.72704248514748,2.73417908790362,2.79488946959702,0,2
9,0.548330811312176,8.35588993262523,15.5941052624962,3.94915936535286,45,43.93,360,0.51,2.66955527269132,2.6776270562983,2.73766081788863,0,2
10,0.413068843552347,8.02464565083909,15.8410100630902,3.98065384163635,45,43.96,356,0.49,2.6270939125737,2.63389617120402,2.69659095792118,0,2
11,0.512392253445174,8.26588988143872,15.5259094817982,3.94205473837691,45,43.99,353,0.47,2.56453426281941,2.57287788950592,2.63688393150842,0,2
12,0.349009560639525,8.34469180104028,14.8250827930643,3.85070060366844,45,44.02,349,0.46,2.50098929180317,2.50287900171915,2.57511428804181,0,2
13,0.329121167059369,8.15036667264762,14.9633342967516,3.86821028072351,45,44.05,346,0.45,2.45508373610053,2.45559472269113,2.52840054525723,0,2
14,0.434971382602139,8.34008118730999,14.5554779045574,3.81747952944572,45,44.08,342,0.43,2.38760976217588,2.38457450324621,2.45849402021576,0,2
15,0.282313280377262,8.14827088061956,14.5921615978626,3.82034683181799,45,44.11,338,0.4,2.32020364102225,2.31571059974247,2.38538997537803,0,2
16,0.310987936289604,8.26994824645601,14.3047138208988,3.78216908220001,45,44.14,333,0.39,2.2480368700074,2.24611214303983,2.30868856452657,0,2
17,0.203934073667545,8.32597484767839,13.9412570543625,3.73423299209997,45,44.17,329,0.37,2.19189877951206,2.18983617790275,2.24641244062917,0,2
18,0.413124755299696,8.52371791702356,13.7892822804788,3.71335856466544,45,44.2,323,0.35,2.10631179328734,2.10051510743231,2.15270369021927,0,2
19,0.330376915888649,8.38874410408684,13.2593217944205,3.64145150712761,45,44.23,316,0.33,2.02683292760475,2.02418950013487,2.06585462762877,0,2
20,0.361696198116589,8.47834384465223,13.100412985477,3.62240084579862,45,44.26,311,0.31,1.96448570739838,1.96272529784183,1.99999508262116,0,2
21,0.194368716158455,8.62839476037005,12.0553972691336,3.47413413638568,45,44.29,303,0.29,1.8803201343814,1.87901851200483,1.91291368253185,0,2
22,0.216432709152947,8.62725416430371,11.7910650786904,3.43396184908115,45,44.32,294,0.27,1.79036173095473,1.78826777241565,1.81684243914981,0,2
23,0.21250997615593,8.57235271992296,11.028942547739,3.32468791272266,45,44.35,283,0.24,1.68750861369002,1.68912972725731,1.70970761759703,0,2
24,0.235724594412341,8.73177876962955,10.5214809883869,3.24987184722389,45,44.38,270,0.22,1.58915701581682,1.59575795962458,1.61033797953611,0,2
25,0.279226568048274,8.84589737697832,9.49749036494999,3.0840745314858,45,44.41,254,0.19,1.47332533620472,1.4827260508044,1.49171787007813,0,2
26,0.0313934775024982,9.14651500449855,8.22684873068643,2.87235015618319,45,44.44,233,0.17,1.33742630000395,1.346336350983,1.35335142342819,0,2
27,0.228217141126181,9.62423762320654,6.82979032796452,2.61440025834963,45,44.47,210,0.12,1.18398103499212,1.1958681833032,1.19918379074125,0,2
28,0.422293736295491,8.09114858812725,16.8080657902828,4.10679555520876,47.5,46.22,374,0.59,3.04392522054663,3.04604649969361,3.104251663764,0,2
29,0.383134173889055,8.20975904586217,16.4332920816423,4.05778709631169,47.5,46.25,373,0.58,3.00656088421987,3.00995527033553,3.06597977873744,0,2
30,0.352141803875769,8.16090090449223,16.4030521502193,4.05620895542084,47.5,46.28,372,0.57,2.95603779015915,2.95466795765418,3.01565570687535,0,2
31,0.304553827874592,8.00920332540833,16.2294935952733,4.0329746715058,47.5,46.31,368,0.56,2.90620342228133,2.9056654283882,2.96756823476066,0,2
32,0.353765146436672,8.22074348269011,15.9877409125551,3.99843054684644,47.5,46.34,366,0.54,2.84751838509749,2.84604064648914,2.9105070216359,0,2
33,0.376967583961089,8.27203730955922,16.0188510040499,4.00736891863823,47.5,46.37,364,0.52,2.79816533797005,2.79819502962451,2.86316725794566,0,2
34,0.468236602101574,8.18518714176842,16.1354833262518,4.0183999480797,47.5,46.41,361,0.51,2.74385774128057,2.74216226890262,2.80853931236335,0,2
35,0.349628159103573,8.19463621382577,15.6556315952874,3.95702190580459,47.5,46.43,359,0.49,2.68148157551259,2.6803216820649,2.74760687153402,0,2
36,0.441309412364876,8.26398805996342,15.505570421071,3.94196993478431,47.5,46.46,356,0.48,2.62401170557911,2.62367821559686,2.68987280624155,0,2
37,0.291810562269357,8.19037834162296,15.1573747739302,3.89462053280818,47.5,46.49,354,0.47,2.5747624389351,2.57321098695639,2.6424301664431,0,2
38,0.403504434481393,8.25482793307986,15.3054559622369,3.91224016429371,47.5,46.52,350,0.45,2.5132081793067,2.51178717759097,2.58183431317897,0,2
39,0.38773453591653,8.39445576492975,15.045750770585,3.88442606203397,47.5,46.55,347,0.44,2.44679970963309,2.44360906340604,2.51563604228157,0,2
40,0.426663224167782,8.36752332619031,14.8537134393789,3.85577742314488,47.5,46.58,343,0.42,2.39908596154588,2.39605230754201,2.46557675027176,0,2
41,0.317742509173878,8.49818143120581,14.5183297967421,3.81466311407343,47.5,46.61,340,0.41,2.33295299322845,2.32909533337322,2.40060267253873,0,2
42,0.403257876807739,8.4525895652437,14.3978981713138,3.79443424497651,47.5,46.64,335,0.38,2.26490377409448,2.25566531440169,2.32738704915395,0,2
