idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.475771026144304,0.720855800005766,2.53404956652551,0.281839382983024,0.775742030469945,0,1,1,45,43.72,349,0.44,2.70485622519889,2.45018371378701,2.64445430421516,0,4
2,0.469025161427902,0.716188730054144,2.54601038451768,0.289211134604757,0.766165501379006,0,1,1,45,43.74,347,0.44,2.66926473920315,2.42034542416912,2.61231691051079,0,4
3,0.481660958055872,0.7336864810929,2.49754765554627,0.266107535221189,0.802978279741877,0,1,1,45,43.76,345,0.43,2.63520857148101,2.38997045300387,2.57836304248273,0,4
4,0.483193612963871,0.731453984229852,2.49788363357053,0.270925938650598,0.789949636414156,0,1,1,45,43.78,344,0.42,2.59931538326482,2.35487011055382,2.54227812186532,0,4
5,0.464294713340637,0.72687096586614,2.50884489973679,0.272323348030361,0.800067945511759,0,1,1,45,43.8,342,0.41,2.5672321080505,2.32517557482947,2.50958785444566,0,4
6,0.484224166055488,0.737495759399383,2.46412331344779,0.262523251482711,0.796309121361896,0,1,1,45,43.82,340,0.4,2.53083067341624,2.29192862837882,2.47043167172206,0,4
7,0.469745548081816,0.740400704861471,2.43130730911722,0.26142549409586,0.818197718738097,0,1,1,45,43.84,338,0.39,2.49515947559568,2.26187762511864,2.43436873009605,0,4
8,0.472509259062251,0.733804925298659,2.48741735505288,0.262823569460941,0.796920826982301,0,1,1,45,43.86,335,0.38,2.45173568840457,2.2256879098949,2.38824156915627,0,4
9,0.47540730933247,0.731668056835974,2.47268505491996,0.270740698166891,0.810282620685512,0,1,1,45,43.88,332,0.37,2.40192366412619,2.18043249792474,2.33145188677405,0,4
10,0.473141226925941,0.733869547349263,2.46106028892588,0.266680274116648,0.796112702755507,0,1,1,45,43.9,330,0.37,2.3740547857931,2.15384591468395,2.30575784168113,0,4
