idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1.28456662384943,0.0166539188812491,0.040915415616231,0.0195993867530514,0.192940916146088,0.461523636992801,0.298452912245122,45,43.79,352,0.49,2.96863155907553,2.61847466168056,2.69854826958521,0,6
2,1.304810222399,0.0109513615803585,0.0411269263355063,0.0103652859457056,0.169065801587675,0.461176310829407,0.410634588753414,45,43.81,351,0.49,2.90782576187422,2.56164683824169,2.64193126464622,0,6
3,1.14544800612523,0.0136330342734525,0.0403752960762208,0.0113271467569309,0.204730352430788,0.428055867580983,0.334363861421438,45,43.83,350,0.48,2.86977197576818,2.52682064282636,2.60640168339377,0,6
4,0.959794827894362,0.0157041079136093,0.0346294113439192,0.0111875511780536,0.132822067686063,0.416471226877569,0.290567463180828,45,43.85,348,0.47,2.83420446670565,2.49584208862678,2.57267194958642,0,6
5,1.25833277063057,0.0180755107380549,0.0457528378803322,0.0148277379108043,0.198803745570857,0.420280071213294,0.384268981314981,45,43.87,346,0.46,2.80113553716602,2.46936092116142,2.54043857995226,0,6
6,1.23563651166174,0.0127650062519586,0.0429127997147547,0.0107507874577889,0.187017337001168,0.384117056121037,0.322432283200927,45,43.89,344,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0,6
7,1.26050407126395,0.0111347325662467,0.041876697513526,0.0171454690143673,0.160624007179131,0.371259333919526,0.321727277977944,45,43.91,342,0.44,2.72286371520499,2.40325309117405,2.46544710580319,0,6
8,1.11064200807564,0.019371920869958,0.0406037024694644,0.0133815088060474,0.189075076225495,0.470211584636019,0.33671543731063,45,43.93,340,0.43,2.67335204708896,2.36160635315579,2.41838224757096,0,6
9,0.94171919747845,0.022623038765719,0.0452836422492491,0.0141435391922976,0.151258571599684,0.393584535872288,0.322982800957583,45,43.95,338,0.42,2.63805690643483,2.33073181346202,2.38525797083952,0,6
10,1.1748265353364,0.0116328877834906,0.0375238821040873,0.0130608125371942,0.182434842103086,0.40764366822859,0.37214540579188,45,43.97,336,0.42,2.60350845262273,2.3069290308225,2.35143233765023,0,6
11,1.18740190935243,0.0177087262984483,0.0435277936875861,0.013831437168438,0.171643263539957,0.416680831561206,0.289175280474997,45,43.99,335,0.41,2.57353500382117,2.27781200844168,2.3226505914522,0,6
12,1.20558484195638,0.0655320380169053,0.0391342228524222,0.0277683898817112,0.162597696307539,0.359502601209772,0.319644689204461,45,44.01,332,0.4,2.52563254797918,2.24030511145715,2.27522714939429,0,6
13,1.20554460756026,0.0127665182684302,0.042827630259934,0.0095799962688694,0.19015293184063,0.375352535356874,0.356418880468685,45,44.03,329,0.38,2.4798244831403,2.20507386211875,2.23240336765154,0,6
14,0.890529638137291,0.0111248066527361,0.0299983634514471,0.0198906549751212,0.158372100066147,0.391010447144458,0.280471735488226,45,44.05,326,0.38,2.44080890363258,2.17174616204167,2.19568466688585,0,6
15,1.16868434727273,0.0176820059983815,0.0413780587842351,0.0184908644519756,0.181471038506622,0.45401473669654,0.337091381471297,45,44.07,323,0.36,2.38170795109805,2.12308538031924,2.13871819723208,0,6
16,1.17076320210955,0.0148162988018136,0.0351740803013409,0.0112945707014972,0.184438879483701,0.42755055501479,0.254846237829387,45,44.09,320,0.36,2.34441648738544,2.09228657351594,2.101708499103,0,6
17,1.20323307222326,0.0383489951009693,0.045050549100301,0.0271018213028033,0.158543483009592,0.412429251863201,0.352084343786113,45,44.11,317,0.35,2.29813826710845,2.05278943167668,2.06097418129193,0,6
