idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.46427289351797,0.736735084798209,2.42120750307475,0.264632170783646,0.849929808274241,0,1,1,47.5,46.36,318,0.39,2.74536767924653,2.11694255560945,2.07176538875591,0,7
2,0.450888911143193,0.726554099218227,2.44758864538787,0.276056182948137,0.845985782606271,0,1,1,47.5,46.38,316,0.38,2.6903566319049,2.07538017514773,2.02835822694505,0,7
3,0.468321335199882,0.750998828441828,2.37101583847897,0.246123414011856,0.859661668262867,0,1,1,47.5,46.4,313,0.36,2.65219820574761,2.04776902919605,1.99543310709588,0,7
4,0.461045451153396,0.746380056724884,2.36747506726932,0.253691266477988,0.858228438234035,0,1,1,47.5,46.42,310,0.36,2.60987170243395,2.01797208161006,1.95620134758078,0,7
5,0.452104257239783,0.730641649496588,2.41663395888177,0.269676295721174,0.856150566511778,0,1,1,47.5,46.44,306,0.35,2.54863291744959,1.97464209727062,1.90419070167438,0,7
6,0.468320452081408,0.752083270659728,2.34796154385604,0.24790082441805,0.834430896709488,0,1,1,47.5,46.46,304,0.33,2.51281305779335,1.95045572894529,1.87994964687365,0,7
7,0.451626301336219,0.744801287016624,2.34431680010881,0.256158246573303,0.889079445032599,0,1,1,47.5,46.48,299,0.32,2.44230540945606,1.90265384951948,1.81887100949148,0,7
8,0.461845932138602,0.751698839376993,2.31087521986152,0.247365469048721,0.886247793474569,0,1,1,47.5,46.5,290,0.29,2.34236072033216,1.83141234879263,1.74200336202557,0,7
9,0.459815594734442,0.748334954725735,2.3276054742292,0.248625900771449,0.882927338415213,0,1,1,47.5,46.52,284,0.28,2.24954795790358,1.76361915408979,1.66839284697705,0,7
10,0.446038106493471,0.728554984044646,2.38862488878791,0.271695338128594,0.86497630416212,0,1,1,47.5,46.54,279,0.27,2.19665906570542,1.72871104495981,1.62569799733795,0,7
11,0.452759730206624,0.74207097166773,2.33239466652865,0.251770014839215,0.877321599292409,0,1,1,47.5,46.56,267,0.25,2.07508454788533,1.64231349688007,1.53495316089594,0,7
12,0.465081446896976,0.765146066384073,2.2284569022098,0.229618099019971,0.904602733196592,0,1,1,47.5,46.58,262,0.23,2.01837713071555,1.60010087658211,1.49403479261089,0,7
13,0.463853472438532,0.762532216986168,2.20051306660491,0.230836109146141,0.901175167619097,0,1,1,47.5,46.6,255,0.22,1.94410466144737,1.55006236944891,1.43606449810995,0,7
14,0.467030681326307,0.782191073635468,2.07141115358643,0.20951433724601,0.939973995170885,0,1,1,47.5,46.62,231,0.18,1.7407758512243,1.39464752305224,1.28560351758664,0,7
15,0.462958536199302,0.789926852773433,2.01047468774728,0.201085207015988,0.930385313482239,0,1,1,47.5,46.64,225,0.17,1.68500492570064,1.35490152738565,1.24387646733509,0,7
16,0.451204838293193,0.771485881808363,2.11496934321551,0.218813686670701,0.943912409716895,0,1,1,47.5,46.66,210,0.15,1.60734129890533,1.29895754434689,1.19126557137335,0,7
17,0.458969857007627,0.737191301142646,2.4227490880122,0.265001701037862,0.856877821951534,0,1,1,50,48.81,324,0.41,2.86078561334096,2.19114979235371,2.14429121374353,0,7
18,0.447480133685989,0.731571708658883,2.42513266213683,0.274941991904628,0.862693654814966,0,1,1,50,48.83,322,0.4,2.82472776071762,2.16600217945024,2.1118547012779,0,7
19,0.457153691103243,0.726269155348972,2.4522201092626,0.279954210205759,0.843853241298575,0,1,1,50,48.85,320,0.4,2.78517150884315,2.13809311216008,2.07977088555389,0,7
20,0.442376593326393,0.711824834144814,2.50729225549736,0.295873146150235,0.807413319804256,0,1,1,50,48.87,315,0.39,2.72135301278039,2.0916379720224,2.02787518135155,0,7
21,0.450570959924688,0.726902667732791,2.44338729980154,0.279090900037018,0.836684916385775,0,1,1,50,48.89,313,0.37,2.67053660759788,2.05553149057591,1.98283180919889,0,7
22,0.452124635802411,0.730769792899841,2.42865514840639,0.270416783625564,0.863378651184009,0,1,1,50,48.91,310,0.35,2.61858924310456,2.02262964981273,1.94070559927974,0,7
23,0.447966948644721,0.732032267982373,2.42623808321556,0.272523715861776,0.84884108054479,0,1,1,50,48.93,307,0.34,2.56964163720652,1.98715077397166,1.90016870873456,0,7
24,0.44711100869755,0.722825379844736,2.42097468342022,0.282643614923558,0.868952483930044,0,1,1,50,48.95,303,0.34,2.51533049411622,1.94835124493199,1.85317227150842,0,7
25,0.453228217095621,0.727929187048685,2.40394562357039,0.274510251326738,0.854325765353723,0,1,1,50,48.97,301,0.33,2.44350861259714,1.89839956251654,1.79683037985287,0,7
26,0.459120035605363,0.750694392312889,2.33038038144514,0.250917541097544,0.868815538146293,0,1,1,50,48.99,299,0.33,2.42509814135004,1.89010265096437,1.7805574463876,0,7
27,0.444014425845579,0.720585692050498,2.45195854541446,0.282633874467718,0.837070517062782,0,1,1,50,49.01,294,0.31,2.33717960602509,1.82928566177601,1.70825388101274,0,7
28,0.462384117452078,0.747384155455904,2.34514838199244,0.249219873979845,0.872848504501631,0,1,1,50,49.03,289,0.3,2.32368497514667,1.82137152628317,1.69933472556975,0,7
29,0.457699036538257,0.751371252535878,2.30439279535628,0.254132366100688,0.875969259767638,0,1,1,50,49.05,283,0.29,2.24039359399609,1.76532294646539,1.63481286750498,0,7
30,0.435930181651237,0.726089860881182,2.39987836223789,0.276417304386364,0.827369532705076,0,1,1,50,49.07,273,0.27,2.18050260578488,1.72562908773668,1.59045514870277,0,7
31,0.447508050991753,0.76007479135947,2.20379853417668,0.241637892113551,0.902527490835448,0,1,1,50,49.09,269,0.26,2.08413672946361,1.65547419468251,1.5201529379247,0,7
32,0.454816130424274,0.760086345808884,2.21637469399045,0.240993257366178,0.887826163316041,0,1,1,50,49.11,262,0.24,2.01440045008185,1.60768609244959,1.46853651975913,0,7
33,0.438194466223201,0.737104359235181,2.29999177322256,0.26032729579496,0.904954830271954,0,1,1,50,49.13,249,0.22,1.89902768252897,1.52123390819138,1.38291556810872,0,7
34,0.440849383751268,0.743649235528586,2.26686756267433,0.254651447219717,0.897048688856551,0,1,1,50,49.15,248,0.21,1.81909909756808,1.46680959983766,1.32480838425523,0,7
35,0.440664251867036,0.747317131497922,2.20881722008864,0.248013060391598,0.92823284837288,0,1,1,50,49.17,241,0.2,1.76381007830969,1.42448198626379,1.28374435590243,0,7
36,0.442968224327955,0.755378293449359,2.19619964654998,0.236926740746148,0.926816154582036,0,1,1,50,49.19,225,0.17,1.6826313828401,1.36557837837871,1.22549816388706,0,7
37,0.441327462161532,0.770154955176982,2.07749753687887,0.223276640760745,0.939349715429566,0,1,1,50,49.21,218,0.18,1.60012525194196,1.30421116169136,1.17411968452673,0,7
38,0.44514458587359,0.711176855460417,2.50924698035987,0.300729187226427,0.826139947207672,0,1,1,52.5,51.29,332,0.45,3.02741446378371,2.32171112800933,2.25779016484669,0,7
39,0.445395640908531,0.717504233274976,2.48133925099589,0.291743100960943,0.832238855748687,0,1,1,52.5,51.31,329,0.44,2.97668928431216,2.28526626927745,2.21524347680906,0,7
40,0.458692852065835,0.733041094283746,2.4251342960733,0.278212143056937,0.842572417671101,0,1,1,52.5,51.33,326,0.42,2.90610459797128,2.23496799066861,2.15857149458091,0,7
41,0.444862597010074,0.71769991531141,2.47790733938112,0.294443236257038,0.832410448073662,0,1,1,52.5,51.35,326,0.42,2.86067147339834,2.19864060209715,2.11778900886367,0,7
42,0.446919651695465,0.718194745687241,2.47739400524339,0.292689947986633,0.831446758716927,0,1,1,52.5,51.37,321,0.41,2.81640130329801,2.16563071000527,2.08144284162844,0,7
43,0.448762353345249,0.730513551026371,2.44328077971068,0.275518660201325,0.843547257036257,0,1,1,52.5,51.39,319,0.39,2.76331817362222,2.13043554085016,2.04074120213967,0,7
44,0.442592121564958,0.725552508235021,2.43024959447533,0.283990662393434,0.851879007721296,0,1,1,52.5,51.41,316,0.38,2.71925303286516,2.09855151203458,2.00299796889946,0,7
45,0.448294603044756,0.730172174598771,2.41726297380712,0.279111625161498,0.855542687537018,0,1,1,52.5,51.43,314,0.37,2.67923256944828,2.07085247256533,1.96671692490054,0,7
46,0.450079017609973,0.725973893978773,2.41573564071733,0.284910551175761,0.877407229831031,0,1,1,52.5,51.45,311,0.37,2.6315922091768,2.03876939457702,1.92589422830667,0,7
