idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,1.07627285467279,0.0115617317480405,0.0335367649138572,0.0153300275171881,0.131070962260888,0.414621577174165,0.376313904841387,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,1.46733652271511,0.0170774727287247,0.0381714008431609,0.0137960304403491,0.205799315525234,0.465740928502868,0.419658039336657,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,1.40381989742082,0.0130943460855001,0.0299230996455965,0.0141040684451244,0.201029381903909,0.423119511896397,0.379492538132278,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,1.39831025800873,0.0245447642748039,0.0334032100829624,0.012841716473978,0.191257773671726,0.477358132061409,0.364396802012124,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,1.30699798342071,0.01741395878029,0.0420100177241726,0.0228283773443197,0.186060973629421,0.542358958195169,0.318688541428714,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,1.06401845785809,0.0137264177719173,0.0405452365116783,0.0191659208098648,0.166077675351561,0.509924177507373,0.357259616776582,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,1.28268283144768,0.0183805348564336,0.0287442126975564,0.0135455746982204,0.187992404774405,0.486319306748415,0.408595217825549,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,1.42052744119767,0.0623948300704671,0.0431728776645931,0.036484694249879,0.19443192365483,0.448956909571419,0.373345687600416,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,1.33437807159165,0.0147905580923436,0.0286584631702987,0.013506256339825,0.217772021704116,0.426367508890751,0.392746531689789,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,1.08914011918193,0.0173887471174416,0.0344129553129903,0.0183122434412823,0.127478332865794,0.464876060728855,0.28163930650772,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,1.21991773256755,0.0225864879752421,0.0409150734828653,0.0177825711928741,0.190241996069941,0.530394818176681,0.398855494853687,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,1.33818757323261,0.0156060907403894,0.0364158009912956,0.013485309446851,0.18777225608972,0.424831347435765,0.287270214510682,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
13,1.33529021434047,0.0368299044664875,0.052169998762414,0.0275028927327719,0.158950397334092,0.467772036893845,0.388712611665029,45,44.11,345,0.42,2.41549848127315,2.41707457107655,2.49952833721724,0,1
14,1.30125827021535,0.0151142890346874,0.0365034448599517,0.017709667869809,0.194236329670658,0.410493137215757,0.373110976660382,45,44.13,342,0.41,2.37619946523089,2.3737125778693,2.4549933847436,0,1
15,1.04886226419564,0.0147634356951211,0.0331014955013258,0.0137023578145158,0.162409201401361,0.41224414344768,0.282696756096379,45,44.15,337,0.4,2.32663469702883,2.32805996251553,2.40489355001255,0,1
16,1.20621182869156,0.0184739178612322,0.0513888861714721,0.0229870138191743,0.206812620501692,0.371397501946624,0.371052369697524,45,44.17,337,0.39,2.28789310245274,2.28867441477505,2.36023809199574,0,1
17,1.38447593894272,0.0568037162647372,0.09857225104443,0.0733396563825713,0.14788250026557,0.420101105377781,0.382756365069152,45,44.19,334,0.38,2.24254355477452,2.24411754715203,2.31239647750905,0,1
18,1.35341884753618,0.0473823359076237,0.0756713288917628,0.0723139712213379,0.138747658260971,0.435813101656451,0.367541053383844,45,44.21,329,0.36,2.17856241431202,2.17702642636995,2.23965460790647,0,1
