idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.541580345352622,7.29627650803665,19.4871773329324,4.41479380253573,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,0.522075111532327,7.51789914369299,19.0506546933758,4.36599955750977,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,0.525171435240093,7.42309828495455,19.0880676234241,4.37213341130974,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,0.446003334010054,7.23703955763427,18.8214133686601,4.34290991427846,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,0.423612913384698,7.38436009673178,18.9662115959005,4.36901895470227,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,0.507820890100846,7.27121232309507,18.9374935337928,4.35296823925946,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,0.498506719810184,7.46835485888215,18.9067081039069,4.36136041477348,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,0.245896205231595,7.27007202400375,18.3535245182247,4.2842310939754,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,0.494743520334608,7.65734018315068,18.1238347220863,4.26082173958112,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,0.309394785695579,7.33857342241743,18.2549270453583,4.272814841857,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,0.271519961359674,7.4104074776388,18.0203773946051,4.24717255733228,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,0.266676163570371,7.29326887507743,17.8363092463342,4.22579605796646,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
13,0.42791594288997,7.60539043529867,17.7619566276052,4.21729767085799,45,44.11,345,0.42,2.41549848127315,2.41707457107655,2.49952833721724,0,1
14,0.555749703179211,7.72105482048462,17.7464388312762,4.21365115013696,45,44.13,342,0.41,2.37619946523089,2.3737125778693,2.4549933847436,0,1
15,0.452565352991107,7.26488894283917,17.4267502766644,4.18049546964558,45,44.15,337,0.4,2.32663469702883,2.32805996251553,2.40489355001255,0,1
16,0.339657764738872,7.23666635546082,17.4235100223241,4.17419759853081,45,44.17,337,0.39,2.28789310245274,2.28867441477505,2.36023809199574,0,1
17,0.357146468458722,7.04040921042087,18.0583104913519,4.2500068965796,45,44.19,334,0.38,2.24254355477452,2.24411754715203,2.31239647750905,0,1
18,0.362940588110302,7.34551587508907,16.8342503350212,4.10984418480496,45,44.21,329,0.36,2.17856241431202,2.17702642636995,2.23965460790647,0,1
19,0.659402848899048,8.07654938045412,16.0911956819896,4.0133731070087,45,44.23,324,0.34,2.11083612943326,2.11203833521229,2.16164576214241,0,1
20,0.346855682437038,7.39577465954546,16.1664319227165,4.02177666382116,45,44.25,320,0.33,2.06123932813246,2.06391630193295,2.1105928561721,0,1
21,0.516884751009597,7.75913876420253,16.0330068046374,4.00839297788118,45,44.27,316,0.32,2.01081085586375,2.01560681612094,2.05914995650377,0,1
22,0.631735242197994,8.00962872240805,15.617095630028,3.9541384453783,45,44.29,312,0.31,1.96147056154453,1.96572683990364,2.00281782269486,0,1
23,0.263162580322751,7.4924920813322,15.5375171248072,3.94930110065848,45,44.31,307,0.29,1.91040520501138,1.9158881769826,1.95320465985268,0,1
24,0.30295361935076,7.7488612532141,14.6662455273648,3.83037877938501,45,44.33,301,0.28,1.85623660427104,1.86225931463635,1.8947654792817,0,1
25,0.289354816319189,7.9098799360805,14.5903357571043,3.82107671002964,45,44.35,294,0.26,1.77972825033668,1.78528580114164,1.81311335194798,0,1
26,0.328018696537688,7.86546039452406,13.9941603993755,3.74514648423621,45,44.37,287,0.25,1.72414665785548,1.73244484054361,1.75509638760941,0,1
27,0.247167104777251,7.72699181010554,13.8481009710549,3.72350049989609,45,44.39,278,0.23,1.66354140657931,1.67329933519543,1.6913009189294,0,1
28,0.104074134478198,7.83114518722397,12.7635529203746,3.57359133983114,45,44.41,270,0.21,1.59107313022266,1.60367667356043,1.61811928396378,0,1
29,0.0634098844097856,7.46616810558463,12.6766217989602,3.5607687065653,45,44.43,259,0.19,1.51974737579899,1.53381747650768,1.54398668101489,0,1
30,0.230052337752593,7.97407714637074,11.7469475517509,3.4350338713111,45,44.45,249,0.17,1.44441124526874,1.45944874662495,1.46792643961098,0,1
31,-0.0593392418103529,7.63498570956001,10.9981687549942,3.31691639273392,45,44.47,235,0.13,1.35065484966597,1.36738695873234,1.37274875592562,0,1
32,0.311621542295845,8.21834830935916,9.40318769295709,3.06851849265848,45,44.49,212,0.12,1.20135414559844,1.21717108952675,1.22032662320949,0,1
33,0.559710381870944,7.29065241247456,19.8190712759666,4.45262800989816,47.5,46.33,373,0.58,2.98729907354967,2.99860438744414,3.06045102364073,0,1
34,0.557035697638976,7.62527671261767,19.1241753410381,4.37665575974242,47.5,46.35,372,0.57,2.95075775888202,2.96085948347133,3.0257014511,0,1
35,0.63309095390979,7.45342227428416,19.4205843532916,4.40685794200357,47.5,46.37,371,0.56,2.91523326290469,2.92813738363723,2.99093637665335,0,1
36,0.546215091684485,7.45864623787867,19.0623682260983,4.36850959275075,47.5,46.39,369,0.55,2.88625203571036,2.89636706112283,2.96063622876526,0,1
37,0.511736644226767,7.45671769224612,19.3442433133906,4.39816565469081,47.5,46.41,367,0.53,2.83895360225709,2.84913553076617,2.91274135112286,0,1
38,0.342135742305263,7.31767719314707,18.5070974448901,4.30267824588919,47.5,46.43,365,0.52,2.80361845982614,2.81534605448329,2.88306825840673,0,1
39,0.504478878177601,7.15877028247638,19.3829931694049,4.40264763840379,47.5,46.45,364,0.52,2.76616067517851,2.77653395556972,2.84414524969707,0,1
40,0.529287108402126,7.26454335530475,19.0371005300203,4.3640664013929,47.5,46.47,362,0.51,2.72921064695173,2.74004123307032,2.80845238792777,0,1
41,0.553021009196078,7.39741050344234,18.7413286934344,4.33127710261747,47.5,46.49,360,0.5,2.69951064285488,2.70798618957842,2.77376603325247,0,1
42,0.415677596890685,7.4470307049253,18.6296084048128,4.32249519734265,47.5,46.51,359,0.49,2.66080687564733,2.67166978365419,2.73862564113486,0,1
43,0.459230314851014,7.28485371228276,18.5559416657565,4.30769949211879,47.5,46.53,356,0.47,2.61041089486897,2.61942873898421,2.68751657273172,0,1
44,0.339484595236686,7.37169084483331,18.2965786674776,4.28961002600238,47.5,46.55,354,0.46,2.57644552786149,2.5858546380657,2.65368468102491,0,1
45,0.570828423282079,7.43467938530737,18.4142889887954,4.29116555889242,47.5,46.57,352,0.45,2.53434268080105,2.54236257699634,2.61262948386405,0,1
46,0.313836974968485,7.25151543152179,18.2572882887028,4.27371424398979,47.5,46.59,350,0.45,2.49726302572737,2.50304691132893,2.57337475973026,0,1
47,0.387285050739871,7.37134685426368,17.7883039409343,4.2201239696075,47.5,46.61,348,0.43,2.45340038559853,2.46186057820874,2.53172925384786,0,1
48,0.358816952689857,7.51649996672908,17.688240282025,4.21342732636871,47.5,46.63,345,0.42,2.40911802520674,2.4183634161363,2.48632327744582,0,1
49,0.371286588912256,7.36099744206567,17.4369869977084,4.17880646706438,47.5,46.65,343,0.41,2.3672859596711,2.37651424845071,2.44300093479042,0,1
50,0.517927770887143,7.76229252485596,17.2927282918214,4.15846101040471,47.5,46.67,338,0.39,2.30426520468086,2.30778349482997,2.37780266537046,0,1
51,0.498796124725617,7.75298833767281,17.1455196447062,4.14212182091649,47.5,46.69,335,0.38,2.26018006441819,2.25617954931095,2.3230646550828,0,1
52,0.477758355193786,7.65425075949545,16.9706242582441,4.11972028582842,47.5,46.71,332,0.37,2.21151223389825,2.20962679142829,2.27068758295176,0,1
53,0.34823119884585,7.32200513133337,17.1021261254476,4.13572478413837,47.5,46.73,329,0.36,2.16707550197683,2.16497996546063,2.22257090603593,0,1
54,0.318318659534999,7.50568755021055,16.6487974071518,4.08164429526373,47.5,46.75,325,0.34,2.11921931558645,2.11793735472006,2.16928551643988,0,1
55,0.336154825297251,7.24909532307319,16.7690734099776,4.09497843561403,47.5,46.77,322,0.33,2.07144758869064,2.07254687093046,2.11941024965506,0,1
56,0.219287790133933,7.62863302951647,15.593120117616,3.95023050352284,47.5,46.79,317,0.34,2.01590910548213,2.01685763811309,2.0592749601286,0,1
57,0.256428954312495,7.58627595813679,15.4589453840588,3.93396028149369,47.5,46.81,311,0.3,1.95133259579842,1.95234420287552,1.99084417501645,0,1
58,0.360311287081918,7.5797180861732,15.5072908758001,3.94659881150835,47.5,46.83,306,0.28,1.89416665751069,1.89641695519824,1.93042485644483,0,1
59,0.321311633722409,7.54382743140396,15.1110303975252,3.89633562525977,47.5,46.85,300,0.27,1.83188163377248,1.83642750152721,1.86564469032524,0,1
60,0.20852315081474,7.57706562462868,14.4817172071666,3.81010544706937,47.5,46.87,292,0.25,1.7685498362588,1.77653028166095,1.80168899591741,0,1
61,0.184086714248159,7.6530592303017,14.0811921704656,3.75794817489256,47.5,46.89,286,0.23,1.70361194518717,1.71078772610392,1.73349204024222,0,1
62,0.42367195557974,7.63857279186962,13.6168606356608,3.69191005568937,47.5,46.91,276,0.22,1.63460264057931,1.64406205160078,1.66200724596495,0,1
63,0.342126385237718,7.53057017939026,13.2015823562564,3.63339082119786,47.5,46.93,266,0.2,1.56231232184662,1.57301100722688,1.58795421613735,0,1
64,0.332876425086742,8.06517787340798,12.2109234224391,3.49465657590629,47.5,46.95,252,0.18,1.45425314498627,1.46928811817512,1.47728002815987,0,1
65,0.280606950443453,7.47485499714536,11.3664155170907,3.37319552396286,47.5,46.97,232,0.15,1.36193968014516,1.37736704198241,1.38376647710521,0,1
66,0.333391101813139,7.92232513358928,9.90445147880991,3.149490526604,47.5,46.99,218,0.13,1.23524601059154,1.25146999697679,1.25537897329993,0,1
67,0.462259826190783,7.43920630331134,19.6398566829212,4.43169380010239,50,48.85,375,0.58,3.01955014207837,3.03208870032038,3.09612681906418,0,1
68,0.270406798545852,7.12302493302369,19.3761891262902,4.40226390462043,50,48.87,373,0.57,2.97340051130861,2.98515352712083,3.05080553219601,0,1
69,0.329853454880529,7.30786943132288,19.0867731734462,4.37024133974051,50,48.89,371,0.55,2.93800528075235,2.94707980638462,3.01841610765236,0,1
70,0.581914843957335,7.5014284948318,19.1068786304984,4.37976077681413,50,48.91,370,0.55,2.90487925862949,2.91499664271737,2.98269902819721,0,1
71,0.505686034345569,7.3528186367277,19.4455282739452,4.41062534964837,50,48.93,368,0.53,2.866085608744,2.87588446858659,2.94450622827146,0,1
72,0.44169321254499,7.60359806186622,18.8401447771843,4.34245301344695,50,48.95,367,0.52,2.82299294552443,2.83299420458256,2.90270308163383,0,1
73,0.345607975684856,7.00666817995968,19.2872948526306,4.39275666303335,50,48.97,366,0.51,2.79753147092436,2.80654937863724,2.87849568143567,0,1
74,0.430920217720255,7.41818449708738,18.8321881912202,4.33979101115032,50,48.99,363,0.5,2.75428073117617,2.76331445913588,2.83409153237208,0,1
75,0.381008082907313,7.44751745733995,18.583976102689,4.31350524082968,50,49.01,361,0.49,2.70116251054092,2.71082598634059,2.78037978250333,0,1
76,0.420246161707127,7.374244966956,18.5366761872441,4.30679338804919,50,49.03,359,0.48,2.66594984293471,2.67504548268424,2.7451352760051,0,1
77,0.261317503413388,7.34215221607756,18.4504398485529,4.29645315799042,50,49.05,357,0.47,2.62727765472249,2.63491057697613,2.70531995064586,0,1
78,0.417109782958733,7.54431159334796,18.3478861321196,4.28553674481994,50,49.07,355,0.46,2.58618676284833,2.59266294661905,2.66600497632315,0,1
79,0.351666665745431,7.34854365190006,18.3351366181508,4.2920445770699,50,49.09,353,0.44,2.54365801542145,2.54578081848181,2.62354241570956,0,1
80,0.51061036683144,7.60232293249312,18.0520306244385,4.25595847719954,50,49.11,351,0.43,2.50349568478896,2.50317534714202,2.58309870831241,0,1
81,0.468723229475528,7.51033619052598,17.7863613772835,4.21995786386707,50,49.13,347,0.42,2.45232958931919,2.45263302197832,2.53121269401643,0,1
82,0.337081975582983,7.45886624706448,17.5231784675044,4.18621555659321,50,49.17,341,0.39,2.33906789350339,2.33214606284684,2.40897996672346,0,1
83,0.225669318836831,7.38554877095326,17.2996468089007,4.16001370267287,50,49.19,338,0.38,2.29463659744701,2.29011316015579,2.36279913757343,0,1
84,0.445985021684063,7.60749933441703,17.3536824809677,4.16627706953963,50,49.21,336,0.38,2.25989389325583,2.2572642502672,2.32607233526904,0,1
85,0.575742997210509,7.60301434309388,17.3600503591473,4.16715808979141,50,49.23,333,0.36,2.21725879829341,2.21640192115677,2.27579277207985,0,1
86,0.316609003859455,7.6028273972192,16.6221020338547,4.08431848232572,50,49.24,330,0.35,2.17213773093827,2.17153075914545,2.22792454013973,0,1
