idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.503035033471819,0.744779098519379,2.49943079828056,0.251722610445927,0.798329673401149,0,1,1,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,0.500225076358295,0.74474581825223,2.46757438446178,0.253273242463168,0.805038885835186,0,1,1,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,0.499384153719924,0.742104013298504,2.4620208985813,0.258332097543507,0.8116977662441,0,1,1,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,0.504434019696543,0.746658702307175,2.46677961036177,0.251220998966608,0.82188926157957,0,1,1,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,0.497275277318119,0.735748550575356,2.53288737282901,0.256675916134273,0.777591645578098,0,1,1,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,0.502391196398052,0.737278263562234,2.5152371397182,0.256531928359725,0.799373095283163,0,1,1,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,0.498147590144524,0.732912153149324,2.52928834860862,0.263707806893548,0.784061261026771,0,1,1,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,0.494042386953318,0.742699266213125,2.49026735830474,0.247519587593925,0.807187500616948,0,1,1,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,0.500905916081743,0.743262327005694,2.44602120822254,0.255135325197227,0.818517932594783,0,1,1,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,0.490157262173915,0.732107297645543,2.48499027621287,0.262191952952867,0.811518903222855,0,1,1,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,0.485580990762374,0.733266850472224,2.48537964984446,0.261146867699089,0.812885483687063,0,1,1,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,0.490749904470355,0.735131956186136,2.49438787549821,0.257661593598021,0.813785233130685,0,1,1,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
