idx,fx1_X,fx0d5_X,fx1d5_X,fx2d5_X,fx3_X,fx5_X,fx7_X,fx1_Y,fx0d5_Y,fx1d5_Y,fx2d5_Y,fx3_Y,fx5_Y,fx7_Y,fx1_Z,fx0d5_Z,fx1d5_Z,fx2d5_Z,fx3_Z,fx5_Z,fx7_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.401281014854458,0.0340031575390102,0.0267221158172251,0.00974038733402265,0.0212614888676403,0.174033100441439,0.121169231036269,0.404583693403387,0.0280205367613508,0.0288616414951508,0.0167522798283676,0.0217425865083037,0.17911219822979,0.117409213723549,0.39782701687427,0.0289081767841471,0.0260741368158362,0.0102083941407068,0.0295557375180248,0.172945408165404,0.128965137864786,45,43.72,349,0.44,2.70485622519889,2.45018371378701,2.64445430421516,0,4
2,0.348432241969939,0.00874220805500013,0.0137027139253061,0.00798948665664672,0.0266819073590806,0.178147760209809,0.131248468160658,0.344758291558902,0.0133747043631451,0.01052221783527,0.00922428981601086,0.0231904431859777,0.151112902945731,0.153317108323613,0.341760546148012,0.00720517903869218,0.0114847488552908,0.00758330208408838,0.0254041786354993,0.169134430874356,0.144940513854542,45,43.74,347,0.44,2.66926473920315,2.42034542416912,2.61231691051079,0,4
3,0.358330880751047,0.0102145863900613,0.012698499148096,0.0119105623080143,0.0222623772104584,0.171206127740742,0.113461955148387,0.360103550406969,0.00830882306380585,0.00947855212418733,0.0102788695058145,0.0211626734883566,0.16426615321231,0.132628520920175,0.361581422380948,0.0123913895350656,0.0131257987995523,0.012455985262827,0.0248632093282183,0.169064830641607,0.113181635801832,45,43.76,345,0.43,2.63520857148101,2.38997045300387,2.57836304248273,0,4
4,0.448871364205343,0.00972286383847131,0.0121402119420679,0.0187396868174819,0.0221908155526129,0.174920795073335,0.130359195578412,0.430926117527465,0.00874451450389606,0.0174482183730336,0.0128697519381012,0.0260261866418549,0.171363412165984,0.134576396832408,0.434790786983591,0.0111539757356778,0.0127495515359921,0.014236597719302,0.0227169157843624,0.164506662894947,0.128774409849251,45,43.78,344,0.42,2.59931538326482,2.35487011055382,2.54227812186532,0,4
5,0.414179293430168,0.00814120603558123,0.0118365466402763,0.010710063168829,0.02452208572584,0.193648539671653,0.133939283569934,0.422140591007125,0.00915820292091631,0.0106503653800613,0.00833363579999249,0.0246911624801995,0.17270559688194,0.132957578388467,0.426401818249718,0.012231563954519,0.00987329868916675,0.0085982637610311,0.0279346138088871,0.169678462274635,0.134947031831077,45,43.8,342,0.41,2.5672321080505,2.32517557482947,2.50958785444566,0,4
6,0.399640898535999,0.011519530616927,0.0155974060693131,0.0107426148359604,0.0266283567529847,0.171757252770222,0.120657286144813,0.412792463878441,0.0129127153203349,0.0161380795998275,0.0116742886461618,0.0218318987238835,0.168345074832306,0.113266677272651,0.403621427055507,0.0147944456878045,0.0146797419344353,0.00666887295429433,0.0266898179701771,0.169889808259421,0.124173149538107,45,43.82,340,0.4,2.53083067341624,2.29192862837882,2.47043167172206,0,4
7,0.350138824989471,0.00974389672761455,0.0134552125891848,0.00997321056934417,0.0211008516070656,0.167602927990839,0.121406806421915,0.379039533683073,0.00948170687252406,0.0159665576346626,0.0138704881508717,0.0273137655175264,0.16949974379611,0.129550905823747,0.391680589021378,0.00663923671852262,0.0167009772352037,0.00958243711419892,0.0216890914087914,0.165177772825795,0.126829321799959,45,43.84,338,0.39,2.49515947559568,2.26187762511864,2.43436873009605,0,4
8,0.359173949333409,0.0094450155173326,0.0116350736720587,0.0113753611919549,0.0184948158369963,0.16520480192337,0.109995669831538,0.345089612706521,0.00696988187307846,0.0126739651114531,0.00903526778458115,0.021116519164862,0.150873663505581,0.10228647224951,0.34809511602649,0.0101871024303859,0.0128653793359922,0.00678036645624344,0.023182907672935,0.161535154791984,0.093321938605308,45,43.86,335,0.38,2.45173568840457,2.2256879098949,2.38824156915627,0,4
9,0.386160194250669,0.0150857224473438,0.0177657924728316,0.013063670292299,0.0165672662126521,0.13027368794433,0.114822982449642,0.394984687882474,0.00977832895495409,0.0179459796810765,0.0104708971017616,0.0220195053914705,0.121933504788463,0.128833720062901,0.392671980036032,0.0104566463254072,0.0126696304424363,0.0127888298629795,0.039002886701679,0.124999464007014,0.12408709383837,45,43.88,332,0.37,2.40192366412619,2.18043249792474,2.33145188677405,0,4
10,0.388376159366926,0.0136443624005942,0.0154862705091767,0.0134653358414563,0.0220833833260847,0.165364859561409,0.130260826696088,0.397542617373485,0.0095956113490268,0.0163147631483159,0.00926541338034578,0.0291250300991713,0.158068982916514,0.143670327816997,0.364935249831592,0.0101759679694523,0.0141761668793489,0.00848406696298242,0.0249386527643353,0.149167879865347,0.131073534064145,45,43.9,330,0.37,2.3740547857931,2.15384591468395,2.30575784168113,0,4
11,0.38464173567636,0.00747857846112656,0.0124855634405524,0.00821935774322018,0.0238443273225045,0.166391277856286,0.122159710478748,0.391924098078282,0.0121558443156863,0.0108630777007944,0.00994703791706848,0.030415724223797,0.164473556338686,0.0951888941164381,0.386748147619531,0.00739991038506644,0.0123860271143608,0.00999792590500926,0.0180562219529679,0.171936208002816,0.111584060515758,45,43.92,327,0.35,2.33598674470011,2.12061441977379,2.26591975962299,0,4
12,0.320926759828543,0.0142250202755391,0.0212426197350816,0.0128571801945684,0.0233200849610853,0.164420912922136,0.10835351453491,0.36397515205595,0.00725273566008484,0.0158862924289489,0.0132362241067205,0.0294549327400327,0.162707878217972,0.132849054375743,0.372197242564369,0.0115364100924596,0.0123762544774836,0.016538814639758,0.029445589135781,0.160592708874869,0.130016553832139,45,43.94,324,0.35,2.30285385908459,2.08910426621808,2.22976032622993,0,4
13,0.319735327875764,0.00781971870639759,0.0110261170186654,0.00813066671198742,0.0264616241003789,0.169574237139502,0.127110129519823,0.329885652097479,0.0125532554119228,0.0110899516981447,0.0100322207869111,0.0235635109325658,0.161941938306366,0.120320760537863,0.333948839320476,0.00755368146953828,0.0129044239817481,0.00673027429081902,0.0226822674423089,0.161399661435322,0.12414894959685,45,43.96,321,0.34,2.25582163095784,2.04227112630289,2.18296372887922,0,4
14,0.36244732518772,0.0105578565499239,0.0130414753629945,0.00897042299849636,0.0225926992104527,0.155702679863916,0.0848860898390708,0.401207190217196,0.0101227757245781,0.0129852336684802,0.0100706937193591,0.0216915552366784,0.149770706578139,0.100807293848047,0.359041992673516,0.0123570578399812,0.0104947208044251,0.00818453549987034,0.0178018093168421,0.161190110121396,0.0958593210385031,45,43.98,319,0.33,2.21781151171672,2.00649543859406,2.14243872277634,0,4
15,0.38421542766046,0.0348772421284608,0.024095622298871,0.012017517083656,0.0212204135521984,0.149470968081615,0.11449638881755,0.369335443576791,0.0283556357623999,0.0344882558460658,0.013681064109633,0.0283665740234287,0.151145582465456,0.110797979329407,0.360416542902185,0.0364055678906734,0.0233358990448963,0.0132018735915535,0.0230462051007053,0.162150926999701,0.10937529088447,45,44,314,0.32,2.16984910527562,1.95597056987351,2.08862953557288,0,4
16,0.380507076604879,0.00744965587580057,0.00820575667754932,0.00791649552192981,0.0274538988283251,0.153671431832948,0.114365214041593,0.331699591944151,0.00934955834103115,0.0110887469232715,0.00833721676696099,0.0221284726053775,0.136177547065249,0.117945229334454,0.378288626124446,0.0133262442628453,0.0135735924935361,0.00999867741337422,0.01673127626557,0.146752171131183,0.109672196766898,45,44.02,311,0.3,2.12780278950647,1.92085580880424,2.04808505594266,0,4
17,0.310911907704607,0.0114254524299382,0.0159042835094859,0.0138650898334853,0.0221402769952014,0.159532084010199,0.117802604784892,0.315432987187794,0.0122656872766643,0.0178427413049457,0.0145639642535276,0.0196407522540269,0.145776163177294,0.119990906212902,0.316056960448126,0.0131407910383769,0.0236826497265629,0.013394506460237,0.0216514977848733,0.153725863054414,0.117637092450454,45,44.04,307,0.29,2.08617924324779,1.8796443418533,2.0024199893666,0,4
18,0.312319360002861,0.00902043362943707,0.0157403768797649,0.00669175289702979,0.0219123590356432,0.158528358373444,0.104748856810437,0.318462859326191,0.0113481323621021,0.0136990529831463,0.0127281528719134,0.0251779716405579,0.161135822850507,0.110773967251229,0.307308088126059,0.00934018759355714,0.0110054074397674,0.0121840799760979,0.0252288969593633,0.153050302804314,0.110593364072257,45,44.06,303,0.28,2.0327646151989,1.8309026046934,1.95001171931247,0,4
19,0.38485534509756,0.00694781824190245,0.0103003184909883,0.0104018105754052,0.0164044755444754,0.146192407887329,0.10300028814443,0.344540013073637,0.00807271891835459,0.0124003022635894,0.0104963014596938,0.0265443739192108,0.155075025579071,0.0997832860759952,0.316710758736367,0.0115383429116077,0.00934990183792115,0.00844533168638786,0.020468482928724,0.148134194658069,0.102659985179473,45,44.08,298,0.27,1.9889499133641,1.78984103062461,1.90474514300315,0,4
20,0.349805568007411,0.0199405016976655,0.0313970464458577,0.0119248303640472,0.022829894402822,0.152924566373946,0.117710961096906,0.354609552264923,0.0301963013746391,0.0307869651878108,0.0135300011417786,0.0168425864309569,0.150418084861017,0.1168706699976,0.358634642130297,0.031927075823384,0.0293330806511093,0.0158420968858049,0.0191895481430538,0.14710148295415,0.116424874001026,45,44.1,294,0.26,1.94593245551764,1.75037884764074,1.85950822767582,0,4
21,0.349631035270513,0.0102268784973909,0.0157026560583374,0.0102432981582604,0.0209429088145474,0.138788584544265,0.107706445563893,0.35260163594093,0.00886311448329458,0.0133650368173699,0.00859402583569559,0.0226707431782444,0.141760479323743,0.0991691480844125,0.355743197828545,0.010540052017648,0.0163592123814439,0.0101702528373315,0.0195117253522524,0.146935326008439,0.110126584572924,45,44.12,289,0.25,1.89909135788183,1.70733012660539,1.81176740628655,0,4
22,0.288240854613946,0.00849945854408319,0.01126421796084,0.0118894579210211,0.0285549978194197,0.139738348698514,0.120187656051789,0.313516841272434,0.00932700999491324,0.0111026478016102,0.0104334197154074,0.0205124792733009,0.145505595888449,0.117645022560013,0.252149846811568,0.0111709657178376,0.0118752916202146,0.00825774885450749,0.0194061543638273,0.149010132053357,0.103455189830916,45,44.14,282,0.24,1.83972776655969,1.65084639078896,1.7493052789628,0,4
23,0.302859105603881,0.00666207900185488,0.0114140605952476,0.0135557083189287,0.0173546967795408,0.146061861834701,0.0966644914293314,0.287156147713257,0.00663173339464157,0.00962545451537545,0.0154976324683497,0.0150843774980804,0.131872833143199,0.100553756321462,0.308415870462261,0.0075737271614107,0.0161536432794882,0.0153847105549001,0.0183097792534479,0.141528042170492,0.0839818997279702,45,44.16,277,0.23,1.78672961491705,1.60569276935903,1.69729625298064,0,4
24,0.318894941408784,0.0121726390892455,0.0203216058644845,0.0457554188542861,0.0183183948722006,0.13975006740507,0.106062952146126,0.323928278886571,0.010008038450239,0.0263229765973125,0.0462551414992281,0.0201629477920778,0.140437573578806,0.0979405586383334,0.318046610141273,0.0140045718815744,0.0224119850158141,0.0505376634407402,0.0129522676448767,0.138466434042785,0.108415527489753,45,44.18,269,0.21,1.73282490377337,1.55821459370857,1.64277118928907,0,4
25,0.332343629004778,0.0152537406582643,0.0389535153342986,0.0379465677061075,0.0178984717472425,0.139160285700781,0.100748255225087,0.330780190109404,0.0154153866968072,0.0391987041479538,0.035791644134182,0.015099429417752,0.13381004884092,0.108901918251383,0.329756082703424,0.0194873304708529,0.0375796197384213,0.0328405547058253,0.0194509581124696,0.135356741218592,0.101039225056815,45,44.2,262,0.2,1.67143303000566,1.50377636647132,1.58266514554086,0,4
26,0.311450130653039,0.00496746011687042,0.0284783029144116,0.00893785224451294,0.0169020188847177,0.124641039791288,0.0893894092052906,0.319369359085257,0.0077849635528731,0.0246976992317263,0.00608419657300637,0.0155016262512341,0.11927185287587,0.0817316150099835,0.283838365059535,0.0089115702025354,0.0205836275400897,0.0114662953934321,0.0220624061734216,0.131343599422014,0.0830184643012262,45,44.22,255,0.19,1.61469340713822,1.45689106912768,1.52841825497952,0,4
27,0.262187432162432,0.00834528790017595,0.0128617407750085,0.00761255963282853,0.0213301380896443,0.132211552522734,0.0929290616556421,0.288958020493461,0.0100660267763258,0.0115573419434737,0.00593179753820259,0.0253783176072664,0.123416960256815,0.0994963537247767,0.297244582594814,0.00938325887513299,0.00693013586596634,0.00575822844385467,0.0179790911539039,0.126676054394819,0.098694035391122,45,44.24,247,0.18,1.55266794538034,1.40313830054701,1.4685766042986,0,4
28,0.279500733740244,0.00833496330764168,0.00943340138330706,0.00802957010987423,0.0125242111991889,0.127902484705036,0.0929265580485576,0.247881394498688,0.0061201157664339,0.011964621828784,0.00728213580808245,0.0208673582190383,0.114010272196891,0.0940959196052912,0.225754997453559,0.00746375692194861,0.00695265050460146,0.0079715830948288,0.0221022798941829,0.132390297139754,0.0909843831777202,45,44.26,237,0.16,1.48796476020032,1.34291229245631,1.40536408169278,0,4
29,0.294952535277585,0.00879617754788495,0.0419180492782017,0.0417312623189297,0.0201928824282207,0.114117884798232,0.0920583927045157,0.265038522215426,0.00917178319315166,0.0330038985946605,0.0419662485830337,0.0150265020295089,0.114796436638807,0.0859604751558333,0.257583241550717,0.0136769434772749,0.0303076208126125,0.0425070639878183,0.0203934612748007,0.113550471588249,0.0842249960457165,45,44.28,224,0.14,1.38821966539197,1.25540046485438,1.31138902897324,0,4
30,0.263195642629309,0.0136563940342022,0.0403931396743289,0.0418130103742163,0.0194764654963191,0.11551125153619,0.0883390392553553,0.269465443629738,0.0150271650620509,0.0461188468157184,0.0396253625950394,0.0175896337002628,0.0994035931737171,0.0819129457404489,0.267477953728669,0.00928257812253464,0.0486758156203788,0.0448176427434807,0.0229468032057626,0.103788221794994,0.0792347126868318,45,44.3,212,0.28,1.32404442902416,1.19420635959478,1.25008358022542,0,4
31,0.347980664793137,0.0151386122451795,0.0146956542852613,0.00922615106460148,0.0251368143539809,0.150629742859493,0.150432462121463,0.343206130230748,0.0149440872708929,0.0180527216882748,0.0109586226946709,0.0158982906486468,0.180360529860954,0.144653502500051,0.362829038263239,0.0128784448035728,0.0151151832237608,0.0118543485599748,0.0191166613033674,0.178948542736032,0.151325730341495,47.5,46.24,349,0.44,2.71408794180251,2.44030875919303,2.63981461252257,0,4
32,0.403131685553926,0.011996582319215,0.0120962137048034,0.00903440114559366,0.0198890535294113,0.203333778643463,0.188314838117086,0.337189721102084,0.0156760785271639,0.0112716589979689,0.00690080711514213,0.0217532063508236,0.182442780526533,0.147904048233899,0.342296830103281,0.012080256396652,0.0136840904853368,0.0125835803401793,0.0200847584968457,0.180946746221206,0.186140029610919,47.5,46.26,347,0.43,2.67992793750035,2.40730074627234,2.60224687925878,0,4
33,0.409951984215127,0.0168566928192032,0.0127186512353168,0.00918868706415609,0.0165973653079005,0.160761891064472,0.124222336334699,0.409783209490537,0.0174781359396331,0.0115093983629619,0.00813228817159662,0.0207591983988296,0.159092762753226,0.123543031661767,0.408576599292371,0.00860519688076639,0.01196439261885,0.00842324627267186,0.0195017182146021,0.16678723775075,0.120398579233519,47.5,46.28,345,0.42,2.64358270507453,2.37519143303785,2.57019107190413,0,4
34,0.417545335872416,0.0124697781504646,0.0117369017881768,0.00699030872175082,0.0152908637823063,0.159690980423941,0.151235487088575,0.418455838565148,0.0104198178142534,0.0113196176591551,0.0063955293061558,0.0176089763445342,0.154072189508409,0.148590964414263,0.421133483174723,0.0131925962847676,0.0141593225449273,0.00742868867401632,0.0168265894202321,0.159079738901875,0.146238482302149,47.5,46.3,344,0.41,2.61024684707736,2.34277738013391,2.53904950836316,0,4
35,0.401917524795573,0.0136887347384708,0.0123381826118205,0.00706531230604959,0.0168833561740331,0.151906151823412,0.140005395760791,0.404173107663452,0.00981828671342318,0.0153302716182383,0.00803677523687625,0.0153388245535019,0.149387968699047,0.124164660049019,0.404711481651455,0.0138857138864762,0.0137628202674686,0.00826110132974341,0.017886735917433,0.150392622491658,0.120675870412009,47.5,46.32,341,0.4,2.56760215938567,2.30591302727506,2.49800463617094,0,4
36,0.349027843242875,0.0104866996254962,0.0111352534532907,0.00894798685725256,0.0194734442654576,0.166231051183046,0.163579692653677,0.367439079722038,0.0168413978558396,0.0101529068511486,0.0079728784232821,0.0177704286177263,0.185952015561987,0.155974882369217,0.329093564196343,0.0098335200087722,0.0120326717011908,0.00607516443360822,0.0162006185529609,0.156515537925256,0.136971051867992,47.5,46.34,338,0.38,2.52843154920717,2.26614990606137,2.45337971970146,0,4
37,0.397903760461947,0.0177412093406353,0.0138926647491747,0.00868785323396253,0.0144670573565975,0.164545335399983,0.131932026396752,0.397420667188729,0.0155016501723875,0.0114769535761009,0.0102853963637538,0.0124577826838794,0.168077575926113,0.135370071439371,0.407160777615323,0.0160391038432247,0.0114901454778804,0.00473503415274395,0.0167711615381415,0.160837808621326,0.152978431826894,47.5,46.38,334,0.37,2.44544612414902,2.19620025138155,2.37414566560707,0,4
38,0.408534918626674,0.0135963167810637,0.0107514542219787,0.00864234358265146,0.0161941783109642,0.148173588738696,0.145281542591363,0.4136820121802,0.0174864323247161,0.0139801471930173,0.00568768207164388,0.0137859713626652,0.14727568708883,0.146102534015126,0.410043595240267,0.0141366782996012,0.00903501478288952,0.0101286958941122,0.0207378539796941,0.146546396664776,0.145262369149307,47.5,46.4,333,0.36,2.41349523779405,2.16622064034934,2.34210914773356,0,4
39,0.391966314450463,0.0110090111399417,0.0153335976984705,0.0103082841354093,0.0178976023331633,0.160785843112171,0.10505108954822,0.393821013135705,0.00910463541338588,0.0121197537514807,0.0090950403723796,0.0189173932874967,0.160238304005956,0.101306592496652,0.402852605710851,0.00979721854360849,0.0122327629765162,0.0101178975773726,0.0181817752042089,0.152959540811235,0.112485174472548,47.5,46.42,330,0.35,2.37515783019647,2.13658432199328,2.30649931677833,0,4
40,0.34212480981994,0.015911096419619,0.0104165035291017,0.012612220770977,0.0149827102223843,0.146583524989215,0.135770862086886,0.349732006095027,0.0111030269090685,0.0114986981998179,0.0102224427216044,0.0162000100012359,0.148067837744945,0.135634790349832,0.346204095903851,0.0112571229054744,0.00995340727531521,0.0132030911189532,0.0167464173574089,0.1520242200817,0.143056312511742,47.5,46.44,327,0.35,2.34348288966222,2.10472971846544,2.27010385330757,0,4
41,0.373712202874629,0.0333308032998135,0.0426754438625697,0.0142114057071187,0.0154742942179802,0.148581186739266,0.117703683254778,0.335402774484901,0.0356215268645137,0.0296065858937623,0.0144936649990501,0.0141887706967947,0.148389154102636,0.0941570984140782,0.333347128732736,0.0292864317991631,0.0349735171329182,0.0146211200696327,0.0159309431088465,0.122673362771782,0.118837150379431,47.5,46.46,324,0.34,2.28612439062791,2.05270183908916,2.21267127058151,0,4
42,0.388274586762566,0.0198450846821901,0.0189923339650198,0.0103651702488613,0.0174759728942657,0.131950059655813,0.13803696184964,0.396779083392491,0.0164158296453862,0.019121391271607,0.00728429897368846,0.0136441254369372,0.14992088113459,0.132025917873861,0.388666576524594,0.0270172869080624,0.0138623308063592,0.0138607926295395,0.021940468339817,0.138153433821862,0.138892388728489,47.5,46.48,321,0.34,2.24969474015686,2.01807396084725,2.17249038893945,0,4
43,0.394784704812616,0.0235175656294658,0.014531662743118,0.0100683522006489,0.0184954234457795,0.162405099472777,0.130514980956299,0.407943838781621,0.0117585256600391,0.013898101112529,0.00979046368446741,0.0167526926909487,0.134329272734489,0.135333208694896,0.413430952725582,0.0123217400816038,0.00682905174443701,0.010034073611126,0.0136539431547978,0.156388524084985,0.142408073217933,47.5,46.5,317,0.32,2.21175876580169,1.98479373801895,2.13078478247236,0,4
44,0.382803586651379,0.0126191111925976,0.0109013174383966,0.0160576365938318,0.0170792681946557,0.140329349130591,0.111776796488554,0.375408123647027,0.0141292001479296,0.0150322265785287,0.00663871105608641,0.0174349088796565,0.150320016347278,0.11298056827294,0.368992713358097,0.0166388285420969,0.0123979050676712,0.00914377751972002,0.0217081493500435,0.154039951014239,0.11458657813338,47.5,46.52,315,0.31,2.1719758882982,1.94781160413578,2.08844795977402,0,4
45,0.320841605269143,0.0122485438415853,0.0134393324677402,0.00835787980149575,0.0155876152156217,0.148399882003822,0.140324101017923,0.313787262944926,0.0175488193653828,0.0132357290518045,0.00851847993041312,0.0155497854884161,0.143313358241159,0.134275240527159,0.311701346606892,0.0125835840787002,0.0101558214535201,0.010833486220789,0.0143676239627644,0.149706864084673,0.140220943172431,47.5,46.54,310,0.3,2.12715041862427,1.9069297522945,2.04155731688403,0,4
46,0.319167607310434,0.0371845477240737,0.0328628952901689,0.00980160268359765,0.0161380789943432,0.14015581789471,0.126731350303628,0.320252498592198,0.0312983824377457,0.0303984127775332,0.0107911812965937,0.015460053834842,0.138091517035468,0.129852568353686,0.320534451425704,0.0360262402228006,0.0353442961822232,0.0116918727676022,0.0233217010070711,0.147511778670189,0.127384863092195,47.5,46.56,306,0.29,2.08617794989164,1.86448831226641,1.99631235013597,0,4
47,0.366300544930506,0.0243761954624353,0.0103269669835889,0.0074083426908108,0.0169849609498321,0.137182389557234,0.102658667959788,0.370043335761981,0.00993508633489888,0.0102900618089726,0.00723806168424196,0.0149260981079987,0.135100999007722,0.112263046896962,0.370743889704921,0.0201269024142785,0.00961894608430275,0.0107524182111782,0.0164383627466946,0.138031232139801,0.0945677792219587,47.5,46.58,302,0.28,2.03807893714744,1.82231989351263,1.94678236034757,0,4
48,0.386756567574214,0.016850131531158,0.0114281959590892,0.0110175960669353,0.0189049580927417,0.125025373223324,0.115784975418581,0.373531395501209,0.0170302432496714,0.00962218366349737,0.00986905071588064,0.018731928863729,0.136725844886426,0.116559227943729,0.37739813146262,0.0160926191315088,0.00916374919454431,0.0131857273119288,0.01859026989354,0.134168485015994,0.121178437363119,47.5,46.6,297,0.28,1.97699990366118,1.76607905582866,1.88459589261194,0,4
49,0.391275053799064,0.0148926241189437,0.0134448965533952,0.00862013783878852,0.0162185205964227,0.129620625548804,0.128988735838857,0.358690857072783,0.0188489471322002,0.0121091720130078,0.00862287751487207,0.0182823162854431,0.149251389899463,0.129440144823656,0.358632733931019,0.013765916760069,0.0116158729955797,0.00919888801376204,0.017457659158926,0.141787725955639,0.114999023954342,47.5,46.62,297,0.26,1.98859301673041,1.77800466099444,1.89644019216676,0,4
50,0.304007857006556,0.0119658463499634,0.0142690430410218,0.0102049842425073,0.0142042696032395,0.138771743996192,0.13106458941748,0.306878843788249,0.0141053096318621,0.0120978678691066,0.0113209295612219,0.0157586701162959,0.13532664628402,0.124539871453649,0.307123606393528,0.0136703977318254,0.0119011910133888,0.00892639323880852,0.0198295110703459,0.138295448756846,0.127465669189667,47.5,46.64,293,0.26,1.94224711250217,1.73522164050974,1.84895042337348,0,4
51,0.304622552326699,0.0449704097553228,0.0473542493711693,0.00817506502604602,0.0157248791538098,0.130955885928962,0.105549933278047,0.305544033905863,0.0415378933445826,0.0510614728449171,0.0094462044428616,0.0141055003344258,0.140620597092138,0.11888651107155,0.296443775637474,0.0447990594366732,0.0489015248525758,0.00795694420825672,0.0140638594427997,0.134283136191624,0.115086405928988,47.5,46.66,287,0.25,1.89780020479136,1.69291095949479,1.80037661588605,0,4
52,0.396820243199913,0.0598466405090734,0.04855355128819,0.0196631018996965,0.0194877034969056,0.137661165676344,0.125196543101303,0.364290158959241,0.0401282604648078,0.0487885876823464,0.0218477693764406,0.0161231269993745,0.134121679950639,0.116137764264434,0.351411630519381,0.0419863625998148,0.053985795657619,0.0181045326308095,0.0228001586871232,0.135660526060438,0.129012967895161,47.5,46.68,282,0.24,1.84595896796529,1.65218986346018,1.74949823705365,0,4
53,0.362545092178595,0.0556953476776485,0.0236027730955059,0.00898793779899333,0.0130086160451507,0.120577452198993,0.139153489151389,0.331745349261234,0.0547331065887435,0.0228506587885576,0.0108215267657666,0.0165598255283974,0.127698682962565,0.11708279651719,0.334388581299384,0.0572976087237432,0.0227188087569461,0.0066614917269356,0.0134620158617887,0.128493007753056,0.116094845310125,47.5,46.7,276,0.23,1.7987260582444,1.6104903607069,1.70193810734698,0,4
54,0.401178933778209,0.0100650770633621,0.00945201045801998,0.00641449194697391,0.0131266333415188,0.157708501452669,0.108384760235425,0.337349083550354,0.00802158348816937,0.0130826174711636,0.00867476162577502,0.014150791259513,0.118429585436654,0.125437586586005,0.336946931964278,0.0103511076470722,0.00786679264425651,0.0117788838216357,0.0137900056615864,0.123003909871055,0.112651625997989,47.5,46.72,271,0.21,1.75289724018592,1.56878134924203,1.6543593618352,0,4
55,0.304917074827938,0.00939874131915016,0.012675206074151,0.0086241451143184,0.0193319312232091,0.111083971422201,0.128288205981118,0.278786074885301,0.00694146893914037,0.0074805905230132,0.00911042666983684,0.0107711594998637,0.112251648668948,0.110993809993779,0.281683708070887,0.0103274116210917,0.0100837162444442,0.00925495616514093,0.0126779368649025,0.116426045622527,0.111033279825018,47.5,46.74,262,0.18,1.68304271625098,1.50753031676052,1.58445018178305,0,4
