idx,fx1_X,fx0d5_X,fx1d5_X,fx2d5_X,fx3_X,fx5_X,fx7_X,fx1_Y,fx0d5_Y,fx1d5_Y,fx2d5_Y,fx3_Y,fx5_Y,fx7_Y,fx1_Z,fx0d5_Z,fx1d5_Z,fx2d5_Z,fx3_Z,fx5_Z,fx7_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.417840314947344,0.00901078479821917,0.0183216600953647,0.0104424243277622,0.0174093028507237,0.16566575719853,0.120311433749151,0.414570693852533,0.00927232669693032,0.0157472891586878,0.0124608333131162,0.0172513840765373,0.161062880460511,0.114638123976666,0.418134830393496,0.00907342022784194,0.0121620224823727,0.0106048148031879,0.0249766396735603,0.169590637441023,0.116293153272115,45,43.79,352,0.49,2.96863155907553,2.61847466168056,2.69854826958521,0,6
2,0.418947918060703,0.0093763676340782,0.0116183944184972,0.00928401094730808,0.0216265202635721,0.165180281511716,0.131632875403266,0.399236415777696,0.010078662502525,0.00962054369718875,0.00871557717173458,0.0197318571696934,0.163941407936625,0.126447663725417,0.410412651067377,0.0162308308138407,0.0136459672196584,0.00790588458465492,0.0196953758948173,0.150446179910126,0.12951119675799,45,43.81,351,0.49,2.90782576187422,2.56164683824169,2.64193126464622,0,6
3,0.371758652174387,0.0141344580442729,0.0148585941860224,0.0153868089540941,0.0188933832906581,0.154134259410276,0.128336936100832,0.377593471425498,0.0125645466458226,0.0114412103320931,0.0113098012681264,0.0225895972253054,0.154318344196924,0.117732696893684,0.37538912754764,0.00953386109698394,0.0108834127820128,0.0112114173933159,0.0178249554334539,0.144769964219081,0.123270524825281,45,43.83,350,0.48,2.86977197576818,2.52682064282636,2.60640168339377,0,6
4,0.321316372149535,0.0106131173753833,0.0105672838748984,0.0106485042081688,0.0200062364388655,0.148225459762138,0.116754760842396,0.325467584445591,0.0110572435781277,0.0106468827423358,0.0111013600182019,0.0180675068215356,0.149027694478242,0.110826027400235,0.324236630082692,0.0106706284465151,0.0143327698591382,0.0104670457565714,0.0177053884224916,0.152176280668718,0.115798029329969,45,43.85,348,0.47,2.83420446670565,2.49584208862678,2.57267194958642,0,6
5,0.376955280979036,0.0106953004963426,0.0134733559714696,0.0082755282441673,0.0181412033640822,0.131910488955099,0.134551901840317,0.379177025305642,0.0109333292651272,0.0100420870586768,0.00949384004293739,0.023243162177189,0.119621585404219,0.13520030032706,0.377010740402416,0.00814719580613042,0.0143718074172256,0.0125743380597727,0.0228195142272004,0.143026248038851,0.134462409381182,45,43.87,346,0.46,2.80113553716602,2.46936092116142,2.54043857995226,0,6
6,0.395220049152712,0.0141439545432477,0.0156171438326209,0.0131866808159089,0.0232103561295615,0.12657772208167,0.12319265851323,0.39621186913411,0.0104489777635656,0.0100559919902957,0.0123553277284489,0.0258325334523024,0.127917416168949,0.12427100932457,0.393750586074009,0.00847809497815153,0.00666234944976839,0.00849232589909147,0.0209058231476658,0.129598714961471,0.108091368767431,45,43.89,344,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0,6
7,0.400977453844435,0.0126715304169381,0.0115194328221719,0.0114012701280735,0.0193979179405381,0.122113645227967,0.116294534798048,0.42238984407343,0.0124947480334292,0.0116486814637,0.00933517523957395,0.0298220830835467,0.152871983042195,0.127805979638286,0.437420220792994,0.0111919243464551,0.0119691143610235,0.0112802926943268,0.0230646029506895,0.159331278422003,0.118884330781669,45,43.91,342,0.44,2.72286371520499,2.40325309117405,2.46544710580319,0,6
8,0.370092091493432,0.0120143456765929,0.0163993617749694,0.0122896748691948,0.0217465480801472,0.167328168243244,0.102085026092239,0.375761373075656,0.0092011688903594,0.0178277654509156,0.0170544557558717,0.0176966289808884,0.16764066242853,0.117004165631772,0.37362436879027,0.0117031339016762,0.017556743042218,0.0129877929932049,0.0225888983400443,0.163165818633764,0.117833759000946,45,43.93,340,0.43,2.67335204708896,2.36160635315579,2.41838224757096,0,6
9,0.338718492844008,0.0100978228509293,0.0107693356916379,0.0146360766368569,0.0139641358631361,0.161237162373884,0.127201807961312,0.31308294625877,0.0116519785088222,0.0132868486599724,0.0123631468299182,0.017138480424605,0.142418154910643,0.117908184131854,0.284587427152541,0.0140256259540761,0.0124295674222666,0.0117711404851748,0.0231381810014742,0.171313714460945,0.120833131547905,45,43.95,338,0.42,2.63805690643483,2.33073181346202,2.38525797083952,0,6
10,0.408544126223031,0.00807143589870894,0.00894183067631747,0.0136287797659141,0.020120777035898,0.149868400058884,0.122215816742206,0.344853973159799,0.0127670302722078,0.00826965252591197,0.0161922433110395,0.0261650666465072,0.176186535255671,0.13308136734157,0.406397690122708,0.0110105138572339,0.0159923040589669,0.0101161636458029,0.0275769450993124,0.151984525789788,0.120610641210628,45,43.97,336,0.42,2.60350845262273,2.3069290308225,2.35143233765023,0,6
11,0.387612929934626,0.0183540534216245,0.0148061058329441,0.0114535261529118,0.0164259125150731,0.124331049851071,0.11134957726133,0.379938944230772,0.0129603500034984,0.0216244325870147,0.0111382583154947,0.0179766814056976,0.140716764943445,0.106486235018019,0.382290966329759,0.0139407602728144,0.017407561732381,0.00793434105848178,0.017135905646486,0.145357482061018,0.0980893610949743,45,43.99,335,0.41,2.57353500382117,2.27781200844168,2.3226505914522,0,6
12,0.393886762655587,0.0329948064519056,0.0173269002100662,0.0124933535842509,0.0171697030231788,0.141593688690795,0.115742625387098,0.384067376357279,0.0252585934284511,0.017121481356516,0.0124503191968464,0.0215217473027532,0.136532663604211,0.125926601864444,0.392815517401214,0.0302392106393478,0.0180658124700012,0.0139648167354895,0.0165666063393869,0.107658103607414,0.11665053938325,45,44.01,332,0.4,2.52563254797918,2.24030511145715,2.27522714939429,0,6
13,0.388140474528289,0.00804929426877291,0.0101169114948931,0.00925476863098342,0.0165568971991924,0.126270332991459,0.122494420647761,0.349426055531804,0.0160269030117543,0.0134483155134617,0.0114627140468558,0.0328610089057957,0.120912759811128,0.117166847146277,0.38833758327153,0.00843015303766702,0.0150466511448099,0.0175398564088555,0.01810934854941,0.124227330386903,0.121030314898151,45,44.03,329,0.38,2.4798244831403,2.20507386211875,2.23240336765154,0,6
14,0.263565620616486,0.0159867527943394,0.0117974444038705,0.0125819596631459,0.0181912655812565,0.130038509831754,0.119149687361366,0.295898460889627,0.00767539586314169,0.0156890851682581,0.0148542441036091,0.0229143283197413,0.136946186245564,0.101250097439109,0.300099129457109,0.00859726857519621,0.0245876983623608,0.0132691927629214,0.0191536405612389,0.122635095931975,0.103370610873403,45,44.05,326,0.38,2.44080890363258,2.17174616204167,2.19568466688585,0,6
15,0.396432125492082,0.00940204144756276,0.0132074443496766,0.00948711963656422,0.0264727659152874,0.15291451181889,0.122756585445689,0.369735302571202,0.00939429491499578,0.0128035957934392,0.0115228795560662,0.0274732162013892,0.151286172217602,0.130295676683614,0.374736685267932,0.0117284344087872,0.0164615724265922,0.0111647899263209,0.0296236471587087,0.156833051920893,0.125199119078692,45,44.07,323,0.36,2.38170795109805,2.12308538031924,2.13871819723208,0,6
16,0.381184831362923,0.00904337138122993,0.006090649211815,0.0112143814842518,0.0220704114807382,0.14770014030112,0.0882477350192182,0.393267194202384,0.0112044842072008,0.0101184728904425,0.00726393598772856,0.0202146404497934,0.147468351438553,0.106750419103799,0.399647330885623,0.00633946982786022,0.0106542392752014,0.0133643857842529,0.017768080925024,0.145986427838275,0.104910992364278,45,44.09,320,0.36,2.34441648738544,2.09228657351594,2.101708499103,0,6
