idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.388047086500743,18.9156492979154,3.12564076150796,2.22328313575947,-0.314136260856359,18.4761475139332,3.14322441423775,2.25670346876707,-0.473510491715116,18.7370580376488,3.19158687537241,2.25439564578962,45,43.79,352,0.49,2.96863155907553,2.61847466168056,2.69854826958521,0,6
2,-0.382913546262709,18.8507829921407,3.05764582449655,2.24087682359033,-0.499309946167868,19.4518071349488,3.03777756612265,2.19911047115279,-0.443211290274055,19.2433530643573,2.98274141782257,2.20202470774194,45,43.81,351,0.49,2.90782576187422,2.56164683824169,2.64193126464622,0,6
3,-0.29374127325606,18.5262439828862,3.11546896099854,2.29344642500272,-0.478669531134303,18.765348281686,3.09912953337396,2.24749264499668,-0.446303203574488,19.0145779499249,3.07710736460827,2.26086162879713,45,43.83,350,0.48,2.86977197576818,2.52682064282636,2.60640168339377,0,6
4,-0.527959056783062,18.5214721959096,3.16480538429194,2.25187520999557,-0.352107777449742,18.4219764286084,3.1674946105851,2.2199296130887,-0.640107470991414,19.050059594757,3.18073911166299,2.2331152107232,45,43.85,348,0.47,2.83420446670565,2.49584208862678,2.57267194958642,0,6
5,-0.434438960031278,18.8464891513246,2.99772057813213,2.18099173884066,-0.499757889814169,19.1457639295594,2.99920528759178,2.21997779166064,-0.501429186423268,19.093942839366,3.00732130103294,2.20373773890746,45,43.87,346,0.46,2.80113553716602,2.46936092116142,2.54043857995226,0,6
6,-0.410141646615889,19.3885701296886,2.98065668779215,2.21411386981242,-0.488117470819369,19.002336337542,2.96866986028936,2.17296410604405,-0.38743169559758,19.3998670362493,2.8865150181631,2.17990834887056,45,43.89,344,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0,6
7,-0.300153159105966,18.8109794440572,2.99102418571413,2.21493481242934,-0.272297584562439,18.7893356880424,3.02822403110366,2.18954629000736,-0.320722219075766,19.0523895339648,2.98360554377693,2.18868550184127,45,43.91,342,0.44,2.72286371520499,2.40325309117405,2.46544710580319,0,6
8,-0.369547311272056,18.8561280825773,3.04197364052597,2.21227887685196,-0.435676386181873,19.1096314378333,3.01493372689332,2.20169371243856,-0.353362351387733,18.5949422494166,3.07918126126891,2.19632823117816,45,43.93,340,0.43,2.67335204708896,2.36160635315579,2.41838224757096,0,6
9,-0.225371137450769,18.7835591601881,2.88946055556817,2.19612461812003,-0.265023381997746,19.3033125018853,2.87434755847067,2.21795721413082,-0.358692585027079,19.0627881176555,2.92192061449369,2.20530767473209,45,43.95,338,0.42,2.63805690643483,2.33073181346202,2.38525797083952,0,6
10,-0.378597255046221,19.3428781099425,2.90083564072529,2.23394395331279,-0.468728458013874,19.1340093938264,2.94220840840364,2.21317371905661,-0.38793806045256,19.134823146978,2.86800940947137,2.21959121414065,45,43.97,336,0.42,2.60350845262273,2.3069290308225,2.35143233765023,0,6
