idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,-0.0410861234324249,16.8516634621756,1.99936815647945,1.98463132314645,-0.0352640218025403,16.9754706226257,1.97447781574508,1.94419122431728,-0.0624699225680051,17.0584573012418,2.01862924667929,1.97778287988046,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,-0.103978808791994,16.8884036976122,1.98194733274528,2.03254206636291,-0.11752723234545,17.3630817615992,2.01428410554093,1.98770402295321,-0.023924821868549,17.5272557662869,1.97104238659261,1.99814943098629,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,-0.32509640609588,17.3483457455149,2.03221507760671,2.00135594308372,-0.485462639516325,17.5975449681461,1.95497463320374,2.01456950185656,-0.199146591248945,17.6349049788475,1.99078279785314,2.00400000746073,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,-0.0855650494640919,16.6450803450464,1.93736307336373,1.96451652647625,-0.151005125077183,17.6881987446617,2.00887979273541,2.00832129746535,-0.135143249391421,17.0532163071963,1.93753757113756,1.9741995411066,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,-0.0171780925619746,17.0906273137954,1.91343980484649,1.95438749332607,-0.0694395741747133,18.1676759306211,1.94288457084465,1.93865435619359,-0.0856462451547025,16.9766496724788,2.00025443956284,1.95138979362868,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,0.0388674730817695,17.0979809346231,1.91561766703849,1.97290188820409,-0.418294659649399,17.5895176880537,1.91266875574334,1.94304973098363,-0.278079704260286,17.4483003305275,1.90747539130553,1.95722561741952,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,-0.21207142178308,17.1005906747091,1.89166678776402,1.96132843909118,-0.117902965377455,17.670934671422,1.89768507674797,1.99952619497034,-0.343802894984323,17.736434137554,1.94415479415414,1.98485455590726,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,-0.334286889286043,17.4569879066098,1.87604625113058,1.93936637887473,-0.177071173083931,17.2314009053457,1.84329177221105,1.92021310706707,-0.129064829183672,17.608813066889,1.86763440734073,1.91573034919218,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,-0.232757570579011,17.2378498564984,1.87313664635363,1.95993097271185,-0.210571943709533,17.5095495882361,1.8412353678304,1.91478060849406,-0.244461124338422,17.2897376431385,1.85887938745238,1.94357830567993,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,-0.163814344812868,16.9939322592109,1.82934697045875,1.93589719974212,-0.223667976245352,17.3918638275728,1.84061336792262,1.89964553871635,-0.0849702680929443,17.490736426724,1.80355112154318,1.90649941771055,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,-0.212301727767294,17.6126300775117,1.72766063857978,1.91230589771259,-0.113302556535155,16.7759689638078,1.78351155716926,1.95151403453156,-0.26791965984616,17.9898765516129,1.72200936380751,1.91798490645075,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,-0.123329063575635,16.9753319333504,1.77356554090205,1.93149646559387,-0.197333873563623,17.9341119086036,1.69635908215087,1.87287244207045,-0.287026987136792,17.3945020002329,1.71517769426762,1.90082923014772,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
13,-0.0748662024057162,17.0626514283098,1.77880809406363,1.98389122061328,-0.130359474953643,17.5481951835927,1.80415430533668,1.93627289902981,0.0115345847139323,17.6180484488426,1.75718102324727,1.94866555627289,45,44.11,345,0.42,2.41549848127315,2.41707457107655,2.49952833721724,0,1
14,0.0276945538289153,16.2779014013178,1.73636289574677,1.93300248766474,0.00450497186843114,17.3189039206892,1.73351216618078,1.96178028938666,0.0559692412056882,17.7031460918712,1.74808608097638,1.96093154080084,45,44.13,342,0.41,2.37619946523089,2.3737125778693,2.4549933847436,0,1
15,-0.221759826760722,17.0286524160042,1.74309411614172,1.94395664984352,-0.166749423900015,18.0262528443389,1.7421898063156,1.91400291586828,-0.288682592428418,17.3284339295339,1.70868208372031,1.91106687227451,45,44.15,337,0.4,2.32663469702883,2.32805996251553,2.40489355001255,0,1
16,-0.206309579906266,16.7201968446688,1.67388422471708,1.8858628587535,-0.201644440336516,18.0659113605964,1.66355024745146,1.87164142716473,0.0448197759316668,17.2363127639706,1.69194038966694,1.86677613796661,45,44.17,337,0.39,2.28789310245274,2.28867441477505,2.36023809199574,0,1
17,-0.0370397550327236,17.2233017250027,1.6467946757144,1.94715642053892,0.307281420054043,17.2993658004383,1.69597712042728,1.91608297847983,0.062081083952837,17.9777906065289,1.63717202264053,1.92221086641121,45,44.19,334,0.38,2.24254355477452,2.24411754715203,2.31239647750905,0,1
18,-0.259231082620935,17.1552176619867,1.61720493622156,1.88400821195507,0.0680712881250475,17.8388449957542,1.6369980447228,1.91356079955478,0.0610410228832161,17.0082164306886,1.61521065634259,1.8940442796912,45,44.21,329,0.36,2.17856241431202,2.17702642636995,2.23965460790647,0,1
