idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.443129677096277,0.761846716440652,2.0472426948956,0.230051324670707,0.691310563468739,0,1,1,-0.0753729057782977,0.612609963488447,2.14845964306574,0.519294634401425,0.798711782540625,0,1,1,-0.090398172373706,0.618559251790729,2.16811350349234,0.500403769678939,0.926774486808377,0,1,1,45,43.79,361,0.51,2.84492573118618,2.72398937220626,2.84575246369428,0,3
2,0.428107923630334,0.761835108409136,2.00626985909933,0.234228896139064,0.70009410612596,0,1,1,-0.0781382147598468,0.61867405775941,2.16172070072418,0.505720050782361,0.895790716222265,0,1,1,-0.101338004932058,0.624009385101151,2.17658093174962,0.488484313278364,0.85831655038585,0,1,1,45,43.81,360,0.51,2.81577401745139,2.69249146738658,2.81782288116469,0,3
3,0.451867560767633,0.767224182906245,2.01567401162523,0.225710693481259,0.673718961705439,0,1,1,-0.0820102015505395,0.612272387739857,2.17788697889808,0.518297614440156,0.873748682398107,0,1,1,-0.0905099785303196,0.622308515669729,2.21120157275208,0.487848551941497,0.866084704865946,0,1,1,45,43.83,358,0.5,2.78449759761626,2.65845993417911,2.78492511723715,0,3
4,0.442355080597529,0.771152719084487,2.00910207665498,0.216651019061739,0.709737114377527,0,1,1,-0.0789112240005468,0.62243246607743,2.16209850368204,0.498225626197662,0.940733353965412,0,1,1,-0.085232960471269,0.634356762243086,2.16792969821557,0.46715728275256,0.825876725789609,0,1,1,45,43.85,357,0.48,2.7507607300395,2.62831461394681,2.75498614240083,0,3
5,0.450769824347391,0.772284262391301,1.99779511306582,0.217875405030778,0.708245790498075,0,1,1,-0.0824045301505284,0.614847333407115,2.20106843534486,0.510931168328222,0.839324997667868,0,1,1,-0.104614076539084,0.61924105815912,2.22012079293487,0.494717106474547,0.845776598913658,0,1,1,45,43.87,355,0.48,2.71528666788981,2.59621524810626,2.72327601570583,0,3
6,0.449608226140664,0.77634929507484,1.98568881995535,0.210637861660357,0.711655353017098,0,1,1,-0.077276866524056,0.634888386621632,2.12604067234417,0.475414246174838,0.943138504096395,0,1,1,-0.0814071168093354,0.644080896560608,2.15991707789032,0.4459843180382,0.858882666731925,0,1,1,45,43.89,353,0.48,2.68187710377233,2.56223502533858,2.69079297785367,0,3
7,0.436293303189732,0.764070355598343,2.01774746120803,0.226319151799108,0.726126664067169,0,1,1,-0.104346521298938,0.608894734278338,2.13378551678013,0.534404342013921,0.781742579891111,0,1,1,-0.0980036199767812,0.618245666097881,2.14914612755881,0.505183447342687,0.870639843295449,0,1,1,45,43.91,351,0.46,2.64800770091931,2.5287449278422,2.6542426138428,0,3
8,0.438756866656938,0.775614674629644,1.96652872124694,0.213923583934335,0.721971368446563,0,1,1,-0.104534779641826,0.611905228118269,2.14258862524652,0.523886625270004,0.905131198833599,0,1,1,-0.115837977516416,0.620555272858153,2.16068675876404,0.497945021746249,0.852196730405699,0,1,1,45,43.93,349,0.45,2.60064625514862,2.48100752676471,2.608257717608,0,3
9,0.440130267444021,0.775241875465145,1.98574048257502,0.211271876842543,0.744416034778246,0,1,1,-0.0791741118296086,0.630469321362822,2.14236965712854,0.480989007565037,0.792242981119671,0,1,1,-0.091238901295341,0.642227759652683,2.15288029644111,0.453513425123445,0.881840113502174,0,1,1,45,43.95,347,0.44,2.55722356708292,2.44261076324736,2.56981043942614,0,3
10,0.426435438715882,0.769029638402263,1.99957939369311,0.215494911572044,0.77417390936554,0,1,1,-0.0854205326693959,0.628417017532835,2.12664142342709,0.487838659526154,0.878127349068972,0,1,1,-0.0922757142815791,0.636577757973137,2.15239630298869,0.464989425774157,0.891536900089825,0,1,1,45,43.97,343,0.42,2.50338095804278,2.37180725432493,2.50180123112587,0,3
