idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.450558050204454,0.787451178026963,1.90892843017264,0.206650115905655,0.654465492513472,0,1,1,-0.0705124839342043,0.631193587073156,2.1896527826858,0.478944143661698,0.755080112704539,0,1,1,-0.0923321252435117,0.637161826360659,2.20387562004244,0.458474510210786,0.839977692384849,0,1,1,45,43.79,352,0.49,2.96863155907553,2.61847466168056,2.69854826958521,0,6
2,0.454526007665066,0.778307026555836,1.97035714046321,0.210343977435317,0.718441179404747,0,1,1,-0.0800811734108887,0.63861038380484,2.10795759404398,0.467763079523074,0.876020356725764,0,1,1,-0.0860093451915625,0.651542200388319,2.13948473051765,0.430396129027899,0.945966930387989,0,1,1,45,43.81,351,0.49,2.90782576187422,2.56164683824169,2.64193126464622,0,6
3,0.445202860513889,0.766624246791678,2.01619999755584,0.222148457540553,0.740275681766872,0,1,1,-0.077491163231769,0.614938075735773,2.14216945018743,0.518696663168788,0.811306198341896,0,1,1,-0.0947560293056617,0.622254302888504,2.15106434735753,0.496048744608854,0.879624257837045,0,1,1,45,43.83,350,0.48,2.86977197576818,2.52682064282636,2.60640168339377,0,6
4,0.461409317124833,0.777532423102043,1.99367216090007,0.210156130019295,0.710681264005029,0,1,1,-0.0612027208272342,0.632959465275844,2.10424890630387,0.478579280825311,0.919266579241945,0,1,1,-0.0754202428021602,0.64378235006309,2.12143213198711,0.450063814672004,0.856670546069026,0,1,1,45,43.85,348,0.47,2.83420446670565,2.49584208862678,2.57267194958642,0,6
5,0.453463958647304,0.786831586567211,1.91595043687727,0.203321409382396,0.704479352349871,0,1,1,-0.0753510854152648,0.630119722747322,2.08188567256672,0.486421238679231,0.876237365171793,0,1,1,-0.0837589038970779,0.636715566422168,2.11999629236462,0.464917616297183,0.866625087602676,0,1,1,45,43.87,346,0.46,2.80113553716602,2.46936092116142,2.54043857995226,0,6
6,0.450134471325816,0.781738586616635,1.93594961054499,0.209572787849471,0.702778990968308,0,1,1,-0.075128476960884,0.644870058683175,2.10740149198914,0.456708313731914,0.947384284756515,0,1,1,-0.0846354835861839,0.651440334579756,2.10651952081789,0.439051623530136,0.949732028785452,0,1,1,45,43.89,344,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0,6
7,0.465668649797349,0.790976539635834,1.91795608699996,0.197088825831584,0.696736457833306,0,1,1,-0.0543747123848661,0.649873924458655,2.11099999130872,0.445063731957342,0.924733508811014,0,1,1,-0.0669694568254939,0.659874359921871,2.12763738593818,0.417012769409931,0.942236732570481,0,1,1,45,43.91,342,0.44,2.72286371520499,2.40325309117405,2.46544710580319,0,6
8,0.452907024321843,0.783269366335082,1.93076619408688,0.207266075526159,0.713875751758904,0,1,1,-0.0683034204026469,0.638757233925674,2.09531757797457,0.465455807717499,0.798614385887924,0,1,1,-0.0725266898466184,0.649080901443556,2.12930369935418,0.436222640043023,0.934675000402457,0,1,1,45,43.93,340,0.43,2.67335204708896,2.36160635315579,2.41838224757096,0,6
9,0.453640399539568,0.784030859454628,1.95016590506634,0.198290603428212,0.749662161872552,0,1,1,-0.0845728640551507,0.624921884764404,2.12687881131275,0.498592204983955,0.843088966538591,0,1,1,-0.107729297218739,0.632847306601863,2.16068805802611,0.473577442208674,0.951832465427579,0,1,1,45,43.95,338,0.42,2.63805690643483,2.33073181346202,2.38525797083952,0,6
10,0.448539817168646,0.773538785234692,1.99084899460001,0.211520618763365,0.75230696039419,0,1,1,-0.108053268721513,0.607496506895086,2.07767465879724,0.543499400708039,0.912585127059962,0,1,1,-0.112994409792651,0.621033150749587,2.10095426869475,0.507108862158984,0.920375816581641,0,1,1,45,43.97,336,0.42,2.60350845262273,2.3069290308225,2.35143233765023,0,6
11,0.457678854332134,0.793247874095698,1.8798405280637,0.195428535170372,0.715062868048851,0,1,1,-0.0902786818489408,0.638977635782747,2.08969144817588,0.47062659032136,0.907815978454451,0,1,1,-0.103689981553769,0.646696673392312,2.11543365828005,0.447810803125676,0.925939187427712,0,1,1,45,43.99,335,0.41,2.57353500382117,2.27781200844168,2.3226505914522,0,6
12,0.453056063718495,0.778937529210157,1.95492366689471,0.206536090355007,0.753860434757806,0,1,1,-0.0998908159780331,0.619141374741508,2.11164491721609,0.512030750859123,0.86818810762375,0,1,1,-0.123822645375004,0.621929224454257,2.12204809001224,0.503264612044848,0.831801039296492,0,1,1,45,44.01,332,0.4,2.52563254797918,2.24030511145715,2.27522714939429,0,6
13,0.442564375091591,0.783330722230926,1.92775381811141,0.201172690212022,0.77321275786156,0,1,1,-0.105126925472001,0.616614048934491,2.09107731618528,0.520118521341403,0.881207743803742,0,1,1,-0.118314120866243,0.623550245678796,2.11613015038683,0.496101920802759,0.876067868096492,0,1,1,45,44.03,329,0.38,2.4798244831403,2.20507386211875,2.23240336765154,0,6
14,0.464936175901968,0.793650793650794,1.89575655818293,0.19213817667934,0.739459332387416,0,1,1,-0.0910857270904294,0.633850132474677,2.11371911439355,0.482821723465768,0.913778808772659,0,1,1,-0.113337290920015,0.642483584544415,2.13238715293539,0.45609356206271,0.849106521173871,0,1,1,45,44.05,326,0.38,2.44080890363258,2.17174616204167,2.19568466688585,0,6
15,0.463546292149908,0.78662114752293,1.94781909564835,0.194619341105124,0.778081824585142,0,1,1,-0.0829502099072616,0.626283881958014,2.1196560241943,0.496539141259558,0.791494066614163,0,1,1,-0.104874444461036,0.633842097256731,2.14982554803213,0.474055350971774,0.921179033956479,0,1,1,45,44.07,323,0.36,2.38170795109805,2.12308538031924,2.13871819723208,0,6
16,0.45062734797096,0.786200606946868,1.93154156198731,0.195555091900695,0.795872724000079,0,1,1,-0.0734571512844233,0.646521070121675,2.04945695185775,0.45618566495728,0.879852858448002,0,1,1,-0.0856044934228888,0.654578778555999,2.07748058428855,0.43345522596443,0.855032302831467,0,1,1,45,44.09,320,0.36,2.34441648738544,2.09228657351594,2.101708499103,0,6
17,0.443547321441739,0.786757301107755,1.88115571871752,0.200085353427529,0.785167668331035,0,1,1,-0.0819049097957691,0.647853015107932,2.06085421357268,0.454744556279033,0.927258864671955,0,1,1,-0.101798565029529,0.651296079197603,2.06825746968215,0.443192427553272,0.920515760638808,0,1,1,45,44.11,317,0.35,2.29813826710845,2.05278943167668,2.06097418129193,0,6
18,0.449356387624973,0.796241738991957,1.85148234658252,0.189991142319757,0.781989108627064,0,1,1,-0.0960890933842014,0.633689466813683,2.02792928285329,0.492047994044779,0.844424579242442,0,1,1,-0.109399268455305,0.640049155775164,2.05158284999799,0.470244127820166,0.927430536448855,0,1,1,45,44.13,313,0.34,2.24889310905223,2.0100240213187,2.01526035808969,0,6
19,0.452316820382437,0.800115216591189,1.83667214567092,0.186102514923076,0.771801188710329,0,1,1,-0.0798110874214741,0.656590195795197,2.03393154307019,0.438249742391987,0.853609021223807,0,1,1,-0.0994170622763313,0.658761528326746,2.04575187876255,0.432074274693602,0.893546728661314,0,1,1,45,44.15,309,0.31,2.19836469585848,1.96756623361078,1.97243920031332,0,6
20,0.441742017310099,0.780286833439973,1.93515083985485,0.200286232437343,0.812827813045223,0,1,1,-0.0998267882141694,0.630016506432468,2.05551094608975,0.495674777389411,0.905947433000194,0,1,1,-0.123455242818688,0.640664240684742,2.07033638382941,0.466172307183815,0.908319398373147,0,1,1,45,44.17,306,0.31,2.15465053846435,1.92696077927454,1.92998840189461,0,6
21,0.462098280632389,0.801963205928112,1.82984240572947,0.182931753506541,0.785956344749285,0,1,1,-0.0763631374044595,0.657998631362847,2.02899617060165,0.437040337766249,0.961602446373421,0,1,1,-0.0854966298238189,0.668270515904838,2.03970657016835,0.412914879354152,0.940532620941181,0,1,1,45,44.19,302,0.29,2.10584477645241,1.88644192951528,1.88554142781664,0,6
22,0.446693040320197,0.802194804986443,1.79386057680031,0.186046818003839,0.798902443173816,0,1,1,-0.0969304627589008,0.652503001513807,2.02699101192239,0.449293818666329,0.891150552640627,0,1,1,-0.108074775402892,0.66039729501268,2.05024724429571,0.42642757233599,0.860298556738826,0,1,1,45,44.21,296,0.28,2.05255265570221,1.83899633433732,1.83466076151057,0,6
23,0.448118066554937,0.809572383866842,1.76510981203213,0.173994934754962,0.830574299130323,0,1,1,-0.101204973775543,0.647727125516562,2.00234747799472,0.461611883484869,0.834958181806661,0,1,1,-0.109383189175967,0.654938894201171,2.02453097050863,0.44259780722754,0.905968226443342,0,1,1,45,44.23,291,0.27,1.99689928125917,1.78778755986983,1.78046436052998,0,6
24,0.451948476768711,0.803600128576021,1.81962592913717,0.178415512161078,0.828316150052749,0,1,1,-0.108045782341274,0.643351604518901,1.93022642582402,0.479891225398485,0.885470866191773,0,1,1,-0.13391952777927,0.645827951433738,1.94283703641732,0.470450300771366,0.878675032718791,0,1,1,45,44.25,286,0.26,1.94566235096184,1.74361903573837,1.73182850482409,0,6
25,0.44500198016669,0.791226876394537,1.83614356924729,0.193123805742482,0.853195299286923,0,1,1,-0.109540349235648,0.627226654623915,1.97475928212475,0.513510438071802,0.865814864091127,0,1,1,-0.126907172124774,0.638749073813843,2.00489913432853,0.477643688072425,0.935714131262096,0,1,1,45,44.27,280,0.25,1.89294024481,1.69584588384094,1.67921152244711,0,6
26,0.442917661122864,0.812875955129247,1.72621711348314,0.16855288467402,0.849758228185535,0,1,1,-0.0991238378531517,0.658752849106072,1.91976177171046,0.449585045036211,0.672261928788534,0,1,1,-0.108288957618795,0.667066906810753,1.94544890503898,0.42196751453589,0.885103029937479,0,1,1,45,44.29,275,0.24,1.83548515212653,1.64697706738967,1.62603687008326,0,6
27,0.431238412529469,0.798046382455748,1.78866849558181,0.183279205403994,0.869050217648956,0,1,1,-0.1209444995432,0.640721708932942,1.96039653515057,0.48420486612869,0.885064316652293,0,1,1,-0.149090256956565,0.64397305616733,1.97133329363811,0.472926322205532,0.878718996098495,0,1,1,45,44.31,268,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0,6
28,0.435601484320242,0.815062352269949,1.67284292754802,0.169790533195542,0.872212808918331,0,1,1,-0.123580134500525,0.658215183707858,1.84626826651001,0.457746328240359,0.86324836373454,0,1,1,-0.122189525672451,0.668627975394491,1.8522761919477,0.430355608344069,0.885629249407473,0,1,1,45,44.33,260,0.21,1.71832170064317,1.5463047273039,1.52051690943366,0,6
29,0.420548836272002,0.798990076543249,1.75840855748314,0.177835860093265,0.925323798751452,0,1,1,-0.138021120324917,0.653193462839824,1.85300955531333,0.466921237682553,0.841415384349677,0,1,1,-0.155375747736105,0.660580518159358,1.85537365705676,0.44818531822221,0.715154052697415,0,1,1,45,44.35,248,0.2,1.62267711946942,1.46415417796839,1.43327170301009,0,6
30,0.442135537469333,0.811266874350987,1.72899151027908,0.161185879141974,0.933458845777892,0,1,1,-0.127199900935874,0.666213641390521,1.86913651232633,0.433955446480164,0.82435524572651,0,1,1,-0.125012375855229,0.675840069206023,1.89351523192853,0.409164253422414,0.875234199918686,0,1,1,45,44.37,238,0.17,1.54922401642018,1.40076692771172,1.36766227754537,0,6
31,0.470546979466566,0.856267018306989,1.46337503307017,0.127205719071018,0.907297547103551,0,1,1,-0.169192926960206,0.645511115701412,1.83561052449724,0.483772633356019,0.726840907825463,0,1,1,-0.173919162569225,0.654527365789164,1.8496613086574,0.455860635313985,0.879810326593161,0,1,1,45,44.39,226,0.16,1.46305696412063,1.32545845548295,1.29421190421955,0,6
32,0.421102888248974,0.810517272123069,1.68075628636587,0.16161077848993,0.970962314079983,0,1,1,-0.0528518917950646,0.774581338786386,1.564815757851,0.257393454517518,0.948346580360911,0,1,1,-0.124821173662549,0.708777500567022,1.72025492041771,0.362697439497755,0.841914356521071,0,1,1,45,44.41,215,0.14,1.38315245740513,1.25673146825857,1.22299494306166,0,6
33,0.407653114363928,0.735121147965184,2.14218045959457,0.274652076447556,0.658113946354021,0,1,1,-0.0870023305195135,0.628756822011519,2.08751776164679,0.494056152705963,0.87795030042185,0,1,1,-0.078098483819671,0.640762763994258,2.17551433964387,0.448200649149694,0.851810554003195,0,1,1,47.5,46.25,361,0.53,3.11915024104094,2.74557577723046,2.82631937925948,0,6
34,0.43653453738524,0.756761665481074,2.03230156508631,0.242661805444478,0.689045135491057,0,1,1,-0.0623448758023509,0.622215585255979,2.16769810245718,0.500105522105306,0.939008134653843,0,1,1,-0.0897062204540718,0.63056473377557,2.18394553351678,0.473122600116092,0.870822093597841,0,1,1,47.5,46.27,359,0.52,3.07578600203642,2.70381004526126,2.7835604341787,0,6
35,0.458005815378505,0.778040582596789,1.97111904192172,0.215422102845693,0.676911793657794,0,1,1,-0.0756567046494458,0.618727648463699,2.14155727044098,0.507309834896887,0.808311335729928,0,1,1,-0.0827694159517488,0.630819308117383,2.17788022857955,0.475126146231951,0.850369090017811,0,1,1,47.5,46.29,357,0.51,3.04501339221232,2.67657713885628,2.75171074086975,0,6
36,0.441571737060592,0.765509216730969,2.00936574535159,0.231125517010577,0.691015036608969,0,1,1,-0.0744558186221432,0.628330149793908,2.14245777563588,0.488099841607684,0.954631094738475,0,1,1,-0.0855270591950828,0.638357633480581,2.1369322571466,0.461956653388718,0.913015091763377,0,1,1,47.5,46.31,356,0.5,3.01616592751886,2.65417689029059,2.725752729152,0,6
37,0.449824441628357,0.770048205017634,1.99400209099379,0.225834781943505,0.672694569674971,0,1,1,-0.0913211082601789,0.607046596896778,2.18400983614362,0.533111584945707,0.843353419677902,0,1,1,-0.113027049548621,0.614069561799961,2.21412082848651,0.50993769350556,0.900736214149101,0,1,1,47.5,46.33,355,0.5,2.98468087601369,2.62218657886151,2.69136945151359,0,6
38,0.441904046655135,0.761614623000761,2.0354806310929,0.236026576342007,0.664157932420232,0,1,1,-0.0626559076759672,0.622905480322416,2.18072858982917,0.49667036335768,0.898817246233284,0,1,1,-0.098015644674318,0.639263568369238,2.12716728811142,0.460197274104035,0.913937099679402,0,1,1,47.5,46.35,353,0.49,2.94820022372896,2.59368677083143,2.6567833369636,0,6
39,0.45997082131382,0.773383242331905,1.97932047656702,0.218234523495468,0.701412331875663,0,1,1,-0.0676300549278388,0.634904510361642,2.14326933291906,0.474212967525386,0.890411145281703,0,1,1,-0.0856598587251862,0.65025424941152,2.16696993585978,0.433424077790805,0.838020506151804,0,1,1,47.5,46.37,351,0.48,2.9044149153162,2.55486487710283,2.61608058110066,0,6
40,0.440859617705979,0.777653353241259,1.93970671285815,0.218841845011065,0.675501630264024,0,1,1,-0.0856921675591422,0.623783621937222,2.12595462819453,0.500406064228235,0.940752928919962,0,1,1,-0.0811447670281829,0.638137659055811,2.15789949466277,0.459243333990693,0.913014459600499,0,1,1,47.5,46.39,349,0.47,2.86947152240006,2.52486548137187,2.5844835196794,0,6
41,0.437361399838644,0.770689150238143,1.99677964937478,0.221475448509474,0.714923237966984,0,1,1,-0.0844927259177161,0.617154424380068,2.16569175361419,0.513105979521839,0.842133182792588,0,1,1,-0.118339472159052,0.621110296766499,2.19974859334028,0.496325767322057,0.928395434553524,0,1,1,47.5,46.41,347,0.46,2.82162102952182,2.48365511573146,2.53739923184875,0,6
42,0.437512946498265,0.765825789949302,2.0071829828791,0.227062203488806,0.711494858386299,0,1,1,-0.0891141253166999,0.618016414515969,2.17863906676615,0.510179144000959,0.885770904750915,0,1,1,-0.115588423475717,0.628132812401854,2.20963887974251,0.478406195043377,0.931381637443411,0,1,1,47.5,46.43,345,0.45,2.77985945754333,2.45015332270442,2.49889078155457,0,6
43,0.433613777308286,0.76944384598812,1.95744256966976,0.226295268693486,0.727089781093364,0,1,1,-0.0784823370648007,0.628172269963314,2.13557097801943,0.490103605426672,0.799948196995373,0,1,1,-0.0979036348715338,0.636375206821942,2.15211092808296,0.466870860948242,0.941734435703892,0,1,1,47.5,46.45,343,0.44,2.73485947385328,2.41232749662469,2.45718025863294,0,6
44,0.445464939960906,0.777097385844394,1.95380387715802,0.21499522556117,0.702439504561726,0,1,1,-0.0872483066727021,0.609800717125643,2.08408697103657,0.538024446245711,0.765300432433002,0,1,1,-0.0877594743603685,0.625304836107602,2.11845171657079,0.49282735792821,0.919901459793935,0,1,1,47.5,46.47,340,0.43,2.68950362705726,2.37719130400784,2.41883176750622,0,6
45,0.435445487578391,0.767577525330058,1.98454605541568,0.225697722307078,0.733948965072902,0,1,1,-0.0747654118678447,0.618712335886553,2.13278846998309,0.515877077129558,0.912199381705677,0,1,1,-0.104622313158469,0.624258692802298,2.16231712269461,0.494657241953435,0.864586264020717,0,1,1,47.5,46.49,338,0.41,2.63448909248647,2.32613434997965,2.36772728483517,0,6
46,0.447450171876287,0.780871765238712,1.92148972978564,0.213369839039906,0.69525186852807,0,1,1,-0.0858768590565221,0.616500006165001,2.07899463406847,0.522199233812709,0.897340344133593,0,1,1,-0.0896798677167873,0.629833975763989,2.12723017027425,0.479271420934197,0.913147990015792,0,1,1,47.5,46.51,335,0.41,2.5884846464945,2.28951831480331,2.3253937962555,0,6
47,0.446734289336247,0.777786419849109,1.94491519139775,0.214765757524269,0.714908256604946,0,1,1,-0.0926350781879987,0.609778406527068,2.05030496382122,0.543362132601635,0.883723996299292,0,1,1,-0.104397237008007,0.623495816343072,2.09136865380055,0.502223145276349,0.909707810591083,0,1,1,47.5,46.53,332,0.39,2.52841496494192,2.24333376911647,2.26830718499849,0,6
48,0.43340432864086,0.767389035545461,1.97610800948028,0.224408272152767,0.74411340153589,0,1,1,-0.0921426551851029,0.620216579629607,2.06298098031969,0.517459312324365,0.934714201199297,0,1,1,-0.111117779912487,0.627817330269584,2.07439950929776,0.493810776119986,0.90294947453926,0,1,1,47.5,46.55,329,0.38,2.47937394586623,2.20389613336644,2.22353474685249,0,6
49,0.43351672410024,0.769100613742289,1.96718425644333,0.21888504638132,0.783258789718205,0,1,1,-0.106977326682462,0.605810938522306,2.03720621121537,0.555552469604628,0.909544294150557,0,1,1,-0.125305599689184,0.617703378837482,2.06196837864145,0.520047234975921,0.882713013056044,0,1,1,47.5,46.57,326,0.38,2.43303234206482,2.16621008222577,2.17931238455673,0,6
50,0.430940596034279,0.772618403770378,1.95353989352276,0.218771561654931,0.757941075858475,0,1,1,-0.0965860800598543,0.626880641925777,2.05690328183519,0.503808210473731,0.843228819831264,0,1,1,-0.102443710524296,0.641165382198684,2.08747911026054,0.462913955124078,0.89777938556638,0,1,1,47.5,46.59,323,0.37,2.38385584297908,2.12375634723288,2.13411153964119,0,6
51,0.433474903404497,0.769455687046983,1.9621280765044,0.220220028571658,0.789379789917942,0,1,1,-0.0908047152645373,0.621828673763804,2.10881442082501,0.512348158521339,0.897184846301795,0,1,1,-0.119389341386007,0.631424746798676,2.12439573706468,0.48508199883276,0.939749429121625,0,1,1,47.5,46.61,320,0.35,2.33511652310132,2.08172319522934,2.08906359991217,0,6
52,0.42920821539579,0.773490919216608,1.91721730299628,0.21634650473289,0.780369418248282,0,1,1,-0.100013023034306,0.624804748516089,2.06434047861742,0.508419130469216,0.889524610957923,0,1,1,-0.113925602680707,0.640385255769871,2.07462236542766,0.467786125236874,0.924189527182055,0,1,1,47.5,46.63,317,0.33,2.29138246976837,2.04480254285915,2.04934169205913,0,6
53,0.426754674717168,0.779848709350386,1.90943247878957,0.208333899901501,0.785275741236468,0,1,1,-0.0976472069339326,0.622633990834828,2.05741613639878,0.513397793866544,0.907549840196697,0,1,1,-0.120591496834109,0.634340666311436,2.09829089823081,0.476524294121166,0.897714183272724,0,1,1,47.5,46.65,313,0.32,2.23539392999085,1.99660893265081,1.9999812515841,0,6
54,0.413276711247654,0.777351098397102,1.89845140134433,0.213285480066761,0.813773867917049,0,1,1,-0.107237808115066,0.625625625625626,2.01437801537615,0.511952609540063,0.914621844357044,0,1,1,-0.129606886196972,0.635744074865222,2.03967777072778,0.479900936618475,0.864102754457498,0,1,1,47.5,46.67,308,0.31,2.17336717637957,1.93984640172997,1.94333018489701,0,6
55,0.418636774334652,0.77300063386052,1.92281815852831,0.214094577112445,0.843127053147136,0,1,1,-0.107360055319161,0.608916980258911,2.02399493656334,0.551452174541578,0.860470175470289,0,1,1,-0.129919289707626,0.623799186565861,2.02954796416299,0.510878939482072,0.888464114664461,0,1,1,47.5,46.69,300,0.29,2.09064283650466,1.8638987717631,1.8661533339892,0,6
56,0.434040583618622,0.781506431797934,1.92422072797887,0.204705641901607,0.831304207677734,0,1,1,-0.131978572277688,0.620062750350336,1.98844784782789,0.526886096795406,0.88320813821319,0,1,1,-0.139297481131562,0.628796358011494,2.03176319462217,0.496831323312359,0.820798877061308,0,1,1,47.5,46.71,295,0.28,2.04181830695064,1.82397820996844,1.82015534382547,0,6
57,0.420376217211034,0.775229855652201,1.92115855594729,0.21235376980896,0.849802824585636,0,1,1,-0.0951968443361897,0.638928644448988,1.9869433003059,0.486196367799926,0.823600966832679,0,1,1,-0.105964508711503,0.652409347721134,2.0100165780441,0.44781591333817,0.920547726784803,0,1,1,47.5,46.73,290,0.25,1.9887227024133,1.77883655303935,1.76952058460175,0,6
58,0.423403030056735,0.783625364385795,1.85901600029114,0.203405675129814,0.829892340631609,0,1,1,-0.105312391904997,0.629199909395213,2.02049150265089,0.50237491062106,0.687044103360197,0,1,1,-0.140806270536901,0.635122261035249,2.03134523393021,0.485768609052485,0.873171895734027,0,1,1,47.5,46.75,285,0.26,1.93567106437334,1.73235868880352,1.71816731254473,0,6
59,0.429793048782076,0.789552639474474,1.84345130291646,0.192577207417714,0.851984555932249,0,1,1,-0.110231208749509,0.648256190846623,1.94621565038612,0.468659750638478,0.905497595975193,0,1,1,-0.110579772823184,0.661060870484954,1.96202735830094,0.432633114896192,0.924160658629464,0,1,1,47.5,46.77,280,0.23,1.88336634920933,1.68605327432743,1.66451345658188,0,6
60,0.437035042347224,0.801397637479764,1.78538238452591,0.180808758635968,0.846423634537317,0,1,1,-0.0901159785518135,0.666160384774238,1.91763510568564,0.433358158706909,0.874004584812672,0,1,1,-0.105373332207668,0.675995403231259,1.9245406370318,0.404399625823223,0.920492728477322,0,1,1,47.5,46.79,272,0.23,1.81499617494301,1.62588274209333,1.60018575856516,0,6
61,0.422199735037658,0.803019352766402,1.73269065451596,0.184856799122795,0.864483531838427,0,1,1,-0.138980284807521,0.640688868671595,1.91258130562043,0.48904860608797,0.925494812862267,0,1,1,-0.135462939787664,0.654390304553247,1.9436227534755,0.448843506768245,0.858782694152638,0,1,1,47.5,46.81,263,0.22,1.73675993967926,1.55832239683122,1.52938012538002,0,6
62,0.396069189786514,0.793273044581945,1.75737102145175,0.190549744241668,0.922542597395866,0,1,1,-0.138319622266508,0.647743907968545,1.90205303374897,0.474224478495695,0.864437787047331,0,1,1,-0.149907084454645,0.650541901403869,1.92547366201917,0.463600152180947,0.91587951717426,0,1,1,47.5,46.83,255,0.2,1.68695654075888,1.51714597789545,1.48459391665928,0,6
63,0.41618990373212,0.812558910521012,1.66647399477612,0.171918921232213,0.907324790197046,0,1,1,-0.132081135269228,0.659082820347205,1.84150825645994,0.455219493815947,0.842552996802129,0,1,1,-0.136882430361205,0.670187384392676,1.8599048048846,0.424413529853137,0.841876746773647,0,1,1,47.5,46.85,246,0.18,1.6121971578885,1.45287690651601,1.41851758308253,0,6
