idx,scm_COR_X,scm_IDM_X,scm_ENT_X,scm_CSD_X,scm_CSR_X,scm_DKL_X,scm_MDR_X,scm_CAD_X,scm_COR_Y,scm_IDM_Y,scm_ENT_Y,scm_CSD_Y,scm_CSR_Y,scm_DKL_Y,scm_MDR_Y,scm_CAD_Y,scm_COR_Z,scm_IDM_Z,scm_ENT_Z,scm_CSD_Z,scm_CSR_Z,scm_DKL_Z,scm_MDR_Z,scm_CAD_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.47593088326775,0.807363151945745,1.83129281768768,0.16153218898557,0.911305398190518,0,1,1,-0.056194976565106,0.649139889646219,1.97859158896388,0.46785560715887,0.889336027300864,0,1,1,-0.0640620102000564,0.670412035236856,2.01638856617889,0.413120202865201,0.909596643380726,0,1,1,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,0.456607065456445,0.798760323977187,1.87183646941032,0.168067830534067,0.923157130957586,0,1,1,-0.0551116360905617,0.645544452190978,2.00318470943816,0.47002665851645,0.930717638004632,0,1,1,-0.0761447596722373,0.662936543714036,2.03920728730364,0.424873683267381,0.891370046341623,0,1,1,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,0.45232939432989,0.798479694661365,1.86311580707404,0.17108638266778,0.909661797458674,0,1,1,-0.108792485372099,0.617764434066002,1.97567277210272,0.538399131860641,0.843536403015026,0,1,1,-0.100207963726422,0.641741429543208,2.03298907183659,0.46985385626282,0.920367061913676,0,1,1,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,0.463936842854537,0.805049269015263,1.83851436731344,0.16247887743096,0.926021979715605,0,1,1,-0.0534597923392112,0.641568506685144,2.00434353214634,0.476187604053104,0.902652655772612,0,1,1,-0.0741503206010094,0.659822111958616,2.0400978108957,0.428523972592524,0.6524702180538,0,1,1,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,0.47859810706876,0.817808600075238,1.78835064680925,0.15000519749121,0.929033401742626,0,1,1,-0.0513434051031866,0.65918709048002,1.96698459579717,0.444300871955143,0.934820614295455,0,1,1,-0.0654030779908898,0.680985522247797,2.01027707937419,0.385864976055742,0.932612950359949,0,1,1,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,0.460944730248621,0.805217811417989,1.82895173620397,0.164008154411126,0.928036169303951,0,1,1,-0.0685179329557421,0.648693531228107,1.98016206668898,0.462853530687896,0.940845485021596,0,1,1,-0.072581996757761,0.670394057627073,2.00924019091871,0.404930730704035,0.951829740438821,0,1,1,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,0.435919469605492,0.796888945556548,1.84666303079141,0.172797774076271,0.930624486718026,0,1,1,-0.112024335660891,0.631895560301793,1.9838902642114,0.499006775786115,0.894416248206421,0,1,1,-0.10606055309234,0.651194290328462,2.03171014049903,0.447211108910601,0.937564659287654,0,1,1,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,0.447273147132881,0.806178552425791,1.79990691621343,0.16431438730959,0.929392689309246,0,1,1,-0.0916581633103724,0.658440549402794,1.94996514042784,0.446323801259718,0.884207672074489,0,1,1,-0.0909155017812205,0.679172496230593,1.98237496565699,0.392310599081304,0.889218386797906,0,1,1,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,0.43441619824767,0.796051584142653,1.84255918354418,0.173628484845229,0.933599006875429,0,1,1,-0.102211637244929,0.636237545650044,1.91186787634031,0.502426962465361,0.890394638391432,0,1,1,-0.0955825007468153,0.661095832451872,1.96537750538095,0.43366833841668,0.91829730160594,0,1,1,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,0.438879085307758,0.801860315932965,1.80233294134739,0.170115225605116,0.940071475158393,0,1,1,-0.0866375371938136,0.664072357324054,1.93726748612047,0.434718210300165,0.885823318273055,0,1,1,-0.0744336450421546,0.687068005991233,1.96819307683573,0.377507499476325,0.908372657523904,0,1,1,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
11,0.445090212130204,0.809153140323337,1.77763091721866,0.158965421515858,0.947073158649442,0,1,1,-0.104090386298191,0.631424746798676,1.9132688209148,0.512476177091589,0.863877995507431,0,1,1,-0.10514099008128,0.652997257411518,1.95408665896916,0.451817067833107,0.911856775910435,0,1,1,45,44.07,350,0.45,2.4930110419858,2.49843271295175,2.5784818642342,0,1
12,0.441510795002292,0.80742834073476,1.7914985367896,0.15990742487725,0.929191269304538,0,1,1,-0.0992583785420818,0.653458100266611,1.88633016081708,0.464319061000772,0.850572525570645,0,1,1,-0.0858258135160515,0.674372496392107,1.92370086472526,0.40658271263449,0.923754418249547,0,1,1,45,44.09,347,0.43,2.45427627377362,2.46042308250999,2.54041711450652,0,1
