,acc,f1,precision,recall,fpr,fnr,fpr_weighted,fnr_weighted,test_time_clf,test_time_feat
FOURIER_mlp,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
HOS_mlp,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
SCM_mlp,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
FOURIER_svm,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
HOS_svm,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
SCM_svm,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
FOURIER_knn,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
HOS_knn,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
SCM_knn,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
FOURIER_naive_bayes,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
HOS_naive_bayes,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
SCM_naive_bayes,0.6448,0.7525,1.7039,0.6448,0.0792,0.4625,0.1148,0.5858,0.5544,0.0
