idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,scm_COR_S,scm_IDM_S,scm_ENT_S,scm_CSD_S,scm_CSR_S,scm_DKL_S,scm_MDR_S,scm_CAD_S,scm_COR_T,scm_IDM_T,scm_ENT_T,scm_CSD_T,scm_CSR_T,scm_DKL_T,scm_MDR_T,scm_CAD_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1,0.978067126175349,0.903440300664932,2.50818726003181,0.0386790808023862,0.269784981906539,0,1,1,0.978823421027356,0.919100751824415,2.32537751803518,0.0446587747429825,0.419055555505541,0,1,1,0.961412252313375,0.87455397747149,2.44903994890173,0.0859255818178396,0.644293421413854,0,1,1,45,43.85,369,0.57,2.90634311714012,2.92035579456855,2.98644545654504,0,1
2,0.976319898880111,0.903815910775293,2.39219816276957,0.0624326286339857,0.395026518183245,0,1,1,0.975350789836587,0.911892907296967,2.34432069174823,0.0460906787718404,0.49726733345992,0,1,1,0.966964866784785,0.884423532741359,2.46248366519155,0.069427820100502,0.521763967656418,0,1,1,45,43.87,368,0.55,2.88514983728402,2.89635844917431,2.96276295226107,0,1
3,0.977655985867335,0.9101499927188,2.36327316927641,0.0562290709163153,0.38465325752773,0,1,1,0.98003931774904,0.925908779467046,2.29791453701666,0.0364825306708875,0.428842760681026,0,1,1,0.963172475054996,0.882768361581921,2.38798620871289,0.0818123405356238,0.699570341420041,0,1,1,45,43.89,367,0.55,2.85138378364552,2.86389002144165,2.93541443571072,0,1
4,0.975799509202063,0.894326393360521,2.49164071208936,0.0621906695426578,0.319964457895446,0,1,1,0.978473712498693,0.918408581609786,2.32985762337182,0.0447232874879545,0.422657297599672,0,1,1,0.964812897975785,0.878271561566836,2.48322520916513,0.0747568331526295,0.534291447861933,0,1,1,45,43.91,365,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0,1
5,0.978299508094528,0.914193772512021,2.34470773522757,0.0517076710002625,0.395986635552456,0,1,1,0.974979962553827,0.899652734044659,2.43135979094215,0.0621271896538486,0.398949118118786,0,1,1,0.965463073454376,0.886933692837123,2.40745244384311,0.0715300080557488,0.633924763187722,0,1,1,45,43.93,363,0.52,2.7614198957528,2.77428999848986,2.84483444977977,0,1
6,0.975426808433082,0.899102695509881,2.43014686274484,0.0637549013879269,0.37665183359491,0,1,1,0.980000613429493,0.928332714444857,2.2854792660303,0.0315690838959387,0.450042431636026,0,1,1,0.96500816245243,0.877562482448751,2.48697072986828,0.0757709563428187,0.520838201079001,0,1,1,45,43.95,361,0.51,2.72845021691501,2.73880272302145,2.81090571784714,0,1
7,0.97584066151079,0.895559814440007,2.50484837365828,0.0570931261233757,0.309977471763678,0,1,1,0.964455388571968,0.923719263241516,2.09111396872526,0.0337272454436668,0.998690728315484,0,1,1,0.964219009948515,0.882114251437846,2.42436776646115,0.0768704440368831,0.628315788620651,0,1,1,45,43.97,360,0.5,2.69149363366994,2.70288845529409,2.77452495981113,0,1
8,0.975376392683277,0.897811136449337,2.43424770564853,0.0665184368463318,0.374329594969768,0,1,1,0.979494236601056,0.923224639019166,2.308511587118,0.0383157626210442,0.422723516370765,0,1,1,0.966214715356769,0.903032382741245,2.26417488984144,0.0632309112531181,0.844243349755992,0,1,1,45,44.01,356,0.48,2.61880088162906,2.62791262605529,2.70188706431967,0,1
9,0.975000922129282,0.893718943266721,2.46194123189584,0.0694488702047204,0.352956651386982,0,1,1,0.979859261007103,0.927884793823999,2.28277203789385,0.0311887100076842,0.45664539262375,0,1,1,0.962910338715497,0.884360960769748,2.36394518364847,0.0828853323685995,0.73887580847415,0,1,1,45,44.03,354,0.47,2.58631305824787,2.59772130427505,2.66875183167504,0,1
10,0.96380383965343,0.879507475813545,2.4213056392635,0.0805838665416739,0.631989324874515,0,1,1,0.978503938290408,0.918189330639979,2.33142418864501,0.0444796000320094,0.415419651493168,0,1,1,0.965654380509303,0.892713671017158,2.35637810459756,0.0679132825421946,0.709290971804999,0,1,1,45,44.05,352,0.46,2.5459245390427,2.55312873841772,2.63001237447249,0,1
